Quarter Section,Tract,Land Use,Land ID,2014 Issue,2015 Issue,2016 Issue,2016 Recommendation,2017 Issue,2017 Recommendation,2018 Issue,2018 Recommendation,Recommendation Rationale,Year 5 PCEM Status,VEC,GIS,Topic
NE 24‐8‐11 W3M,BESK‐0406.0,Cultivated,LAND ID 453,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,Resolved,Vegetation and soil parameters are similar to off‐RoW.,REPAIR,,,
NW 19‐8‐10 W3M,BESK‐0407.0,Cultivated,LAND ID 454,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 19‐8‐10 W3M,BESK‐0407.0,Cultivated,LAND ID 454,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 19‐8‐10 W3M,BESK‐0407.0,Cultivated,LAND ID 454,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 19‐8‐10 W3M,BESK‐0408.0,Cultivated,LAND ID 455,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Monitor Year 5,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 19‐8‐10 W3M,BESK‐0408.0,Cultivated,LAND ID 455,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 20‐8‐10 W3M,BESK‐0409.0,Cultivated,LAND ID 456,‐‐‐,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 20‐8‐10 W3M,BESK‐0410.0,Cultivated,LAND ID 457,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 20‐8‐10 W3M,BESK‐0410.0,Cultivated,LAND ID 457,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NE 20‐8‐10 W3M,BESK‐0410.0,Cultivated,LAND ID 457,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 21‐8‐10 W3M,BESK‐0410.1,Cultivated,LAND ID 458,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Monitor Year 5,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 22‐8‐10 W3M,BESK‐0412.0,Cultivated,LAND ID 461,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 22‐8‐10 W3M,BESK‐0412.0,Cultivated,LAND ID 461,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 23‐8‐10 W3M,BESK‐0413.0,Improved Pasture,LAND ID 462,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
NE 19‐8‐9 W3M,BESK‐0418.0,Cultivated,LAND ID 467,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 19‐8‐9 W3M,BESK‐0418.0,Cultivated,LAND ID 467,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
SE 19‐8‐9 W3M,BESK‐0419.0,Cultivated,LAND ID 468,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
,,,,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,,,,
NW 9‐8‐9 W3M,BESK‐0425.0,Cultivated,LAND ID 476,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_3",No Further Action Recommended.,Issue expected to improve with agricultural practices.,REPAIR,,,
NW 9‐8‐9 W3M,BESK‐0425.0,Cultivated,LAND ID 476,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,REPAIR,,,
NW 9‐8‐9 W3M,BESK‐0425.0,Cultivated,LAND ID 476,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",Repair,Not expected to recover without repair.,REPAIR,,,
NW 9‐8‐9 W3M,BESK‐0425.0,Cultivated,LAND ID 476,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,REPAIR,,,
NW 9‐8‐9 W3M,BESK‐0425.0,Cultivated,LAND ID 476,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,REPAIR,,,
NW 9‐8‐9 W3M,BESK‐0425.0,Cultivated,LAND ID 476,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_3",Repair,Not expected to recover without repair.,REPAIR,,,
NE 9‐8‐9 W3M,BESK‐0426.0,Cultivated,LAND ID 477,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 13‐8‐9 W3M,BESK‐0433.0,Improved Pasture,LAND ID 488,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SE 13‐8‐9 W3M,BESK‐0433.0,Improved Pasture,LAND ID 488,‐‐‐,‐‐‐,Subsidence_1,Repair Year 3,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
SW 18‐8‐8 W3M,BESK‐0434.1,Cultivated,LAND ID 489,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,No issues.,RESOLVED,,,
SE 18‐8‐8 W3M,BESK‐0435.1,Cultivated,LAND ID 490,Subsidence,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Monitor Year 5,Subsidence_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
NE 8‐8‐8 W3M,BESK‐0438.0,Cultivated,LAND ID 493,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Monitor Year 5,Subsidence_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
NE 8‐8‐8 W3M,BESK‐0438.0,Cultivated,LAND ID 493,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NE 8‐8‐8 W3M,BESK‐0438.0,Improved Pasture,LAND ID 494,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Monitor Year 5,Subsidence_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
NE 8‐8‐8 W3M,BESK‐0438.0,Improved Pasture,LAND ID 494,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 9‐8‐8 W3M,BESK‐0439.0,Hay,LAND ID 495,‐‐‐,‐‐‐,Vegetation establishment_1,Repair Year 3,Vegetation establishment_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 9‐8‐8 W3M,BESK‐0440.0,Cultivated,LAND ID 496,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 14‐8‐8 W3M,BESK‐0444.0,Native prairie,LAND ID 501,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 14‐8‐8 W3M,BESK‐0444.0,Native prairie,LAND ID 501,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SW 17‐8‐7 W3M,BESK‐0450.0,Native prairie,LAND ID 509,‐‐‐,Subsidence_1,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 17‐8‐7 W3M,BESK‐0450.0,Native prairie,LAND ID 509,‐‐‐,‐‐‐,Subsidence_2,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_2,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SW 17‐8‐7 W3M,BESK‐0450.0,Native prairie,LAND ID 509,‐‐‐,‐‐‐,Subsidence_3,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_3,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SE 17‐8‐7 W3M,BESK‐0451.0,Hay,LAND ID 511,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_2,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
SW 13‐8‐7 W3M,BESK‐0460.0,Cultivated,LAND ID 521,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 18‐8‐6 W3M,BESK‐0462.0,Cultivated,LAND ID 524,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 17‐8‐6 W3M,BESK‐0465.0,Improved Pasture,LAND ID 527,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,ESC,Repair,Not expected to recover without repair.,REPAIR,,,
NE 9‐8‐6 W3M,BESK‐0468.0,Cultivated,LAND ID 530,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 9‐8‐6 W3M,BESK‐0469.0,Improved Pasture,LAND ID 531,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
NE 35‐7‐6 W3M,BESK‐0476.0,Cultivated,LAND ID 541,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 31‐7‐5 W3M,BESK‐0481.0,Cultivated,LAND ID 546,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 30‐7‐5 W3M,BESK‐0482.0,Cultivated,LAND ID 547,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 30‐7‐5 W3M,BESK‐0482.0,Cultivated,LAND ID 547,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 20‐7‐5 W3M,BESK‐0485.0,Cultivated,LAND ID 550,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 21‐7‐5 W3M,BESK‐0487.0,Cultivated,LAND ID 552,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
NW 21‐7‐5 W3M,BESK‐0487.0,Cultivated,LAND ID 552,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 21‐7‐5 W3M,BESK‐0487.0,Cultivated,LAND ID 552,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_2,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
NE 23‐7‐4 W3M,BESK‐0504.0,Cultivated,LAND ID 574,‐‐‐,‐‐‐,Subsidence_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 24‐7‐4 W3M,BESK‐0505.0,Cultivated,LAND ID 575,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 24‐7‐4 W3M,BESK‐0505.1,Improved Pasture,LAND ID 576,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 17‐7‐3 W3M,BESK‐0514.1,Cultivated,LAND ID 588,Contouring,‐‐‐,Contouring_1,Repair Year 3,Contouring_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
NE 10‐7‐3 W3M,BESK‐0518.0,Cultivated,LAND ID 593,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 12‐7‐3 W3M,BESK‐0522.0,Cultivated,LAND ID 597,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 7‐7‐2 W3M,BESK‐0523.0,Cultivated,LAND ID 598,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 8‐7‐2 W3M,BESK‐0525.0,Cultivated,LAND ID 601,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 9‐7‐2 W3M,BESK‐0527.0,Improved Pasture,LAND ID 604a,‐‐‐,‐‐‐,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 9‐7‐2 W3M,BESK‐0527.0,Cultivated,LAND ID 604b,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 9‐7‐2 W3M,BESK‐0527.0,Cultivated,LAND ID 604b,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 9‐7‐2 W3M,BESK‐0527.0,Cultivated,LAND ID 604b,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 10‐7‐2 W3M,BESK‐0530.0,Improved Pasture,LAND ID 609,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
NE 10‐7‐2 W3M,BESK‐0530.0,Improved Pasture,LAND ID 609,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 7‐7‐1 W3M,BESK‐0536.0,Cultivated,LAND ID 615,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NW 8‐7‐1 W3M,BESK‐0537.0,Cultivated,LAND ID 616,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NE 8‐7‐1 W3M,BESK‐0538.0,Hay,LAND ID 617,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 8‐7‐1 W3M,BESK‐0538.0,Hay,LAND ID 617,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 8‐7‐1 W3M,BESK‐0538.0,Hay,LAND ID 617,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NE 11‐7‐1 W3M,BESK‐0544.1,Cultivated,LAND ID 626,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NE 11‐7‐1 W3M,BESK‐0544.1,Cultivated,LAND ID 626,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 10‐7‐30 W2M,BESK‐0547.0,Cultivated,LAND ID 630,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 10‐7‐30 W2M,BESK‐0548.1,Cultivated,LAND ID 632,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 10‐7‐30 W2M,BESK‐0548.1,Cultivated,LAND ID 632,‐‐‐,Vegetation establishment_1,Vegetation establishment_1,Monitor year 4,Vegetation establishment_1,Monitor Year 5,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 12‐7‐30 W2M,BESK‐0552.0,Cultivated,LAND ID 636,Admixing,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 12‐7‐30 W2M,BESK‐0552.0,Cultivated,LAND ID 636,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 12‐7‐30 W2M,BESK‐0552.0,Cultivated,LAND ID 636,‐‐‐,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NE 7‐7‐29 W2M,BESK‐0554.0,Cultivated,LAND ID 639,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 8‐7‐29 W2M,BESK‐0555.0,Hay,LAND ID 640,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 8‐7‐29 W2M,BESK‐0555.0,Cultivated,LAND ID 641,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 8‐7‐29 W2M,BESK‐0555.0,Cultivated,LAND ID 641,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 8‐7‐29 W2M,BESK‐0555.0,Cultivated,LAND ID 641,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 8‐7‐29 W2M,BESK‐0556.0,Cultivated,LAND ID 642,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NE 9‐7‐29 W2M,BESK‐0558.0,Cultivated,LAND ID 644,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 9‐7‐29 W2M,BESK‐0558.0,Cultivated,LAND ID 644,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 10‐7‐29 W2M,BESK‐0560.0,Cultivated,LAND ID 646,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 10‐7‐29 W2M,BESK‐0560.0,Cultivated,LAND ID 646,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NE 10‐7‐29 W2M,BESK‐0560.0,Cultivated,LAND ID 646,‐‐‐,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NW 11‐7‐29 W2M,BESK‐0561.0,Cultivated,LAND ID 647,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
,,,,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,,,,
,,,,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,,,,
NE 11‐7‐29 W2M,BESK‐0562.0,Native prairie,LAND ID 648,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 12‐7‐29 W2M,BESK‐0563.0,Cultivated,LAND ID 650,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 12‐7‐29 W2M,BESK‐0563.0,Cultivated,LAND ID 650,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,REPAIR,,,
NW 33‐06‐28 W2M,BESK‐0576.1,Native prairie,LAND ID 663,‐‐‐,Seed mix/Land use,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Seed mix/Land use,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 34‐06‐28 W2M,BESK‐0578.2,Cultivated,LAND ID 667,Incomplete PCEM assessment,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NE 34‐06‐28 W2M,BESK‐0579.1,Cultivated,LAND ID 668,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 34‐06‐28 W2M,BESK‐0579.1,Cultivated,LAND ID 668,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 34‐06‐28 W2M,BESK‐0579.1,Cultivated,LAND ID 668,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 35‐06‐28 W2M,BESK‐0582.1,Improved Pasture,LAND ID 671,‐‐‐,Vegetation establishment_1,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
SE 35‐06‐28 W2M,BESK‐0582.1,Native prairie,LAND ID 672,‐‐‐,Vegetation establishment_1,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
