Legal Location (W6),1<s>st</s> Year (2012) PCM Assessment,2<s>nd</s> Year (2013) PCRM Assessment and Work Completed,3<s>rd</s> Year (2014) PCRM Assessment and Work Completed,4<s>th</s> Year (2015) PCRM Assessment and Work Completed,5<s>th</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Rare plant - Drummond’s thistle (Less than 100 m west of the section line along the proposed access road. Near KP 58+500),The proposed access road was rerouted in July 2010. Rare plant Specialists visited the transplant site in September 2012 and did not locate the plants and stakes. The 2013 crew did not visit the site. Unresolved: Further monitoring is recommended in 2015.,"September 7, 2014 - Species not observed during the site visit. According to the proposed mitigation measures for Drummond’s thistle, the observed pre-disturbance occurrence was transplanted from the cleared margins of a remnant white spruce woodland traversed by the proposed access road prior to construction. Two incidental observations of the species were recorded adjacent to the Project. The first observation (one plant) was located near the proposed access (not used during construction), and the second observation (12 plants) was noted on the un-cleared margin of the access road used during construction. These observations indicate that locally the population of the Drummond`s thistle is readily present. Resolved, no further monitoring is recommended.",,,,,
,Rare plant - Drummond’s thistle (315 m east of quarter-section along proposed access road. Near KP 58.50.) Resolved in 2010: The proposed access road was rerouted in July 2010. No mitigation was warranted.,,,,,,,
,Tributary of Kiskatinaw River,"Oct 29, 2013 - Tributary to Kiskatinaw River No indications of any slumping, subsidence or erosion. Several small areas are poorly vegetated and require reseeding.","June 6, 2014 – Dominant vegetation of upper slopes of drainage is grasses with 100% vegetation cover compared to off ROW (2013 vegetation issue resolved). Banks are in great condition with soil wraps holding well and diversion berms working well with no erosion on them. There is good vegetation cover though the riparian area. Pipeline marker signs are in place on both sides of the drainage. KP 53+950, remove silt fence on both sides of drainage as vegetation has been established June 17, 2014 - KP 53+950, silt fence removed.","June 1, 2015 - 100% vegetative cover compared to off RoW. There is good vegetation cover through the riparian area. - Diversion berms appear to be working well. Plastic waddles observed along berms. Recommend removing plastic waddles. - Banks are in great condition and crib walls stable. Pipeline marker signs are in place. Sediment and woody debris observed in stream bed on and off RoW. Erosion observed along northeast slope. Appears to be stable and vegetating. Recommend continued monitoring.","June 14, 2016 - Slopes and berms appear stable and vegetated. Minor damage from cattle noted. - Crib walls appear secure and soil wraps appear stable as well. Dekowe fabric has been tore up a bit by the cattle but this does not seem to be an issue as the there is still vegetation and fabric is still supporting the material. - Synthetic wattles were observed on slopes and should be removed. Wattles are being tore up by cattle. Access not granted by LO due to wet conditions. Remove wattles in 2017. - Canada thistle was observed on east slope. Thistle will have to be picked due to the rare plants in the area. Complete in 2017 - No signs of erosion on slopes or diversion berms. June 21, 2016 - Reassessed watercourse crossing after recent floods in area. Soil wraps and crib wall held up well with high water levels and water velocity. Water level appears to have peaked approximately slightly above the crib walls.",,,
,Rare plant - riverbank anemone (KP 58+600) Resolved: No further monitoring is recommended.,,,,,,,
,"Rare plant - Drummond’s thistle (KP 58+600 to 59+200) Resolved, no further monitoring is recommended.",,,,,,,
NW 29-78-17,MTreed-pasture - Patch of poor vegetation establishment observed on the right-of-way at KP 59.35. oderate densities of Canada thistle and stinkweed observed on right-of-way at KP 59.35.,"June 2013 - KP 58+300 Weed infestation, primarily stinkweed, alfalfa improving. Recommend weed control. August 15, 2013 Intermittent herbicide application conducted to control weeds throughout ¼. Oct 29, 2013 - KP 59+350 HDD site is covered with C. thistle – recommend weed control","June 6, 2014 – Vegetation cover is 100% compared to off ROW (2012 vegetation issue resolved). – KP 59+100, Subsidence not affecting land use. – KP 59+100 – 59+300, Spot spray Canadian thistle. – KP 59+300, Silt fence to be removed. Diversion berms are in good condition and slope is stable.  June 18, 2014 – KP 59+300, Silt fence removed. – KP 59+100 – 59+300, Canada Thistle controlled with herbicide application, monitor in 2015.","June 4, 2015 – Vegetation cover is 100% of off RoW. No erosion or subsidence observed.  – KP 59+275, diversion berms appear to be in good condition and slope is stable – KP 59+300, minor Canada thistle observed (stinkweed no longer present as noted in 2012 and 2013, issue resolved). Recommend weed control.  July 4, 2015– KP 59+300 – herbicide application conducted to control Canada thistle. Foxtail barley noted on north facing slope. Hand-picked most of it and disposed of it appropriately.  September 30, 2015 – Additional herbicide application to control Canada thistle.","June 21, 2016 - 100% vegetation cover compared to off-RoW  - KP 59+190, sporadic Canada thistle observed. Recommend weed control. Not completed as landowner intended on haying. Haying not completed due to wet conditions. Re-assess in 2017. - KP 59+265 to 59+285, diversion berms along hillslope have washed out. Appears to have been washed out during recent heavy rainfalls in area. - No subsidence was observed in this 1/4 July 22, 2016 - KP 59+190 - Landowner to control Canada thistle through haying operations, issue resolved. August 26, 2016 - KP 59+265 to 59+285 – minor sloughing as a result of major rainfall that caused extensive flooding in area. Slope appears stable at this time and sloughed area has already begun to revegetate. Re-assess in 2017",,,
NW 29-78-17,Rare plant - Drummond’s thistle (KP 59+300) Resolved: No further monitoring is recommended.,,,,,,,
NW 29-78-17,Rare plant - riverbank anemone (KP 59+300) Resolved: No further monitoring is recommended.,,,,,,,
NW 29-78-17,Kiskatinaw River,"Oct 29, 2013 - Kiskatinaw River –river was completed through HDD, therefore there was no disturbance along the river banks.","River crossing was completed through HDD, therefore there was no disturbance along the river banks.","June 4, 2015 - River crossing was completed through HDD, therefore there was no disturbance along the river banks","June 21, 2016 - River crossing was completed through HDD, therefore there was no disturbance along the river banks",,,
SE 32-78-17,Tame pasture,Re assess spring 2014,No issues noted.,"June 4, 2015 – Vegetation cover is 100% of off RoW control. – No weeds, erosion, or subsidence observed. – KP 58+900, access trail to RoW through SE 32-78-17W6M has low areas holding water. Landowner requested rig mats or other control measures so he can access through trail. It was determined that this was a pre-existing condition and not related to pipeline construction, no work required, issue resolved.","June 24, 2016 - Vegetation cover is 100%. ATV trail has 80-90% vegetative cover, 3<s>rd</s> party disturbance, no work recommended, issue resolved. No noxious weeds observed in ¼ - No erosion or subsidence observed in ¼.",,,
NE 30-78-17,"MTreed Pasture - Two areas of subsidence observed on the right-of-way at KP 60.00. Subsidence repaired in September 2012. Poor vegetation establishment observed on the right-of-way at KP 60.00. One plant of common tansy observed on the right-of-way at KP 60.77. The plant was picked on September 18, 2012. Wetlands were observed to be in functional at-risk condition from KP <s>59.85 to KP 59.86,</s><s>KP 60.07 to KP </s><s>60.10,</s><s>KP 60.26 to KP 60.44, and </s>60.54 to KP 60.66 due to limited vegetation establishment. onitor vegetation growth in 2013.","Oct 30, 2013 - Good vegetation cover (>90%; 2012 vegetation issue at KP 60+000 is resolved) – no indication of subsidence or erosion. 2012 subsidence issues (KP 60+000) resolved. Several patches of C. Thistle and one area with limited to no vegetation cover. – monitor in 2014. No common tansy present, 2012 issue resolved.","June 7, 2014 – 100% Vegetation compared to off RoW. – Minor recreational ATV use in section. – No signs of erosion. – KP 60+325 Canada Thistle in low area, minor occurrence, continue to monitor.  – KP 60+690 minor Subsidence, not affecting land use. Monitor.","June 4, 2015 – Vegetation cover is 100% of off RoW control. – No erosion observed. – KP 60+300, minor Canada thistle observed. Recommend continued monitoring.  – KP 60+690, minor intermittent subsidence observed, not affecting land use. No work recommended, issue resolved.","June 23, 2016 - 100% vegetation cover of off-RoW. - Canada thistle observed in sporadic patches throughout ¼. Recommend weed control.  - Wetlands in ¼ appear to be in good condition. Excellent vegetation cover (100% of off-RoW). Issues resolved. - No erosion observed in this ¼. July 5, 2016 – intermittent (spot spraying) herbicide application to control Canada thistle.",,,
NE 30-78-17,Rare plant - yellow collar moss (KP 60+000) Resolved: No further monitoring is recommended.,,,,,,,
NE 30-78-17,Rare plant - purple stemmed aster (KP 60+200 to 60+400) Resolved: No further monitoring is recommended.,,,,,,,
,Rare plant - autumn willow (KP 60+400) Unresolved: Further monitoring is recommended.,"On August 12, 2013, Rare Plant Specialists visited the location and observed the rare plants (autumn willow) on the right-of-way. Purple -stemmed aster was also observed on the right-of-way. Resolved, no further monitoring is recommended.",,,,,,
,Rare plant - autumn willow (KP 60+600) Unresolved: Further monitoring is recommended.,"On August 12, 2013, Rare Plant Specialists visited the location and observed the rare plants on the right-of-way as well as many other willow species. Resolved and successful: No further monitoring is recommended.",,,,,,
,Rare plant - purple stemmed aster (KP 60+600) Resolved: No further monitoring is recommended.,,,,,,,
SE 30-78-17,Rare plant – purple stemmed aster (Pipe lay down area (approximately 180 m northeast of the railway). Near KP 60+000.) Resolved: No further mitigation is recommended.,,,,,,,
NW 30-78-17,Treed pasture - Trench crown blocking cross drainage observed on the right-of-way at KP 60.98. Canada thistle observed on right-of-way from KP 60.53 to KP 60.64.,"Oct 30, 2013 - Good vegetation cover (>90%) – no indication of subsidence or erosion. Several patches of C. Thistle – monitor in 2014. - At KP 61+00 the area appears to have reduced vegetation cover, but it is consistent with the organic soils (wetland) that are adjacent off ROW. No indication of trench crown affecting water flow at KP 60+980, issue resolved.","June 7, 2014 – 100% vegetation cover compared to off RoW. – No weeds identified. – KP 61+550, minor Subsidence, not affecting land use, monitor.","June 4, 2015 - Vegetation cover is 100% of off RoW control. – No weeds or erosion observed.  KP 61+550, minor subsidence observed, not affecting land use. No work recommended, issue resolved. KP 61+400 – foreign pipeline crossing observed. Appears soils disturbed and piled over RoW, monitor.","June 23, 2016 - 100% vegetation cover of off-RoW.  - Canada thistle observed in sporadic patches throughout ¼. Recommend weed control. - No erosion observed in ¼. - KP 61+400, disturbed and piled soils observed in 2015 at foreign pipeline crossing have been cleaned-up. Area is vegetating well. Issue resolved. July 5, 2016 – intermittent (spot spraying) herbicide application to control Canada thistle.",,,
NE 25-78-18,Treed-pasture - Subsidence observed on the right-of-way from KP 61.84 to KP 62.04. Moderate densities of lamb’s-quarters and stinkweed observed from KP 62.30 to KP 62.50.,"Oct 30, 2013 - Good vegetation cover (>90%) – no indication of erosion. No weeds noted from KP 62+300 to 62+500, 2012 issue resolved. Subsidence at KP 61+850 – not currently affecting land use or recovery of ROW, issue resolved.","June 7, 2014 – 100% vegetation cover compared to off RoW. – No erosion issues – KP 61+800 – 61+920, 62+100, and 62+500, minor Subsidence that is not affecting land use continue to monitor. – KP 61+920, Small patch of Canada Thistle, monitor in 2015.","June 4, 2015 – Assessed RoW from adjacent railway tracks as landowner did not grant permission to cross land. – Vegetation cover is 100% of off RoW control. – No weeds, erosion, or subsidence observed.",Access was not granted by landowner.,,,
NE 25-78-18,Rare plant - Drummond’s thistle (KP 61+900) Resolved: No further monitoring is recommended.,,,,,,,
NE 25-78-18,Rare plant - Torrey's sedge (KP 62+200 to 62+400) Resolved: No further monitoring is recommended.,,,,,,,
NE 25-78-18,Rare plant - Drummond’s thistle (KP 62+200 to 62+400) Resolved: No further monitoring is recommended.,,,,,,,
NE 25-78-18,Rare plant - riverbank anemone (KP 62+200 to 62+400) Resolved: No further monitoring is recommended.,,,,,,,
NW 25-78-18,Hay - Moderate vegetation establishment observed on the right-of-way. High density of lamb’s-quarters observed in patches on the right-of-way.,"May 2013 - Intermittent minor subsidence noted, landowner to complete repairs. An excellent alfalfa catch. 2012 vegetation and weed issues resolved. Oct 30, 2013 - Landowner has recently repaired subsidence on the RoW – monitor in 2014.","June 7, 2014 – Vegetation cover is 100% of off RoW with exception of subsidence repairs completed by Landowner in 2013. – KP 62+700, Weeds (Canada Thistle) on west side of creek. Recommend control. July 25, 2014 - KP 62+700, Hand pulled Canadian thistle on west side of the creek. July 27, 2014– KP 63+000 to 63+300, Minor subsidence on area repaired by Landowner in 2013. Continue to monitor. – KP 63+200 – 63+225, Poor vegetation cover, monitor.  Additional Canada Thistle was control with herbicide application, monitor in 2015.","June 2, 2015 – 100% vegetative cover compared to off RoW control. No erosion observed.  – KP 62+000, area of 2014 subsidence repairs vegetating well, issue resolved. – KP 63+170, minor intermittent subsidence observed, not affecting land use. No work recommended, issue resolved.","June 23, 2016 - 100% vegetative cover compared to off RoW.",,,
,Rare plants - autumn willow; prairie buttercup (2 occurrences); Drummond’s thistle (along proposed access trail) The proposed access road was cancelled. Resolved: No further monitoring is recommended.,,,,,,,
,Fox Creek,"Oct 30, 2013 - Fox Creek – Excellent vegetation cover on all slopes. No indications of any slumping, subsidence or erosion. Hundreds of trees are regenerating on the edges of the RoW naturally.","June 7, 2014 – Stream banks are in great condition. Minimal shrubs or trees were noted below the high water mark. There is 100% veg cover above the high water mark with soil wraps and banks stable below high water mark. A variety of vegetation was noted. Pipeline marker signs are in place on both sides of the creek. – KP 62+700, silt fence to be removed on west side of creek. July 24, 2014 - KP 63+900, Removed silt fence.","June 2, 2015 – 100% vegetative cover compared to off RoW control.  – KP 62+780, Canada thistle observed on west bank of Fox Creek water course. Recommend weed control. – Stream banks are in great condition. Pipeline marker signs are in place on both sides of the creek in good condition – Plastic waddles observed along diversion berms, remove. July 5, 2015 – KP 62+780 – intermittent (spot spraying) herbicide application conducted to control Canada thistle. Sept 30, 2015 - Pulled plastic waddles, issue resolved. September 30, 2015 – Additional intermittent (spot spraying) herbicide application conducted to control Canada thistle","June 23, 2016 - 90-100% vegetative cover compared to off RoW. Creek water level very high due to recent heavy rains.  - KP 62+640 and KP 62+765, Canada thistle observed on east and west hillslopes of Fox Creek. Recommend weed control. Control weeds in 2017 - Washouts and erosion rills evident on west side of creek. Recommend repairing with hand tools and re-seeding.  - creek bank has sloughed into the creek on west side of creek off the RoW, as it is off RoW no work required, issue resolved. August 26, 2016 - Banks and slopes on ROW appear more stable and well vegetated than off ROW. October 7, 2016 – repaired washouts and erosion rills, issue resolved.",,,
,Rare plant - prairie buttercup (KP 63+200 to 63+400) Unresolved: Further monitoring is recommended.,"On August 11, 2013, Rare Plant Specialists visited the location and did not observe the rare plants. The right-of-way was densely covered by clover and grass species which are found on pastures in the vicinity and attempts to control would not be prudent or beneficial to the overall regeneration of rare plant populations at this location. It is anticipated that competition will prevent the rare plants from recolonizing at the site. Resolved, no further monitoring is recommended.",,,,,,
NE 26-78-18,Rare plant - Drummond’s thistle (KP 63+200 to 63+700) Resolved: No further monitoring is recommended.,,,,,,,
,"Treed-pasture - High density of stinkweed and lamb’s-quarters observed on the right-of-way. One plant of scentless chamomile was observed at KP 64.00. The plant was picked on September 16, 2012. Wetland from KP 63.22 to KP 64.04 was observed to be in functional at-risk condition due to limited vegetation establishment. Monitor vegetation growth in 2013.","May 2013 - Thistles observed along ROW in relatively high densities. No scentless was observed, as one plant was picked in 2012. Oct 30, 2013 - 100% vegetation cover, weeds no longer prevalent (2012 weed issue resolved) – no indication of subsidence, erosion. KP 64+000 - No indications of Scentless Chamomile located on the RoW, issue resolved. Wetland vegetation is poorly developed, but likely to improve overtime – intermittent standing water on and off the RoW.","June 7, 2014 – Vegetation cover is 100% of off RoW – No weeds noted. – KP 63+400, Wetland on east side of ¼ in good shape. Healthy vegetation, issue resolved. – KP 63+500 – 63+800, beaver dammed drainage off ROW and caused flooding on and off ROW.  – KP 63+800, Minor subsidence not affecting land use, monitor.","June 2, 2015 – 100% vegetative cover of off RoW control. No weeds or erosion observed.  – Wetland on east side of ¼ appears to be in good condition. – KP 63+540, surface water in depression area and off RoW. Neighboring landowner has setup above ground piping across RoW to pump out water. – KP 63+770, minor intermittent subsidence observed, not affecting land use. No work recommended, issue resolved.","June 22, 2016 - 100% vegetation cover compared to off-RoW  - Sporadic Canada thistle observed throughout ¼. Recommend weed control  - KP 63+440, access trail crossing RoW observed. It appears landowner/occupant uses trail to access off-RoW areas in ¼. There is no vegetation on trail due to vehicle/equipment traffic, not related to the pipeline construction, issue resolved. - Wetland within ¼ in good condition with 100% vegetation cover comparable to off-RoW. Issue resolved. - KP 63+540, surface water in depression area noted in 2015 has been reduced due to installation of a larger culvert on the south side of RoW at the railway tracks. Issue resolved.  - KP 63+770 and 63+800, minor intermittent subsidence observed appears stable, well-vegetated and does not appear to be affecting land use. Issues resolved. July 6, 2016 - Intermittent (spot spraying) herbicide application to control Canada thistle. - KP 63+925, Small patch of white cockle observed near watercourse. Handpicked 0.5 bags",,,
,Rare plant - Torrey's sedge (KP 63+300 to 63+400) Unresolved: Further monitoring is recommended.,"On August 11, 2013, Rare Plant Specialists visited the location and did not observe the rare plants. The right-of-way was densely covered by clover and grass species which are found on pastures in the vicinity and attempts to control would not be prudent or beneficial to the overall regeneration of rare plant populations at this location. It is anticipated that competition will prevent the rare plants from recolonizing at the site. Resolved, no further monitoring is recommended.",,,,,,
,Rare plant - prairie buttercup (KP 63+700) Unresolved: Further monitoring is recommended.,"On August 11, 2013, Rare Plant Specialists visited the location and located the stakes on the bank; however no prairie buttercup was observed. River anemone was located within the stakes. Unresolved: Further monitoring is recommended in 2015, earlier in the growing season when the plants are most readily observed and after the rare plants have had sufficient time to re-establish.","September 7, 2014 - Species not observed during the site visit; however recorded GPS location of the pre-disturbance population is located outside of disturbed Project ROW. No suspected Project related effects to the pre-disturbance population. Resolved, no further monitoring is recommended.",,,,,
,Tributary to Fox Creek,"Oct 30, 2013 - Tributary to Fox Creek  Excellent vegetation cover on all slopes. No indications of any slumping, subsidence or erosion. Remove silt fencing in 2014. Hundreds of trees are regenerating on the edges of the RoW naturally.","June 7, 2014 – Dominant vegetation is grasses with 100% vegetation cover of off RoW. Banks are in great condition. There is 100% vegetation cover though the riparian area. Pipeline marker signs are in place on both sides of the creek. – KP 63+900, silt fence to be removed on east side of creek. July 24, 2014 - KP 63+900, Removed silt fence.","June 2, 2015 - 100% vegetative cover compared to off RoW control. There is good vegetation cover through the riparian area. Banks appear to be in great condition and well vegetated. Pipeline marker signs are in place on both sides of creek.","June 22, 2016 - Tributary to Fox Creek has good vegetative cover on hill slopes and banks. Banks and crib walls appear stable.",,,
,Rare plant - riverbank anemone (KP 63+800) Unresolved: Further monitoring is recommended.,"On August 11, 2013, Rare Plant Specialists visited the location and observed three riverbank anemone within the stakes. Resolved, no further monitoring is recommended.",,,,,,
NW 26-78-18,"Treed-pasture - Trench crown blocking cross drainage observed on the right-of-way at KP 64.50. Patches of Canada thistle observed on the right-of-way at KP 64.26 and KP 64.39. Patch of flixweed and stinkweed observed on the right-of-way from KP 64.50 to KP 64.70. One plant of scentless chamomile was observed at KP 64.50. The plant was picked on September 16, 2012. Wetland from KP 64.44 to KP 64.51 was observed to be in functional at-risk condition due to limited vegetation establishment. Monitor vegetation growth in 2013.","May 2013 - Good revegetation of willows. Oct 30, 2013 - KP 64+500 No scentless chamomile located on RoW, 2012 issue resolved. Ditchline cross drain (KP 64+500) not an issue – water can drain off RoW to a low-lying area to the north and down RoW to low area on south edge of RoW, 2012 issue resolved. – Multiple patches of C. thistle in this portion of the RoW, other broad leaf weeds were not noted as issues (2012 issue with flixweed and stinkweed resolved) – monitor in 2014 and control as needed.","June 7, 2014 – Vegetation cover is 100% of off RoW– No issues with subsidence or erosion.  – Seasonal drainages in ¼ functioning. Good vegetation and no signs of erosion. – No weeds noted. – KP 64+440 to 64+510 - Wetland is in good shape. Good vegetation, comparable to off ROW, issue resolved.","June 2, 2015 – 100% vegetative cover of off RoW control. No erosion or subsidence observed. Seasonal drainages appear to be functioning well.  - Wetland within ¼ appears to be in good condition with 100% vegetation cover comparable to off-RoW. – Canada thistle observed throughout ¼. Recommend weed control October 30, 2015 - Assessed Canada thistle within tract. Canada thistle appears to have gone to seed and no further control is needed this year. Recommend re-assessing in 2016 and implementing weed control, as required.","June 22, 2016 - 100% vegetation cover compared to off-RoW  - Sporadic Canada thistle observed throughout ¼. - Seasonal drainages in ¼ appear to be functioning well.  - No erosion or subsidence observed in ¼ - KP 64+925, newly built adjacent facility observed. July 6, 2016 - Intermittent (spot spraying) herbicide application to control Canada thistle.",,,
NW 26-78-18,Rare plant - purple-stemmed aster (KP 64+100 to 64+450) Resolved: No further monitoring is recommended.,,,,,,,
NW 26-78-18,Rare plant - Drummond’s thistle (KP 64+450) Unresolved: Further monitoring is recommended.,"On August 11, 2013, Rare Plant Specialists visited the location and did not observe the rare plants on the right-of-way or at the transplant site. The right-of-way was densely covered by clover and grass species which are found on pastures in the vicinity and attempts to control would not be prudent or beneficial to the overall regeneration of rare plant populations at this location. It is anticipated that competition will prevent the rare plants from recolonizing at the site. Resolved, no further monitoring is recommended.",,,,,,
NW 26-78-18,Rare plant - prairie buttercup (KP 64+500) Unresolved: Further monitoring is recommended.,"On August 11, 2013, Rare Plant Specialists visited the location and did not observe the rare plants. It is anticipated that competition will prevent the rare plants from recolonizing at the site. Resolved, no further monitoring is recommended.",,,,,,
NW 26-78-18,Rare plant - purple-stemmed aster (KP 64+600 to 64+700) Resolved: No further monitoring is recommended.,,,,,,,
NW 26-78-18,Rare plant - autumn willow (KP 64+600) Resolved: No further monitoring is recommended.,,,,,,,
NW 26-78-18,"Rare plant - Drummond’s thistle (KP 64+700) Resolved, no further monitoring is recommended.",,,,,,,
NE 27-78-18,Treed-pasture - Water pooling on the right-of-way caused by poor contouring at KP 65.16.,"May 2013 - 2012 assessment recommended recontouring the ROW to avoid pooling water at 65+160. The pooling of water does not appear to be caused by presence of ROW but rather by the installation of an adjacent lease. Standing water is not causing any issues and the alfalfa catch is very good, would not recommend re contouring ROW. Issue resolved","June 7, 2014 - Vegetation cover 90-100% of off R0W. Land was not grazed last year - Minor subsidence at KP 65+700 not affecting land use, continue to monitor.","June 2, 2015  – 100% vegetative cover of off RoW conditions. No weeds or erosion observed. – KP 65+700, minor subsidence observed, not affecting land use. No work recommended, issue resolved.","June 21, 2016 - Strong vegetation growth with cover at 100% compared to off ROW. No noxious or invasive weeds were observed in this 1/4 - No other subsidence or erosional issues were identified.",,,
NW 27-78-18,Cultivated - High density of stinkweed observed on the right-of-way.,"June 2013 - Minor subsidence throughout – particularly noted at: KP 65+960 and 66+800 subsidence; recommend repair  Oct 30, 2013 - High density of stinkweed and lamb’s ¼ through the entire RoW. Recommend implementation of control measures.","June 7, 2014 - Vegetation cover 90-100% of off R0W - Minor patches of stink weed throughout tract No subsidence, Land owner farmed out subsidence noted last year and reseeded RoW, issue resolved. Landowner in negotiations to remove ROW fence.","May 29, 2015 - Vegetation growth is at 95-100% of off ROW control - Stinkweed previously noted in ¼ appears to have been choked out by the desired vegetation growth, issue resolved. - No subsidence or erosion was noted in this ¼.","June 21, 2016 - 90-100% vegetation cover compared to off-RoW  - Cattle grazing was evident on/off-RoW - No noxious weeds were observed - ROW fences have been removed on both boundaries.  - No subsidence or erosion was observed in this ¼.",,,
SW 34-78-18,Cultivated - High density of stinkweed observed on the right-of-way.,"June 2013 - Minor subsidence throughout – particularly noted at KP 65+960 and KP 66+800, monitor. Oct 30, 2013 - High density of stinkweed and lamb’s ¼ through the entire RoW. Recommend implementation of control measures.","June 7, 2014 - Vegetation cover 90-100% of off R0W - Minor patches of stink weed throughout tract - No subsidence, Land owner farmed out subsidence noted last year and reseeded RoW, issue resolved - Poor vegetation cover in several locations near KP 66+375, consultation with landowner indicated that this not a concern as the land was recently seeded, monitor.","May 29, 2015 - Vegetation growth is at 95-100% of off ROW control - Stinkweed and lam’s quarter previously noted in ¼ appears to have been choked out by the desired vegetation growth, issue resolved. - No subsidence or erosion was noted in this ¼. - KP 66+360, 66+530, and 66+920 bare spots due to cattle activity, no work recommended, issues resolved.","June 21, 2016 - 90-100% vegetation cover compared to off-RoW. - Cattle grazing was evident on/off-RoW - No noxious weeds were observed - RoW fences have been removed on both boundaries. - Area along former fence line has been disked by landowner. - No subsidence or erosion was observed in this ¼. - KP 66+540, Bare area observed from former cattle crossing, recommend seeding. September 26, 2016 - Hand seeded bare spot at KP 66+540, issue resolved.",,,
NW 34-78-18,Cultivated - High density of stinkweed observed on the right-of-way.,"June 2013 - KP 65+960 subsidence on side bend; recommend repair  KP 66+800 subsidence; recommend repair Oct 30, 2013 - High density of stinkweed and lamb’s ¼ through the entire RoW. Recommend implementation of control measures.","June 7, 2014 - Vegetation cover 90-100% of off R0W - Minor patches of stink weed throughout tract No subsidence, landowner farmed out subsidence noted last year and reseeded RoW, issue resolved.","May 29, 2015 - Vegetation growth is at 95-100% of off ROW control. - Stinkweed and lamb’s quarter previously noted in ¼ appears to have been choked out by the desired vegetation growth, issue resolved. - KP 67+050, Minor subsidence, not currently affecting land use. Continue to monitor.  - No erosion was observed in the ¼.","June 21, 2016 - 100% vegetation cover compared to off-RoW  - No noxious weeds were observed - No erosion was observed in the ¼. - KP 67+050, Subsidence observed. Re-assess after hay is cut. August 8, 2016 - KP 67+050 to 67+100 (intermittent) and 67+170 subsidence observed, recommend repairs. September 27, 2016 - KP 67+050 to 67+100 (intermittent) and 67+170 subsidence repaired.",,,
NE 33-78-18,Cultivated,"June 2013 - Good cover of Alfalfa, subsidence from KP 67+900 to 68+000, recommend repair. KP 69+900 subsidence for 100m of ¼ section carrying into the next ¼; repair in fall. Nov 6, 2013 - Completed subsidence repairs.","June 7, 2014 - Vegetation cover 90-100% of off R0W - Minor erosion at 2013 repair site. 2013 subsidence issues resolved. - No other subsidence noted August 27, 2014 – KP 67+925 to 68+035 – repairs (harrowed and raked) to minor erosion completed and seeded.","May 29, 2015 - Vegetation growth is at 95-100% of off ROW control. - No subsidence was noted in this ¼. - KP 67+925 to 68+035, repair completed in 2014 is vegetating and is at about 70% growth compared to off ROW. Minor erosion rill in repair, no further work recommended, issue resolved.","June 21, 2016 - Hay vegetation cover at 100% compared to off ROW  - No noxious or invasive weeds were observed in this ¼. - Erosion repaired in 2014 from KP 67+925 to 68+035 is vegetating well and cover is approximately 80-90% compared to the rest of the ROW. Some minor erosion riling was observed but it was vegetated and does not appear to be affecting land use. Issue resolved. - Landowner had mentioned a washout previously being in this ¼. No additional erosion noted, other than the repair done in 2014 at KP 67+925 to 68+035, no work recommended, issue resolved.",,,
NW 33-78-18,"Treed-pasture - Areas of rill erosion observed on the right-of-way. Poor vegetation establishment observed on the right-of-way. Moderate density of foxtail barley, narrow-leaved hawk’s-beard and stork’s bill observed on the right-of-way.","June 2013 - Good cover of pasture grasses, 2012 vegetation cover issue resolved. -Subsidence noted from KP 68+000 to KP 68+200, recommend repair. - Landowner would like the fence that was removed during construction re-installed, as well as cross fence at KP 68+350. August 1 - 4, 2013 West side of quarter, installed gate (west side of ¼) and re-installed fence and cross fence, issue resolved. Oct 30, 2013 - Weeds were not located on the RoW, 2012 weed issue resolved – Hay recently cut and bailed. 2012 rill erosion could not be located, issue resolved. Nov 6, 2013 - Completed subsidence repairs (KP 68+000 to 68+200), issue resolved.","June 7, 2014 - Vegetation cover 90-100% of off R0W - Weeds throughout tract, Lambs 1/4, and Canada thistle, control required. Aug 24, 2014 - Minor subsidence at 68+650, not affecting land use, no work recommended, issue resolved. Aug 27, 2014 – noxious weeds (Perennial Sow Thistle and Canada Thistle) controlled with herbicide application, monitor in 2015. – KP 68+035 to 68+125 – Erosion repaired (harrowed and raked) and seeded.","May 31, 2015 – 100% vegetative cover of off RoW control. No erosion observed.  – KP 68+420, dugout looks good. No erosion observed and berms are vegetating well. – KP 68+650, minor intermittent subsidence observed, not affecting land use. Recommend continued monitoring.  – KP 68+865, minor Canada thistle observed. Recommend control October 30, 2015 - Assessed Canada thistle within tract. Canada thistle appears to have gone to seed and no further control is needed this year. Recommend re-assessing next year and implementing weed control as required.","June 21, 2016 - Half of the ¼ is in hay crop and half is not hayed. The hayed portion of the ROW is at 100% vegetation cover compared to off ROW. The other half of the ¼ that is not hayed has some common weeds but are equivalent to off ROW in this area.  - Bull thistle and Canada Thistle was observed from KP 68+275 to 68+900. Recommend spot spraying with herbicide.  - Previously noted subsidence (2015) at KP 68+650 is well vegetated and not affecting land use or pipe integrity. Issue resolved. - No erosional issues were observed in this ¼. July 6, 2016 - KP 68+275 to 68+900, Canada thistle and bull thistle observed in hay portion of field. As hay is going to be cut soon, the weeds will be mechanically controlled by haying operation.",,,
