Land Description,Length  (m),Width (m),Observations 2010 Assessment,Observations 2011 Assessment,Observations 2012 Assessment¹,Observations 2013 Assessment,Observations 2014 Assessment¹,Observations 2015 Assessment,Observations 2016 Assessment,VEC,GIS,Topic
NW 5-30-4 W4 CofT No. 901 213 283,40,6,Native Range: very good growth of seeded fescue on ROW in general (A2 mix); heavy grazing pressure.,•  Fair/ good native vegetation establishment (± 60%) of A2 mix.  •  Vegetation control of invasive species (sweet clover) earlier in season to mitigate impact to native vegetation establishment. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.,"Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species green needle grass (20%), slender wheat grass (18%), western porcupine grass (9%). •  Smooth brome and crested wheat grass (1% each) observed; not a concern at this stage, continue to monitor.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 5-30-4 W4 CofT No. 110Y221,500,6,Native Range: very good growth of seeded fescue and fescue plugs; heavy grazing pressure (no fences); fescue plugs found were 3-5” high and seemed more advanced in the growth stage than seeded fescue from A1 mix NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.,"•  Fair/ good native vegetation establishment (± 60%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is decent success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012. •  Plugs also within NRMP Follow-up Monitoring Plots-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report.","•  Dominant species western porcupine grass (12%), green needle grass & slender wheat grass (9%each).  •  Plains rough fescue present (1%) from undetermined source. •  Crested wheat grass present in the control (3%) and on the ROW (8%); continue to monitor site.  •  Canada thistle (1% each) and annual hawksbeard require control. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species crested wheat grass (16%), green needle grass (10%).  •  Plains rough fescue present at 1% from undetermined source. •  Crested wheat grass increased from 8% to 16%, control stable at 3%.  •  Site not fenced, light to moderate grazing intensity, observed utilization 25%. •  Canada thistle (< 1%) requires control.",Assessment indicated no weeds. No weed control required in 2015.,"KInnotech Alberta observations: •  The old pipeline to the West of the site is a source of invasive forage. •  The third and fourth treatments from the south are in a slope depression that appears to be moister than surrounding treatments. •  Smooth  brome  grass,  green  needle  grass  and  crested  wheat  grass  are dominant on ditch line. •  2014 and 2016 - side oats grama found here in small amounts. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
SW 5-30-4 W4 CofT No. 110Y221,500,6,Not applicable,Not applicable,Not applicable,Not applicable,"•  A1M- Seed mix with mid seral species present; awned wheat, green needle, western porcupine, but under heavy competition from multiple competitive invasive grasses sourced from old pipeline running parallel to ROW; crested wheat, smooth brome, quack grass and Kentucky bluegrass.  •  Hay treatment with high diversity, species coming from infill, hay, seed mix and invasion, good cover values and forb diversity. •  Seed and hay similar to seed treatment showing additional native influence of needle and thread and low goldenrod. •  Seed and plugs similar to seeded. No fescue plugs added to fescue cover.  •  Heavy thatch in areas from previous year’s mowing.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 32-29-4 W4 CofT No. 65O210A,800,6,Native Range: Very good growth of seeded fescue (A1 mix) and fescue plugs; sometimes difficult to determine what was seeded fescue vs. what were plugs.,"•  Good native vegetation establishment (± 75-80%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (18%), slender wheat grass (16%), western porcupine grass (15%).  •  Plains rough fescue present (1%) from undetermined source. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover.","•  Dominant species green needle grass (17%), western porcupine grass (10%), Kentucky bluegrass (15%).  •  Plains rough fescue constant at 1% from undetermined source. •  Kentucky bluegrass increased from < 1% to 15%.  •  Site not fenced, moderate grazing intensity, observed utilization 40%.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NW 29-29-4-W4,160,6,Native Range: LT reclamation plot – hard to find fescue plugs if any NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.,"•  Good native vegetation establishment (± 75-80%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Plugs also within NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (21%), green needle grass (14%).  •  Plains rough fescue present (1%) from undetermined source. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species green needle grass (15%), western porcupine grass (8%).  •  Plains rough fescue increased from 1 % to 6% from plugs, rhizomes and seed. •  Site fenced and not grazed, consider removing fence, litter levels excessive (1370 lb/ac). •  Sweet clover present at 3%, consider spot spraying and monitor new plant growth.  •  Annual hawk’s-beard present at   < 1%, consider spot spraying and monitor new plant growth.",Weed control was conducted in 2015 based on assessment recommendations.,"KInnotech Alberta observations: • <s>Site is still fenced </s>completely. • <s>Some intensely </s>grazed patches observed. • <s>Site is observed to be </s>very pristine with very little invasion or agronomics. • <s>Ditch line is dominant </s>in green needle grass. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  Weed control is considered complete.",,,
NW 29-29-4-W4,160,6,Not applicable,Not applicable,Not applicable,Not applicable,"•  A1S- on plateau, dry upland, very few invasives, one small patch of blue lettuce off ditch line. •  Seed treatment western wheat green needle dominant but this site has the highest cover of plains rough fescue at approx. 12%. •  Hay treatment western wheat dominant with significant counts of western porcupine 15%, some infill from seed mix and natives evident. •  Seed and plug treatment similar to seeded treatment, plugs not showing significant increase in plains rough fescue. •  Seed and hay similar to seed treatment showing higher western porcupine cover.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 29-29-4 W4 CofT No. 110Y220A,350,6,Native Range: Very good growth of seeded fescue (A1 mix) and fescue plugs; sometimes difficult to determine what was seeded fescue vs. what were plugs.,"•  Good native vegetation establishment (± 70-80%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is decent success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. Herbicide application conducted to control foxtail barley. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (19%), slender wheat grass & western porcupine grass (12% each).  •  Plains rough fescue present (<1%) from plug. •  Perennial sow thistle (1%) requires control. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (30%), western porcupine grass (15%).  •  Plains rough fescue increased from 1% to 6% from plugs, seed and rhizomes. •  Site fenced and not grazed, consider removing fence. •  Perennial sow thistle and awnless brome (single patches) in undisturbed portion ROW. Consider spot spraying to control or eliminate both species. Continue to monitor.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 8-29-4 W4 CofT No. 66Z110,800,6,Requires assessment in 2011.,•  Entire ROW re-seeded in fall 2010. Fair/ good native vegetation establishment (± 65-70%) of A1 mix in 2011. •  A few plugs are evident and difficult to identify fescue plugs from seeded fescue. •  Herbicide application conducted to control foxtail barley. •  Continue to monitor in summer of 2012.,"•  Dominant species green needle grass (20%), slender wheat grass (10%).  •  Plains rough fescue present (<1%) from plug. •  Side-oats grama (<1%) recorded.  •  Canada thistle (1%) requires control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone is discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (18%), western porcupine grass (12%).  •  Plains rough fescue present at 3%. •  Side-oats grama recorded at 2%. •  Gates open, unutilized to light grazing intensity, not grazed in 2014 yet.   •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 5-29-4 W4 CofT No. 52Y 103,450,6,Requires assessment in 2011.,•  Entire ROW re-seeded in fall 2010. Fair/ good native vegetation establishment (± 65-70%) of A1 mix in 2011. •  Fescue plugs appear to have near 100% mortality and were not planted again in this quarter. •  No further fescue plug monitoring required.,"Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species green needle grass (20%), slender wheat grass (10%).  •  Plains rough fescue present (<1%) from plug. •  Side-oats grama (<1%) recorded.  •  Canada thistle (1%) requires control.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE-28-23-04-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species northern wheat grass (16%), slender wheat grass (14%).  •  Smooth brome (2%); continue to monitor site.  •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species slender wheat grass (16%), northern wheat grass (12%).  •  Awnless/smooth brome increased from 2% to 9%. And crested wheat grass (<1%), appears to be from previous disturbance. •  Site fenced and not grazed. •  Litter is excessive (1870 lb/ac).   •  Canada thistle (< 1%) requires control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 21-23-4-W4,120,6,Not applicable,Not applicable,Not applicable,Not applicable,"•  A6N- southernmost treatment has become ephemeral wetland with sedges, rushes and cattails. Some little invasion from smooth brome. Site was home to baby birds, and personnel had peaceful meet with rattlesnake. •  Seed mix treatment dominated by green needle and wheat grasses, tall and dissimilar from natural landscape, hopefully these mid-seral species will decline in the community over the next 5 years. •  Seed and hay similar to seed treatment with more needle and thread cover.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 21-23-4-W4,120,6,Requires assessment in 2011.,•  No plugs within this plot. Plains Rough Fescue is not a component of the Dry Mixed-grass native species in the area. See NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report.,"Detailed assessment for this site not conducted by specialists, as 2012 was not a planned field year. Information below extrapolated from 2011 report. Conditions assumed to be similar in 2012 (i.e. moisture conditions and agricultural use). •  Many naturally occurring native species, including the late seral needle and thread grass. Other species include: Low sedge, Purple milk vetch, Scarlett butterfly weed, Prairie goldenrod, carex (upland),Western wheatgrass, Slender wheat grass Prairie sagewort, Purple milk vetch, Rough cinquefoil, White cinquefoil, Mouse-eared chickweed, Common yarrow, Prairie rocket, Prairie Crocus, Scarlett mallow, Prairie coneflower, White beard-tongue and buckbrush, Small flowered rocket, Wire rush, Foxtail barley, and Narrow leaved goosefoot. •  Species also recorded on the sites included: Canada thistle (Cirsium arvense), Narrow-leaf hawksbeard (Crepis tectorum) and Crested wheatgrass.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Assessment indicated no weeds. No weed control required in 2015.,"KInnotech Alberta observations: •  Travel lane and spoil storage transects are needle grass dominant. •  Ditch line contains green needle grass, smooth brome grass and quack grass. •  The last treatment to the South is now a wetland. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  Weed control is considered complete.",,,
NW 3-23-4-W4,120,6,Requires assessment in 2011.,•  No plugs within this plot. Plains Rough Fescue is not a component of the Dry Mixed-grass native species in the area. See NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report.,"Detailed assessment for this site not conducted by specialists, as 2012 was not a planned field year. Information below extrapolated from 2011 report. Conditions assumed to be similar in 2012 (i.e. moisture conditions and agricultural use). •  Many naturally occurring native species, including the late seral needle and thread grass. Other species include: Low sedge, Purple milk vetch, Scarlett butterfly weed, Prairie goldenrod, carex (upland),Western wheatgrass, Slender wheatgrass, Prairie sagewort, Purple milk vetch, Rough cinquefoil, White cinquefoil, Mouse-eared chickweed, Common yarrow, Prairie rocket, Prairie Crocus, Scarlett mallow, Prairie coneflower, White beard-tongue and buckbrush, Small flowered rocket, Wire rush, Foxtail barley, and Narrow leaved goosefoot. •  Species also recorded on the sites included: Canada thistle (Cirsium arvense), Narrow-leaf hawksbeard (Crepis tectorum) and Crested wheatgrass.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  A6M- ROW directly parallel to access road, some invasion of dryland broadleaf undesirables and yellow sweet clover. •  Seed treatment slender, western, northern wheatgrass dominant 76% average cover offering erosion control and high grazing value. •  Hay treatment still with annual broadleaves and much ingress from seeded areas, wheatgrass and green needle dominant.",Assessment indicated no weeds. No weed control required in 2015.,"KInnotech Alberta observations: •  Native hay only treatment is dominant in crested wheat grass. •  Site  beside  the  road  contains  sweet  clover  and  crested  wheat  grass throughout. •  Seeded ditch line is dominant in green needle grass and slender wheat grass. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  Weed control is considered complete.",,,
SE 27-22-4 W4,120,6,Requires assessment in 2011.,•  No plugs within this plot. Plains Rough Fescue is not a component of the Dry Mixed-grass native species in the area. See NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report.,"Detailed assessment for this site not conducted by specialists, as 2012 was not a planned field year. Information below extrapolated from 2011 report. Conditions assumed to be similar in 2012 (i.e. moisture conditions and agricultural use). •  Many naturally occurring native species, including the late seral needle and thread grass. Other species include: Low sedge, Purple milk vetch, Scarlett butterfly weed, Prairie goldenrod, carex (upland),Western wheatgrass, Slender wheatgrass, Prairie sagewort, Purple milk vetch, Rough cinquefoil, White cinquefoil, Mouse-eared chickweed, Common yarrow, Prairie rocket, Prairie Crocus, Scarlett mallow, Prairie coneflower, White beard-tongue and buckbrush, Small flowered rocket, Wire rush, Foxtail barley, and Narrow leaved goosefoot. •  Species also recorded on the sites included: Canada thistle (Cirsium arvense), Narrow-leaf hawksbeard (Crepis tectorum) and Crested wheatgrass.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Assessment indicated no weeds. No weed control required in 2015.,"KInnotech Alberta observations: •  Some small evidence of grazing, although the right-of-way is fenced on both sides. •  Erigeron canadensis (horseweed) patches are observed across the site, both on and off of the right-of-way (heavy infestation). •  The spoil storage and travel lane are observed to be well recovered prairie. •  Still no lichen or club moss (one moss) found, but vascular plant species are observed to be similar to the reference areas. •  Brittle prickly pear and ball cacti observed frequently on the ditch line. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  Weed control is considered complete.",,,
SE 27-22-4 W4,120,6,Not applicable,Not applicable,Not applicable,Not applicable,"•  A6S- plateau above Red Deer River valley, best case scenario for hay treatment, very little invasive species.  •  Seed treatment green needle and wheatgrass dominant with significant needle and thread infill. •  Seed and Hay similar to seeded treatment with more forbs. •  Hay treatment dominated by needle and thread, june grass and blue grama grass closely resembling adjacent land.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 16-22-3-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species slender wheat grass (14%), northern wheat grass (11%).  •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species western wheat grass (19%), blue grama and northern wheat grass (8% each).  •  Gates open, heavy grazing intensity, observed utilization 80% causing bare soil and some rill erosion.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE-09-22-03-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species slender wheat grass (14%), northern wheat grass (11%).  •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species northern wheat grass (18%), slender wheat grass and blue grama (7% each). •  Hail storm caused sheet erosion of litter in places, bare soil (1%) not a concern. •  Gates open, unutilized to light grazing intensity, observed utilization 5%.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW-10-22-03-W4 (west of road),,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species Canada wild rye (40%), western wheat grass (6%).  •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species northern wheat grass (53%), Canada rye grass (7%), green needle grass (5%).  •  Excessive litter > 2000 lb/ac. •  Consider removing fence. Unutilized. •  Baby’s breath (< 1%) requires control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW-10-22-03-W4 (east of road),,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species green needle grass (13%), western wheat grass (12%).  •  Site not fenced. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover.","•  Dominant species blue grama (22%), northern wheat grass (12%).  •  Site not fenced, moderate grazing intensity, observed utilization 50%, preferential grazing over trench line compared to control at 10%. •  Some pedestalling of plants due minor rill erosion possibly due to recent hail storm and grazing pressure reducing litter.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE-10-22-03-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species slender wheat grass (11%), blue grama (10%), needle-and-thread (9%).  •  Crested wheat grass present (<1%); continue to monitor site. •  Site not fenced. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover.","•  Dominant species northern wheat grass (11%), needle-and-thread and blue grama (7% each).  •  Crested wheat grass not recorded or observed. •  Site not fenced, moderate to heavy grazing intensity, observed utilization 65%, preferential grazing over trench line compared to control. •  Moderate amount of rill erosion possibly due to recent hail storm and grazing pressure reducing litter.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE -20-21-01-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species Canada wild rye (15%), needle-and-thread (12%), Indian rice grass (8%).  •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species northern wheat grass (15%), needle-and-thread (10%), sand grass and Indian rice grass (8% each).  •  Gates open, unutilized to light grazing intensity, observed utilization 20%.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW-21-21-01-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species northern wheat grass (16%), needle-and-thread (12%), Canada wild rye (11%). •  Canada thistle and perennial sow thistle (<1% each) require control. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species needle-and-thread (22%), blue grama (12%) northern wheat grass (3%). •  Fenced on north side only, grazed with land to the south, unutilized to light grazing intensity, observed utilization 10%. •  Perennial sow thistle <1%, requires control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 22-21-01-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species northern wheat grass (11%), sand grass (10%), needle-and-thread (7%). •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species sand grass (13%) needle-and-thread (12%) northern wheat grass (4%). •  Gates open, unutilized to light grazing intensity, observed utilization 10%.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 22-21-01-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species northern wheat grass (22%), needle-and-thread (13%), sand grass (5%). •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species northern wheat grass (28%), slender wheat grass (2%), green needle grass (2%) fence. •  Gates open, unutilized to light grazing intensity, 10 % observed utilization. •  absinthe wormwood requires control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
