Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
94I-14-C65,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline.","June 22, 2015  - Vegetation establishment appears to be 85-95% comparable to off ROW control with some areas exhibiting thinner vegetation cover likely attributed to higher densities of mulch. -  Patch of perennial sow thistle found at KP 57+270 and KP 57+800. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. Minor roach settlement evident in wetland areas. - No subsidence or erosional issues evident in tract. July 18, 2015  - Patches of perennial sow thistle in wetland areas at KP 57+270 and 57+800 were handpicked. September 27, 2015 -  - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract September 29, 2016. - Intermittent herbicide application conducted to control perennial sow thistle throughout tracts. - Vegetation continues to establish, exhibiting good growth.  - No issues.",,,
94I-14-C65,Unnamed tributary to Metlahdoa Creek,"September 19, 2014 - Silt fence can be removed at KP 57+500.","June 22, 2015  - Wide creek crossing at KP 57+400 appears to be stable with good vegetation establishment on both banks. Rollback leading to creek is effective as no foreign activity is present. Slow, meandering watercourse caused wetland vegetation development in crossing as comparable to off ROW. Bed appears stable at this time with slow moving water. Fixed marker post and sign on south bank. Recommend removal of silt fences on both banks. July 18, 2015  - Removed silt fences on both banks of creek at KP 57+400, issue resolved. September 27, 2015 - Metlahdoa Creek crossing appeared to be stable.  - Banks were well vegetated and no subsidence or erosion was observed  - Beavers have constructed several dams in the area.  - Removed silt fence and straw waddles from northern and southern boundary of creek crossing, issue resolved.","July 24, 2016 - Ponding water over ditch line, little to no flow. Banks are well vegetated and mature.",,,
94I-14-C55,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline.","June 22, 2015  - Vegetation establishment appears to be 80-90% comparable to off ROW control with some areas exhibiting thinner vegetation cover likely attributed to heavier densities of mulch. Good variety of native grasses, broad-leaf and deciduous species’. - Patch of perennial sow thistle present at KP 58+260. Recommend implementing weed control. - Roach exhibiting approximately 70% vegetation cover compared to ROW but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Patch of perennial sow thistle in wetland area at KP 58+260 was handpicked. September 27, 2015  - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract September 29, 2016. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.  - No issues.",,,
94I-14-C45,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline.","June 22, 2015  - Vegetation establishment appears to be 85-90% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’. - Patch of perennial sow thistle present at KP 59+170. Recommend implementing weed control. - Roach appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted at KP 59+170 to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. September 27, 2015  - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - Herbicide application appears successful. No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract September 29, 2016. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.  - No issues.",,,
94I-14-C44,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline.","June 22, 2015  - Vegetation establishment appears to be 85-90% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’. - Roach is showing good vegetation establishment and appears stable with cross drains functioning well. - Slow moving watercourse at KP 59+500 appears to be stable with good vegetation establishment on both banks. Rollback appears to be functioning well as no activity is present around watercourse. Wide channel has induced vegetation establishment in crossing as comparable to off ROW. Bed appears stable with slow movement of water. Recommend removal of silt fence on both banks. - No subsidence or erosional issues evident in tract. July 18, 2015  - Removed silt fence on north bank of creek crossing at KP 59+500, issue resolved. September 28, 2015  - Vegetation appeared to be well established throughout the ROW with numerous willows and small tress observed.   - High concentrations of sweet clover were also present however native vegetation appeared to be establishing underneath the stands.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted.  - Unnamed tributary water crossing appeared to be stable. Banks appeared to be well vegetated with numerous short to medium willows as well as small trees. A beaver dam that had caused water to pond in the area as well as across the ROW appeared to have recently broken resulting in the draining of the area. This exposed a large amount of bare soils adjacent to the tributary drainage course. These exposed soils appeared to be stable as they were in the down slope position with minimal to no grade. Additionally, large numbers of tree roots and stumps were observed throughout the area.  - Collected silt fence from southern boundary of tributary crossing KP 59+547, issue resolved. - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - No subsidence or erosion issues. - Tributary at KP 59+450 – there is a large beaver dam to the west causing ponded water through out. Banks are vegetated and mature, there is no flow at this time.  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract September 29, 2016. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.  - No issues.",,,
94I-14-C34,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species. Willow (10%) and Raspberry (20%) are present across the ROW.  2013 vegetation cover issue resolved. One juvenile scentless chamomile plant was observed at KP 60+600 picked and bagged, no other issues.","June 22, 2015  - Vegetation establishment appears to be 75-80% cover of ROW. - Perennial sow thistle at KP 60+530 and from KP 60+830 to KP 61+100. Recommend implementing weed control. - Roach showing approximately 75% cover compared to ROW; cross drains are functioning well. - Rollback appears to be effective within tract as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted at KP 60+530 and 60+830 to control perennial sow thistle. Patch of perennial sow thistle plants in wetland area at KP 61+100 were handpicked. September 28, 2015 -  - Vegetation continues to establish along the ROW with numerous willows small shrubs throughout the ROW - Soils appeared stable with no apparent subsidence, erosion or contour issues. - No integrity concerns were noted.  - Non classified drainage appeared to be stable - Several tall buttercup were observed along ditch line KP 61+197, monitor in the future and implement weed control, as required. - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed in the vicinity of the herbicide application.","July 25, 2016 - 75-85% vegetation established within tract compared to off ROW. - Perennial Sow Thistle observed at KP 60+600 and KP 60+975 to 61+000, primarily along ditchline. Herbicide application conducted to control. September 29, 2016 - KP 60+600 – Straightened and secured marker posts and sign at road crossing. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.",,,
94I-14-C24,Treed bog,"September 20, 2014 Wetland located from KP 61+000 to KP 61+300 is well drained and not holding water.  Wetland is establishing emergent riparian vegetation throughout. Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Vegetation establishment appears to be 80-90% cover of ROW. Good variety of native grasses, broad-leaf and deciduous species’. - Perennial sow thistle from KP 61+550 to KP 62+000. Scentless chamomile present at KP 62+000. Recommend implementing weed control. - Roach showing approximately 70% cover compared to ROW; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted from KP 61+550 to 62+000 to control perennial sow thistle and scentless chamomile. September 28, 2015  - Vegetation continues to establish along the ROW with numerous willows small shrubs throughout the ROW - Soils appeared stable with no apparent subsidence, erosion or contour issues. - No integrity concerns were noted.  - Non classified drainage appeared to be stable - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","June 20, 2016  - KP 62+000 Previous Scentless chamomile location, no flowering plants visible.  July 25, 2016 - 80-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract.  Herbicide application conducted to control. September 29, 2016  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  - Vegetation continues to establish, exhibiting good growth.",,,
94I-14-C24,Rare plant - Iowa golden saxifrage (S2S3) - West of KP 61+500 No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Unable to access the site due to helicopter safety concerns. Unresolved, further monitoring is recommended",,"August 20 and September 29, 2016- Species not observed; however, no project related disturbance of this site was observed. The pre-disturbance locations of these species were identified south of the temporary project access road, and were not disturbed during project construction. Resolved, no further monitoring recommended.",,,
,Rare plant - western Jacob's ladder (S4) - West of KP 61+500 No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Unable to access the site due to helicopter safety concerns. Unresolved, further monitoring is recommended.",,"August 20 and September 29, 2016 - Species not observed; however, no project related disturbance of this site was observed. The pre-disturbance locations of these species were identified south of the temporary project access road, and were not disturbed during project construction. Resolved, no further monitoring recommended.",,,
,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy re-establishment, grass species, willow, wild rose, alder no issues (20% cover ditchline, 80-90% ROW), no issues. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishing well throughout tract.",,,,
94I-14-C14,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy re-establishment, grass species, willow, wild rose, alder no issues (20% cover ditchline, 80-90% ROW), no issues. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishment appears to be 85-90% cover of ROW. Good variety of native grasses, broad-leaf and deciduous species’. - Roach exhibiting good vegetation establishment and appears stable; cross drains are functioning well. - Creek crossing at KP 62+830 appears to be stable with banks showing good vegetation establishment.  Bed appears stable with good submerged vegetation establishment and showing slow blow. Minor erosion expanding out across ditchline on both sides of crossing; Continue to monitor for further erosion on banks. Recommend removal of silt fences on south bank. July 18, 2015  - Removed silt fence and steel pegs within waddles on south bank of creek at KP 62+830, issue resolved. September 27, 2015 -  - Vegetation was continuing to establish with small trees, willows and small trees observed throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Unclassified drainage appeared to be stable  -Tributary crossing appeared to be stable.  Removed plastic netted straw waddles and silt fence from northern boundary of un named tributary KP 62+830, issue resolved. - No Noxious or prohibited noxious weeds were observed.","July 25, 2016 - 85-90% vegetation established compared to off ROW. - Watercourse (KP 62+830) banks were stable and revetments were in good condition. Water has ponded on ditchline at the crossing but no erosion concerns were observed due to the well vegetated banks. Continue to monitor. - Perennial sow thistle observed intermittently throughout tract. Herbicide application conducted to control. September 29, 2016 - KP 62+900 - Removed silt fence. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.  - No issues.",,,
94I-14-C4,Moderate vegetation establishment,"September 20, 2014 - vegetation showing healthy establishment, although sweet clover is dominate species with areas of raspberry and wild rose starting to fill in the edges of the ROW (30% cover ditchline, 50 % ROW). 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishment appears to be approximately 85-95% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’.  2014 vegetation composition issue resolved. - Roach exhibiting thinner vegetation cover in some areas along ROW but appears stable; cross drains are functioning well. - Fixed marker sign at KP 63+200, issue resolved. - No subsidence or erosional issues evident in tract. September 28, 2015  - Vegetation was continuing to establish with small trees, willows and small trees observed throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Foreign pipeline and access road crossing appeared to be stable.","July 25, 2016 - 85-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract. Herbicide application conducted to control. September 29, 2016  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  - Vegetation continues to establish, exhibiting good growth.",,,
94I-11-K94,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishment appears to be approximately 85-95% comparable to off ROW control. -  Perennial sow thistle present throughout entire tract and a patch of scentless chamomile evident at KP 64+320. Recommend implementing weed control. - Roach exhibiting thinner vegetation cover in some areas along ROW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle and scentless chamomile. A 30m setback was applied to wetland areas within tract.  All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Non classified drainage appeared to be stable and well vegetated.   - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","June 20, 2016  -KP64+300 Previous Scentless Chamomile location, no flowering plants visible. July 25, 2016 - 85-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract.  Herbicide application conducted to control.  September 29, 2016 - KP 64+350 – removed skid. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  - Vegetation continues to establish, exhibiting good growth.  - No issues.",,,
94I-11-K84,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishment appears to be approximately 85-95% comparable to off ROW control. - Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting thinner vegetation cover in some areas along ROW but appears stable; cross drains are functioning well. - Rollback in tract is effective as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.   - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","July 25, 2016 - 85-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract, scentless chamomile observed at KP 65+740.  Herbicide application conducted to control. September 29, 2016 - KP 65+300 – Straightened and secured marker posts and sign at road crossing. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  - Vegetation continues to establish, exhibiting good growth.",,,
94I-11-K84,Treed bog,"September 20, 2014 - Wetland located from KP 61+000 to KP 61+300 is well drained and not holding water.  Wetland is establishing emergent riparian vegetation throughout. Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed Bog located between kp 61+000 and kp 61+300 has standing water along ROW and contains emergent riparian vegetation.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Wetland has proper functional condition. Issue resolved.","Sept 29, 2016 - Treed bog located between KP 61+000 and KP 61+300. - Emergent riparian vegetation present throughout wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-11-K74,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishment appears to be approximately 80-90% comparable to off ROW control. - Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting approximately 60% cover to ROW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation appeared to be well established throughout the ROW with numerous willows and small tress observed.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted.  - Foreign pipeline crossing appeared to be stable, with no subsidence or erosion. - Perennial Sow Thistle was observed KP 66+000 and KP 66+490.  Monitor in 2016 and control as required.","July 25, 2016 - 85-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract, scentless chamomile observed at KP 66+160. Herbicide application conducted to control. September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.",,,
94I-11-K74,Treed bog,• Wetland located from KP 65+500 to KP 65+650 and KP 65+800 to KP 66+000 are well drained and not holding water.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.,"June 22, 2015  - Treed Bog located between kp 65+500 and kp 65+650 has standing water along ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition.  - Treed Bog located between kp 65+800 and kp 66+000 contains emergent riparian vegetation.  - Wetland has proper functional condition.  Issue resolved.","Sept 29, 2016 - Treed bog located between KP 65+500 and KP 65+650. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-11-K73,Treed bog,"• Wetland located from KP 65+800 to KP 66+000 is well drained and not holding water.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.  September 20, 2014 - Sow Thistle observed at KP 66+800 to 67+100 recommend spraying 2015.","June 22, 2015  - Vegetation establishment appears to be approximately 85-90% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’. -  Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting approximately 60-70% cover to ROW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted.  - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","July 25, 2016 - 85-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract, scentless chamomile observed at KP 67+025.  Herbicide application conducted to control. September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract - Vegetation continues to establish, exhibiting good growth.",,,
94I-11-K73,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy variety of species willow. Wild rose and alder (20-30% cover ditchline, 80% ROW. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation is establishing well throughout tract; issue resolved. September 28, 2015 -  - Vegetation appeared to be well established throughout the ROW with numerous willows and small tress observed.",,,,
,Treed swamp,"September 20, 2014 - Wetland located from KP 66+620 to KP 66+670 is well drained and not holding water.  Wetland is establishing emergent vegetation throughout. Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed swamp located between kp 66+620 and kp 66+670 contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.","Sept 29, 2016 - Treed swamp located between KP 66+620 and KP 66+670. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-11-K63,Moderate vegetation establishment,"September 20, 2014 - Sow Thistle observed at KP 66+800 to 67+100, recommend spraying 2015. Vegetation showing healthy variety of species willow. Wild rose and alder (20-30% cover ditchline, 80% ROW. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishment appears to be approximately 85-90% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’. - Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting approximately 50% cover to ROW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted.  - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","July 25, 2016 - 85-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract.  Herbicide application conducted to control. September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract - Vegetation continues to establish, exhibiting good growth.",,,
94I-11-K63,Shrubby swamp,"September 20, 2014 - Wetland located from KP 66+900 to KP 66+920 is well drained and not holding water.  Wetland is establishing emergent vegetation throughout. Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Shrubby swamp located between kp 66+900 and kp 66+920 contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.","Sept 29, 2016 - Shrubby swamp located between KP 66+900 and KP 66+920. • Emergent riparian vegetation present throughout wetland. • Alder/willow species present along fringe of wetland. • Wetland has proper functional condition. Issue resolved.",,,
94I-11-K64,Moderate vegetation establishment,"September 20, 2014 - Silt fence at KP 67+850 can be removed, healthy establishment of grass species, raspberry, willows and alder (20 % ditchline, 60% ROW), no issues. 2013 vegetation cover issue resolved.","June 22, 2015  - Vegetation establishment appears to be approximately 85-90% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’. -  Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting approximately 50% cover to ROW but appears stable; cross drains are functioning well. - Creek crossing at KP 67+770 appears to be stable with good vegetation on both banks. Wetland vegetation establishing in creek bed as compared to off ROW. Bed appears to be stable with slow moving water at time off assessment. Recommend removal of silt fence on both banks of creek. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted.  - Foreign pipeline and access road crossings appeared to be stable, with no erosion or subsidence. - Plastic netted straw waddles and silt fence were removed from northern and southern boundary of drainage KP 67+770, issue resolved. Area appeared to be well vegetated with extensive ground cover.","July 25, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Perennial sow thistle observed intermittently throughout tract. Herbicide application conducted to control. September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract - Vegetation continues to establish, exhibiting good growth.",,,
94I-11-K64,Shrubby swamp,"September 20, 2014 - Wetland located from KP 67+400 to KP 67+450 is well drained and holding water.  Wetland is establishing emergent vegetation throughout. Margins of emergent vegetation growth are dry likely due to time of year of assessment. Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Shrubby swamp located between kp 67+400 and kp 67+450 has standing water along ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.","Sept 29, 2016 - Shrubby swamp located between KP 67+400 and KP 67+450. - Emergent riparian vegetation present throughout wetland. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-11-K64,Rare plant - western Jacob's ladder (S4) - South of KP 67+200 No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Species observed during site visit (7 individuals). Resolved. No further monitoring is recommended.",,,,,
94I-11-K64,"Rare plant - Iowa golden saxifrage (S2S3) – KP 67+400 On August 23, 2013, rare plant specialists visited the location. No plants were observed. Unresolved: Recommend further monitoring in 2015 after rare plants have had sufficient time to re-establish.","September 5, 2014 - Target species not observed. Post-construction contours and habitat on the ROW are similar to off ROW conditions. Mitigation measures appear to have effectively restored target species habitat. Resolved. No further monitoring is recommended.",,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 67+400 On August 23, 2013, rare plant specialists visited the location and observed 5 plants. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - purple stemmed aster (S2S3) – KP 67+400 On August 23, 2013, rare plant specialists visited the location and observed 50 plants. Resolved: No further monitoring is recommended.",,,,,,
,Treed bog,"September 20, 2014 - Wetland located from KP 67+600 to KP 67+750 is well drained and holding water.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed Bog located between kp 67+600 and kp 67+750 contains emergent riparian vegetation.  - Bare patches of peat and mulch present along ROW.  - Wetland has proper functional condition. Issue resolved.","Sept 29, 2016 - Treed bog located between KP 67+600 and KP 67+750. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland has proper functional condition. Issue resolved.",,,
,Shrubby fen,Wetland located from KP 67+800 to KP 67+830 is well drained and not holding water.  Wetland is establishing emergent vegetation throughout. Cross-drains installed along ditchline appear to be functional.,"June 22, 2015  - Shrubby Fen located between kp 67+800 and kp 67+830 contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.","Sept 29, 2016 - Shrubby fen located between KP 67+800 and KP 67+830. - Emergent riparian vegetation present throughout wetland. - Spruce saplings establishing along ROW boundaries. - Wetland has proper functional condition. Issue resolved.",,,
,"Rare plant - Iowa golden saxifrage (S2S3) – KP 67+900 On August 23, 2013, rare plant specialists visited the location and observed less than 10 plants. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 67+900 On August 23, 2013, rare plant specialists visited the location and observed 1 plant. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - purple stemmed aster (S2S3) – KP 67+900 On August 23, 2013, rare plant specialists visited the location and observed more than 100 plants. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - orange touch me not (S2S3) – KP 67+900 On August 23, 2013, rare plant specialists visited the location and observed 20 plants confirmed to be orange touch me not. However, there were hundreds of plants in the area that could not be confirmed to be orange touch me not as the plants were too young and did not possess flowers or fruit. Resolved: No further monitoring is recommended.",,,,,,
94I-11-K54,High vegetation establishment,"September 20, 2014 - This section of the ROW is 90% sweet clover and noxious weeds, scentless chamomile at KP 69+300, Sow thistle from KP 70+200 to 72.2 recommend spraying 2015.","June 22, 2015  - Vegetation establishment appears to be approximately 90% comparable to off ROW control. - Patch of perennial sow thistle present at KP 68+110. Recommend implementing weed control. - Roach is well vegetated and appears to be stable with cross drains are functioning well. - Rollback effective along tract as no foreign activity is evident.  - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted at KP 68+110 to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation appeared to be well established throughout the ROW with numerous willows and small tress observed.  - Due to the high concentrations of sweet clover with the under story of native plants ground cover appeared to be well established.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Drainage appeared to be stable. - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","July 25, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Perennial sow thistle observed intermittently throughout tract.  Herbicide application conducted to control. September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.",,,
