Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
NW 34-44-13,0311,,139.030  139.510  Wetland,,139.030 to 139.510,--,Vegetation - weeds,Perennial sow-thistle observed along the wetland boundary on the ROW.,U,"October 16, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds in 2016 and monitor in 2017.,Weeds improved since 2016. Some weed presence in wetland.  Continue monitoring.,--,U,Monitor in 2018.,--,Weeds observed along margins of wetland.,U,"Remove silt fence, hand pull weeds. Monitor in 2019.",,,
NW 34-44-13,0311,139.200,--,Tame pasture,--,--,Vegetation – rare,Population of low cinquefoil (Potentilla plattensis) was not observed. Individuals could not be located in the early season survey nor the late season survey. Habitat is still suitable for population to return.,U,"October 16, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: Mowing scheduled for 2016.",Monitor in 2017.,"July 21, 2017: area of original population observation does not appear to have been disturbed by construction. Some grazing evident. No low cinquefoil (Potentilla plattensis) observed. Habitat is still good for this species. Continue Monitoring.",--,U,Monitor in 2018.,--,No low cinquefoil (Potentilla plattensis) observed. Habitat is still good for this species.,U,Monitor in 2019.,,,
SW 34-44-13,0312,--,--,--,139.873,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Minor subsidence on the ROW was reported by the landowner. Repair Work: Enbridge is in negotiations with landowner regarding repair work..,"Subsidence was observed over the trench, approximately 15 cm deep, x 40 cm wide and 2 m long.",U,Monitor in 2019. Repair subsidence when feasible.,,,
SE 34-44-13,0313,,139.982  140.929  Cultivated,,139.982 to 140.929,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,,Refer to Year 1 PCEM Report.  Monitor in 2017.   Crop parameters,were equal on and off the ROW.  Crop has established well.,--,R,None.,--,--,--,--,,,
SE 34-44-13,0313,,139.982  140.929  Cultivated,,--,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Subsidence issue reported throughout Enbridge corridor by landowner. Repair Work: Enbridge is in negotiations with landowner regarding repair work.,Subsidence was not observed at time of assessment.  ROW appeared slightly rough and can likely be resolved through farming practices.,U,"IConsult with landowner and verify location of subsidence and if it is over ETH ROW. Repair if warranted and monitor in 2019. f repair work is required, schedule repairs when feasible.",,,
SW 35-44-13,0314,,140.929  141.252  Hay,,140.929 to 141.252,--,Vegetation - weeds,"Weed issue observed along the ROW. Common plantain, wild buckwheat, dandelion, shepherd’s purse, and narrow-leaved hawk’s beard were observed on the ROW. There were no weeds observed off ROW.",U,"December 20, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: June 21, 2016: the ROW was mowed.",Monitor weeds in 2017.,"Hay was cut at the time of assessment. Unable to determine vegetation establishment success and identify the presence of weeds. Perennial sow thistle and Canada thistle were observed. However, unable to compare to off-ROW conditions.",--,U,Monitor in 2018.,--,Vegetation has established well.  Perennial sow thistle was observed on the ROW at higher densities than off ROW.,U,Spot spray and monitor in 2019.,,,
NW 26-44-13,0315,,141.252  141.900  Hay/tame,pasture,141.252 to 141.900,--,Vegetation - weeds,Weed issue observed along the ROW. Canada thistle and narrow-leaved hawk’s beard were observed on the ROW at higher densities than off ROW.,U,"September 12, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: June 21, 2016: the ROW was mowed.",Monitor weeds in 2017.,"Weed issue observed along the ROW. Canada thistle, and yellow and white sweet clovers were observed on the ROW at higher densities than off the ROW. Yellow and white sweet clovers were outcompeting hay/tame pasture species.",--,U,Control weeds and monitor in 2018.,--,Vegetation has established well.  Canada thistle was observed on the ROW at higher densities than off ROW.,U,Spot spray and monitor in 2019.,,,
NE 26-44-13/  SE 26-44-13,0316 0316.1,,143.400  143.600  Wetlands,,--,--,Wetlands,Wetland on the trajectory towards functional recovery. Wetland selected for continued monitoring as a representative of functional recovery where no specific issues were observed.,U,"November 25, 2016: land agent spoke with the land occupant. Occupant indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.,Wetland on the trajectory towards functional recovery. Wetland selected for continued monitoring as a representative of functional,--,U,Monitor in 2018.,--,Access was not granted at time of assessment.,U,Monitor in 2019.,,,
SW 25-44-13,0318,,142.848  143.821  Tame Pasture,,142.848 to 143.821,--,Vegetation - weeds,"Weed issue observed along the ROW. Canada thistle, narrow-leaved hawk’s beard, lamb’s quarters, and stinkweed were observed on the ROW at higher densities than off ROW.",U,"September 12, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: June 18, 2016: the ROW was mowed.",Monitor weeds in 2017.,Density and distribution of weed species were equal on and off the ROW. Vegetation has established well.,--,R,None.,Canada thistle and Absinthe wormwood were sprayed in 2017.,"Canada thistle, absinth wormwood and perennial sow thistle were observed at higher densities on ROW.  Weeds were primarily distributed along the trench line.",U,Control weeds and monitor in 2019.,,,
SE 25-44-13,0319,,143.821  144.140  Cultivated,,143.821 to 144.140,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,,Refer to Year 1 PCEM Report.  Monitor in 2017.   Crop parameters,were equal on and off the ROW.  Crop has established well.,--,R,None.,--,--,--,--,,,
SE 25-44-13,0319,,144.140  144.948  Native prairie,,144.140 to 144.948,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor weeds in,2017.,"Density and distribution of weed species were equal on and off the ROW. Overall, weeds do not appear to be competing with native prairie species.",--,R,None.,--,--,--,--,,,
SE 19-44-12,0323,,146.050  146.310  Wetland,,--,--,Vegetation - weeds,Perennial sow thistle on ROW within wetland.,U,"November 29, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.,Perennial sow thistle on the ROW within the wetland.  Wetland on the trajectory towards functional recovery. Wetland selected for continued monitoring as a representative of functional.,--,U,Monitor in 2018.,Enbridge indicated that the spring 2018 assessment was completed by operations and the issue is resolved.,Access was not granted at time of assessment.,U,Monitor in 2019 to verify weed issue has been successfully resolved.,,,
SW 20-44-12,0324,,146.779  147.379  Tame pasture,,147.170,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW. Native thistle species were observed both on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 17-44-12,0325,,147.379  147.739  Tame pasture,,147.379 to 147.739,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 17-44-12,0326 0328,148.170,--,Wetland,--,--,Vegetation – rare,Population of marsh gentian (Gentiana fremontii) was observed. Abundance was lower than observation in 2013. Location has been disturbed by cattle pugging.,U,"November 1, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Isolate the previous extent of the population from cattle and monitor in 2018.,"July 20, 2017: wetland heavily disturbed by cattle. Entire surface has been pugged. Some hummocks are large enough to support upland species. No marsh gentian plants observed at time of assessment.  Continue monitoring install fencing around wetland to exclude cattle.",--,U,Monitor in 2018.,--,No marsh gentian (Gentiana fremontii) plants observed at time of assessment.  Continue monitoring during bloom period (spring).,U,Monitor in 2019.,,,
NE 17-44-12,0326 0328,148.170,--,Wetland,148.220,452453 E 5849937 N,Vegetation – rare,"Habitat is suitable for the species and approximately 400 to 500 individuals were observed on August 30, 2016.",R,--,--,"July 20, 2017 (incidental observation): many few-flowered aster plants observed. Low concentration of weeds. Well-vegetated signs of grazing, but ground is not disturbed.",--,R,None.,--,--,--,--,,,
SW 16-44-12,0331,,148.941  149.651  Tame pasture,,148.941,453210 E5849418 N,Vegetation - weeds,Patch of scentless chamomile observed at fence line only along the ROW.,U,"December 8, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: May 26, 2016: ROW sprayed.",Monitor weeds in 2017. Complete seeding in 2017.,Density and distribution of weed species were equal on and off the ROW. Scentless chamomile was not observed on or off the ROW.,Repair Work: Weeds were sprayed in June 2017.,R,None.,--,--,--,--,,,
SW 16-44-12,0331,149.290,--,Tame pasture,--,--,Vegetation – rare,Population of low cinquefoil (Potentilla plattensis) was not observed. Individuals could not be located in the early season survey nor the late season survey. Habitat is still suitable for population to return.,U,"December 8, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.,"July 20, 2017: the area has a high density of weeds. No low cinquefoil (Potentilla plattensis) was observed at time of assessment. Potential for habitat to improve if weeds are managed. Continue monitoring and implement weed control measures.",--,U,Monitor in 2018.,--,The area has a high density of weeds. No low cinquefoil (Potentilla plattensis) was observed at time of assessment. Potential for habitat to improve if weeds are managed. Continue monitoring and implement weed control measures.,U,Mow or hand pull weeds. Monitor in 2019.,,,
SE 16-44-12,0332,--,--,--,--,--,Vegetation - Weeds,--,--,--,--,--,--,--,--,"Canada thistle was sprayed in June 2017. Repair Work: Weeds were sprayed at the fence line on July 4, 2018. Spraying was not completed due to wind conditions.",High density and distribution of Canada thistle was observed on the ROW.  Perennial sow thistle at lower densities was also observed.,U,Control weeds and monitor in 2019.,,,
SE 16-44-12,0332,150.060,--,Wetland,--,--,Vegetation – wetland/rare,"Population of few-flowering aster (Almutaster paucilflorus) was not observed. Grazing and pugging were prevalent at this location, but overall habitat is suitable for this species.",U,"December 8, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Isolate the previous extent of the population from cattle and monitor in 2018.,"Some ponded water in the central portion of the wetland; wetland vegetation re-establishing. Some disturbance due to cattle. July 20, 2017: site is well-revegetated, and many native species are present, but weed densities are still high. No obvious pugging or impacts due to cattle at the time of assessment. Two patches of few-flowered aster observed. Suitable habitat surrounds these areas. Mitigation successful and further monitoring is not recommended at this site.  Wetland issue is resolved. Rare plant species remains unresolved.",--,U,RMWetland: U are plant species: R onitor in 2018.,--,Vegetation re-established appropriately at wetland. No ponding observed. Similar density of weeds on ROW and off ROW.,R,None.,,,
NE 9-44-12,0332.1 0334,,150.494  150.598  Tame pasture/,roadside,150.494 to 150.598,--,Vegetation - Weeds,"Weed issue observed along the ROW. Perennial sow-thistle, kochia, lamb’s quarters, narrow-leaved hawk’s beard, and shepherd’s purse were observed on the ROW at higher densities than off ROW. Access was not granted to Waste Management portion.",U,"June 8, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW. Grass species have established well.,--,R,None.,White cockle and absinthe wormwood were sprayed in June 2017.,"White cockle, perennial sow thistle and absinthe wormwood were observed at higher densities on ROW.",U,Control weeds and monitor in 2019.,,,
NW 10-44-12,0335,,150.598  151.548  Tame pasture,,150.598 to 151.548,--,Vegetation - weeds,"Weed issue observed along the ROW. Narrow-leaved hawk’s beard, and shepherd’s purse were observed on the ROW at higher densities than off ROW.",U,"December 8, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: May 27, 2016: the ROW was sprayed.",Monitor weeds in 2017.,Density and distribution of weed species were equal on and off the ROW.,Repair Work: Weeds were sprayed in August 2017.,R,None.,"Canada thistle and absinthe wormwood were sprayed in June 2017. Repair Work: July 6, 2018 – Canada thistle, Absinthe wormwood, and white cockle were sprayed.","Canada thistle was observed at higher densities on ROW. High densities of flixweed, stinkweed and lamb’s quarters were observed surrounding the newly installed power pole at KP 150.660.",U,Spot spray and monitor in 2019.,,,
NW 10-44-12,0335,,150.598  151.548  Tame pasture,,150.598 to 151.548,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW.  Grass species have established well.,--,R,None.,--,--,--,--,,,
NE 10-44-12/ SE 10-44-12,0336 0337,,151.548  152.476  Cultivated,,151.548 to 152.476,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 10-44-12/ SE 10-44-12,0336 0337,,151.548  152.476  Cultivated,,151.548 to 152.476,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 10-44-12/ SE 10-44-12,0336 0337,,151.548  152.476  Cultivated,,151.920,455753 E 5847866 N,Landscape - contouring*,Refer to Year 1 PCEM Report.,U,,Refer to Year 1 PCEM Report.  Monitor in 2017.   Contouring issue was,not observed at the time of assessment.,--,R,None.,--,--,--,--,,,
SW 11-44-12,0338,,152.476  153.424  Cultivated,,152.476 to 153.424,--,Vegetation – crop establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 11-44-12,0338,,152.476  153.424  Cultivated,,153.210; 152.840,456871 E 5847222 N,Landscape - contouring*,Low area observed on the ROW resulting in a patch of bare soil over the trench line.,U,"October 4, 2016: land agent met with the Land Occupant. Land Occupant indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.,Low area observed on the ROW resulting in a patch of bare soil over the trench line.,--,U,Monitor in 2018.,--,Areas appear to be natural low spots. Landscape parameters were comparable to off ROW conditions. Vegetation is establishing well.,R,None.,,,
SE 11-44-12/ NE 2-44-12,0339 0340 0341 0342,,153.424  153.850  Cultivated,,153.424 to 153.600,--,Soil –  soil mixing,Moderate soil mixing observed on the ROW causing patches or bare soil and reduced crop establishment. Farming practices and an additional growing season may alleviate issue.,U,"September 8, 2016: land agent met with the Land Occupant. Land Occupant indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor crop growth in 2017.,"Soils were too compacted to assess. Soil compaction is likely a result of soil mixing, and loss of topsoil observed in 2016.  Soil mixing causing reduced crop growth and health on the ROW. Overall, crop establishment improved since the 2016 assessment. Farming practices and an additional growing season may alleviate the issue.",--,U,Monitor in 2018.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Soil mixing and reduced topsoil causing reduced crop growth and health on the ROW. Crop growth parameter have not improved since 2017.,U,Monitor in 2019. Add topsoil and recontour when feasible.,,,
SE 11-44-12/ NE 2-44-12 (cont’d),See above,See above,See above,See above,153.424 to 153.600,--,Soil –  topsoil depth,Topsoil loss observed on the ROW causing patches or bare soil and reduced crop establishment. Farming practices and an additional growing season may alleviate issue.,U,"September 8, 2016: land agent met with the Land Occupant. Land Occupant indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor crop growth in 2017. Additional topsoil may be required if crop growth does not improve.,"Soils were too compacted to assess. Soil compaction is likely a result of soil mixing, and loss of topsoil observed in 2016.  Loss of topsoil causing reduced crop growth and health on the ROW. Overall, crop establishment improved since the 2016 assessment. Farming practices and an additional growing season may alleviate the issue.",--,U,Monitor in 2018.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Soil mixing and reduced topsoil causing reduced crop growth and health on the ROW. Crop growth parameter have not improved since 2017.,U,Monitor in 2019. Add topsoil and recontour when feasible.,,,
SE 11-44-12/ NE 2-44-12 (cont’d),See above,See above,See above,See above,153.607 to 153.650,--,Landscape - contouring,--,--,--,--,--,--,--,--,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Low area appears to have been settled was observed over trench causing reduced crop growth and bare soil.,U,Monitor in 2019. Add topsoil and recontour when feasible.,,,
SE 1-44-12,0346,,156.040  156.357  Tame pasture,,156.040 to 156.357,--,Vegetation - weeds,"Weed issue observed along the ROW. Canada thistle, narrow-leaved hawk’s beard, lamb’s quarters, shepherd’s purse and kochia were observed on the ROW at higher densities than off ROW.",U,"December 7, 2016: land agent met with the Land Occupant. Land Occupant indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,"Weed issue observed along the ROW. Canada thistle was sprayed. However, new growth Canada thistle growth was observed on the ROW at higher densities than off the ROW.",Repair Work: Weeds were sprayed in June 2017.,U,Control weeds and monitor in 2018.,--,Density and distribution of weed species were equal on and off the ROW.,R,None.,,,
SW 6-44-11,0346,,156.357  157.084  Tame Pasture,,156.357 to 157.084,--,Vegetation - weeds,"Weed issue observed along the ROW. Canada thistle, white cockle, narrow-leaved hawk’s beard, lamb’s quarters, stinkweed and flixweed were observed on the ROW.",U,"December 15, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Landowner indicated they had no issues or concerns with what was discussed.",Control weeds and monitor in 2017. Desiccate and reseed to take place in spring 2017.,"Weed issue observed along the ROW. Canada thistle, perennial sow thistle, wild mustard, curled dock, and foxtail barley were observed on the ROW at higher densities than off the ROW.",--,U,Control weeds and monitor in 2018.,--,"Canada thistle, perennial sow thistle, narrow-leaved hawk’s beard, dog mustard and stinkweed were observed at higher densities on the ROW. ROW is overgrazed and hindering successful vegetation establishment to outcompete weeds.",U,Control weeds and monitor in 2019.,,,
NW 28-43-11 W4M,0357,,160.174  161.124  Cultivated,,--,--,Landscape - Subsidence,The crop performance parameters measured were equal on and off of the right-of-way. No issues observed by CH2M at time of 2016 PCM.,R,"December 15, 2016: Land Agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017.  Landowner indicated they had no issues or concerns with what was discussed.",None.,--,--,--,--,"In January 2019, Enbridge indicated that the landowner reported subsidence issues.",--,U,Assess in 2019.,,,
NW 28-43-11 W4M,0357,160.37,160.82,Hay,--,--,Landscape - Subsidence,The vegetation performance parameters measured were equal on and off of the right-of-way. No issues observed by CH2M at time of 2016 PCM. This area is a separate land use between KP 160.370 to 160.820.,R,"December 15, 2016: Land Agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Landowner indicated they had no issues or concerns with what was discussed.",None.,--,--,--,--,"In January 2019, Enbridge indicated that the landowner reported subsidence issues.",--,U,Assess in 2019.,,,
NW 23-43-11,0363,,164.040  164.250  Treed pasture,,164.040 to 164.250,--,Vegetation - weeds,"Weed issue observed along the ROW. Nodding thistle, Canada thistle, narrow-leaved hawk’s beard, lamb’s quarters, dog mustard, stinkweed were observed on the ROW at higher densities than off ROW.",U,"November 24, 2016: land agent met with the Land Occupant. Land Occupant indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: August 2016: the ROW was sprayed and mowed.",Monitor weeds in 2017.,"Weed issue observed along the ROW. Nodding thistle, Canada thistle, perennial sow thistle, and narrow-leaved hawk’s beard were observed on the ROW at higher densities than off the ROW. Nodding thistle was observed between KP 164.113 and KP 164.209. These species will need to be spot sprayed.",--,U,Control weeds and monitor in 2018. Spot spray nodding thistle.,--,Patches of common tansy were observed at KP 164.094. across the drainage. Patches of nodding thistle were observed along the southern boundary of the ROW between KP 164.200 to KP 164.436. High densities of nodding thistle were also observed along the adjacent Enbridge pipeline ROW and power line corridor.,U,Spot spray nodding thistle and common tansy.  Nodding thistle must be eliminated on and off ROW to avoid future encroachment.  Monitor in 2019.,,,
NW 23-43-11,0363,,164.320  164.660  Treed pasture,,164.320 to 164.660,--,Vegetation - weeds,"Weed issue observed along the ROW. Nodding thistle, Canada thistle, perennial sow-thistle, narrow-leaved hawk’s beard and dog mustard were observed on the ROW at higher densities than off ROW.",U,"November 24, 2016: land agent met with the Land Occupant. Land Occupant indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: August 2016: the ROW was sprayed and mowed.",Monitor weeds in 2017.,"Weed issue observed along the ROW. Nodding thistle, Canada thistle, perennial sow thistle, and narrow-leaved hawk’s beard were observed on the ROW at higher densities than off the ROW. Nodding thistle was observed at KP 164.577. These species will need to be spot sprayed.",--,U,Control weeds and monitor in 2018. Spot spray nodding thistle.,--,Patches of nodding thistle were observed along the southern boundary of the ROW between KP 164.200 to KP 164.436 High densities of nodding thistle were also observed along the adjacent Enbridge pipeline ROW and power line corridor.,U,Spot spray nodding thistle and common tansy.  Nodding thistle must be eliminated on and off ROW to avoid future encroachment.  Monitor in 2019.,,,
SE 23-43-11,0365,,165.730  165.840  Cultivated,,165.730,467511 E 5840806 N,Landscape - contouring*,Refer to Year 1 PCEM Report.,U,,Refer to Year 1 PCEM Report.  Monitor in 2017.   Contouring issue was,not observed at the time of assessment.,--,R,None.,--,--,--,--,,,
SE 23-43-11,0365,165.730,--,--,165.730 to 165.840,--,Soil - Compaction,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.  Crop has established well.,--,R,None.,--,--,--,--,,,
SW 24-43-11,0366,,165.847  166.566  Cultivated,,165.847 to 166.100,--,Vegetation - establishment,The crop performance parameters measured were equal on and off the ROW. No issues observed by CH2M at time of 2016 PCM.,R,"July 28, 2016: land agent spoke with land occupant via telephone and indicated Outstanding deficiency to be resolved spring 2017. Occupant indicated they had no additional issues or concerns with ROW condition.",None.,Reduced crop establishment was observed due to recent disturbance/repairs.,--,U,Monitor in 2018.,--,"Crop establishment improved since 2018.  However, crop parameters are still reduced over the ROW. Farming practices and an additional growing season may alleviate the issue.",U,Monitor in 2019.,,,
NW 13-43-11/ NE 13-43-11,0367 0368,,166.566  167.762  Cultivated,,166.566 to 167.762,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 18-43-10,0369,167.762  168.074,,--,--,--,--,Access was not granted at time of assessment.,U,Access was not granted at time of assessment. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.,Assess in 2017.,Access was not granted at time of assessment.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 18-43-10,0370,168.074  168.687,,--,--,--,--,Access was not granted at time of assessment.,U,Access was not granted at time of assessment. Enbridge to continue negotiations.,Assess in 2017.,Access was not granted at time of assessment.,,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SE 18-43-10,0372,,168.687  169.655  Cultivated,,169.510,--,Landscape – contouring,--,--,--,--,--,"September 28, 2015: landowner reported low spot holding water.  July 12, 2017: area was repaired, but still holding water. July 18, 2017: Enbridge to conduct repair work in 2018.",U,"Repair subsidence, if warranted, and monitor in 2018.",Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Contouring issue in a natural drainage area exhibited reduced crop establishment and bare soils at KP 169.510.,U,Monitor in 2019. Recontour when feasible.,,,
SW 17-43-10,0373,,169.655  169.771  Hay/tame,pasture,169.655 to 169.771,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor weeds in,2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 8-43-10,0374,,169.771  170.644  Tame pasture,,169.771 to 170.644,--,Vegetation - weeds,"Weed issue observed along the ROW. Canada thistle, perennial sow-thistle, lamb’s quarters, dog mustard, and common knotweed were observed between KP 169.771 and 170.230. Stinkweed, narrow-leaved hawk’s beard, dog mustard, and lamb’s quarters was observed at the railway crossing at KP 170.230. Narrow-leaved hawk’s beard, dog mustard, flixweed, and lamb’s quarters were observed along the ROW boundaries between KP 170.290 and 170.644.",U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Control weeds and monitor in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NW 8-43-10,0374,,169.771  170.644  Tame pasture,,169.771 to 170.644,--,Soil - compaction,Areas of minor soil compaction causing reduced vegetation growth and density were observed on the ROW. Moderate to severe soil compaction causing reduced vegetation establishment and increased weed densities on trail along north side of the ROW.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Discuss compaction issues along trail with landowner to determine potential repair work. Monitor compaction and vegetation growth in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NE 8-43-10 / SE 8-43-10,0374.1 0374.2,,170.644  171.560  Tame Pasture,,170.644 to 171.560,--,Vegetation - weeds,"Weed issue observed on the trail along the north side of the ROW. Canada thistle, dog mustard, lamb’s quarters, Russian pigweeds, kochia, stinkweed, and shepherd’s purse were observed along ROW.",U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Control weeds and monitor in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NE 8-43-10 / SE 8-43-10,0374.1 0374.2,,170.644  171.560  Tame Pasture,,170.644 to 171.560,--,Soil - compaction,Moderate soil compaction causing reduced vegetation establishment and increased weed densities on trail along north side of the ROW.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Discuss compaction issues along trail with landowner to determine potential repair work. Monitor compaction and vegetation growth in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NE 8-43-10 / SE 8-43-10,0374.1 0374.2,,170.644  171.560  Tame Pasture,,171.469,472400 E 5837842 N,Vegetation - establishment,Low vegetation establishment observed.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Seed and monitor vegetation growth in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
