Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 10-79-19,Hayland,Moderate surface drainage (ponding) and microtopography (swale) issue,"August 21, 2014 - KP 3+080 to 3+100 – Subsidence in hay field, not impacting land use, monitor in 2015. - KP 3+150 to 3+350 – Subsidence cracking and low area noted, not impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale.  2013 issue resolved. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","June 20, 2015 - Vegetation 90-100%, compared to off ROW control. No weeds or erosion noted at time of assessment.  Ponding no longer evident at KP 3+200, issue resolved.  Vegetation concern noted in 2013 at KP 3+550 and 3+750, is resolved. - KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.","May 27, 2016 – 90-100% Vegetation growth compared to off ROW. There were no noxious weeds observed. – There were no visible signs of erosion. – KP 3+080 to 3+100 and 3+130 to 3+700, intermittent subsidence observed has increased and now impacting land use, recommend repairs. – KP 3+200, low area observed. Assess prior to any work in ¼ - wet conditions may be prevalent. May 28, 2016 – KP 3+740 to 3+925 – a rare plant, purple stemmed aster was identified.  Ensure access plans take into account presence of rare plant. Repairs scheduled for spring 2017","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds were observed in ¼ - Topsoil piles in place for upcoming subsidence repairs. - No erosion was observed in this ¼ July 5 - 10, 2017 – KP 3+080 to 3+100 and 3+130 to 3+700 – subsidence repairs completed, issues resolved.  Repairs will be monitored in 2018",,,
NE 10-79-19,Hayland,Moderate microtopography (subsidence) issue,"August 21, 2014 - KP 3+080 to 3+100 – Subsidence in hay field, not impacting land use, monitor in 2015. - KP 3+150 to 3+350 – Subsidence cracking and low area noted, not impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale.  2013 issue resolved. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","June 20, 2015 - Vegetation 90-100%, compared to off ROW control. No weeds or erosion noted at time of assessment.  Ponding no longer evident at KP 3+200, issue resolved.  Vegetation concern noted in 2013 at KP 3+550 and 3+750, is resolved. - KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.","May 27, 2016 – 90-100% Vegetation growth compared to off ROW. There were no noxious weeds observed. – There were no visible signs of erosion. – KP 3+080 to 3+100 and 3+130 to 3+700, intermittent subsidence observed has increased and now impacting land use, recommend repairs. – KP 3+200, low area observed. Assess prior to any work in ¼ - wet conditions may be prevalent. May 28, 2016 – KP 3+740 to 3+925 – a rare plant, purple stemmed aster was identified.  Ensure access plans take into account presence of rare plant. Repairs scheduled for spring 2017","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds were observed in ¼ - Topsoil piles in place for upcoming subsidence repairs. - No erosion was observed in this ¼ July 5 - 10, 2017 – KP 3+080 to 3+100 and 3+130 to 3+700 – subsidence repairs completed, issues resolved.  Repairs will be monitored in 2018",,,
NE 10-79-19,Hayland,Moderate vegetation issue,"August 21, 2014 - KP 3+080 to 3+100 – Subsidence in hay field, not impacting land use, monitor in 2015. - KP 3+150 to 3+350 – Subsidence cracking and low area noted, not impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale.  2013 issue resolved. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","June 20, 2015 - Vegetation 90-100%, compared to off ROW control. No weeds or erosion noted at time of assessment.  Ponding no longer evident at KP 3+200, issue resolved.  Vegetation concern noted in 2013 at KP 3+550 and 3+750, is resolved. - KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.","May 27, 2016 – 90-100% Vegetation growth compared to off ROW. There were no noxious weeds observed. – There were no visible signs of erosion. – KP 3+080 to 3+100 and 3+130 to 3+700, intermittent subsidence observed has increased and now impacting land use, recommend repairs. – KP 3+200, low area observed. Assess prior to any work in ¼ - wet conditions may be prevalent. May 28, 2016 – KP 3+740 to 3+925 – a rare plant, purple stemmed aster was identified.  Ensure access plans take into account presence of rare plant. Repairs scheduled for spring 2017","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds were observed in ¼ - Topsoil piles in place for upcoming subsidence repairs. - No erosion was observed in this ¼ July 5 - 10, 2017 – KP 3+080 to 3+100 and 3+130 to 3+700 – subsidence repairs completed, issues resolved.  Repairs will be monitored in 2018",,,
NE 10-79-19,Hayland,Moderate vegetation issue,"August 21, 2014 - KP 3+080 to 3+100 – Subsidence in hay field, not impacting land use, monitor in 2015. - KP 3+150 to 3+350 – Subsidence cracking and low area noted, not impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale.  2013 issue resolved. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","June 20, 2015 - Vegetation 90-100%, compared to off ROW control. No weeds or erosion noted at time of assessment.  Ponding no longer evident at KP 3+200, issue resolved.  Vegetation concern noted in 2013 at KP 3+550 and 3+750, is resolved. - KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.","May 27, 2016 – 90-100% Vegetation growth compared to off ROW. There were no noxious weeds observed. – There were no visible signs of erosion. – KP 3+080 to 3+100 and 3+130 to 3+700, intermittent subsidence observed has increased and now impacting land use, recommend repairs. – KP 3+200, low area observed. Assess prior to any work in ¼ - wet conditions may be prevalent. May 28, 2016 – KP 3+740 to 3+925 – a rare plant, purple stemmed aster was identified.  Ensure access plans take into account presence of rare plant. Repairs scheduled for spring 2017","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds were observed in ¼ - Topsoil piles in place for upcoming subsidence repairs. - No erosion was observed in this ¼ July 5 - 10, 2017 – KP 3+080 to 3+100 and 3+130 to 3+700 – subsidence repairs completed, issues resolved.  Repairs will be monitored in 2018",,,
SE 15-79-19,,,,"June 20, 2015 - Vegetation 90-100% of off ROW control. No weeds, subsidence or erosion noted at time of assessment.  - Signage and posts in place on both the south and west fence lines.","May 27, 2016 - 90-100% vegetation growth compared to off ROW  - No signs of erosion or subsidence in this ¼. - No invasive weeds were identified in this ¼.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds were observed in ¼ - No subsidence or erosion observed in this ¼",,,
SW 15-79-19,Hayland,No issues observed,"August 22, 2014 – KP 4+000 – Minor erosion, straw waddles are in place. Area is fully vegetated, erosion is not affecting farming activities (land use) as it is located on the ¼ line. Monitor in 2015. – KP 4+250 – Minor rill erosion running to NW down slope across ROW, area is fully vegetated, erosion is not affecting farming activities/land use. Monitor in 2015. – KP 4+800 to 4+850 – Subsidence, not affecting farming activities, monitor in 2015.","June 11, 2015 – Vegetation cover is 100% of off ROW control. – No weeds observed. – KP 4+000 – Minor erosion observed, area is fully vegetated and erosion doesn’t appear to be affecting farming activities. Recommend continued monitoring. – KP 4+250 – Minor rill erosion noted in 2014 appears to have stabilized and farmed out. Recommend continued monitoring. – KP 4+800 to 4+850 – Minor subsidence remains, not affecting land use. Recommend continued monitoring.","May 27, 2016 - Hay field was worked in the fall of 2015 and reseeded to hay crop.  Previous subsidence issue resolved. - New growth appears to be coming in nicely, there are minimal common weeds, and no invasive species were observed.  - No erosion was identified. - KP 3+995, 4+445, 4+640, and 4+775 – subsidence observed, recommend repairs. Repairs scheduled for spring 2017","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds were observed in ¼ - KP 4+070, intermittent subsidence observed; Landowner is planning to cultivate this land, which will alleviate the subsidence, issue resolved. - No erosion was observed in this ¼ June 19 – 20, 2017 – KP 3+995, KP 4+445, KP 4+640 to 4+850 – Subsidence repairs completed, issues resolved.  Repairs will be monitored in 2018",,,
,Watercourse,No issues observed,"August 22, 2014– KP 4+620 – Watercourse in good condition, no signs of erosion and vegetation is establishing well. Silt fence located in drainage.  Recommend removing silt fence. September 10, 2014 - KP 4+620 - removed silt fence. Issue resolved.","June 11, 2015 – KP 4+620, Watercourse in good condition, no signs of erosion and vegetation is establishing well  – KP 4+620, Plastic waddles observed, recommend removal. October 1, 2015 – removed plastic waddles at KP 4+620.  Issue resolved.","May 27, 2016 - Watercourse is well vegetated and stable.  No signs of erosion across ROW.","June 5, 2017 - KP 4+625, drainage is well-vegetated and stable. Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control. No signs of erosion. .",,,
SE 16-79-19,Hayland,No issues observed,"August 22, 2014 - KP 5+100 & 5+140– Farm equipment ruts. Five large ruts across ditchline. Ruts are affecting farming activities and were worked around by landowner. Recommend repairs. – KP 5+300 and 5+580 – Subsidence noted, no signs of erosion or pooling water, not affecting land use, monitor in 2015. – KP 5+760 to 5+800 – Subsidence and erosion noted. Subsidence runs east to west, and erosion ditch runs south of ditchline to the north off ROW.  Recommend repairs. – KP 5+825 to 5+840 – Subsidence noted on west edge of field at fence line, not impacting land use, and monitor in 2015. – Hay field was cut at time of assessment, vegetation is 80% of off ROW and establishing well. No weeds were observed. September 20, 2014 – Repairs completed, seeded and harrowed at: - Tire ruts at 5+100, 5+150, 5+175, 5+650, 5+675: - Minor Subsidence at 5+200, 5+225, 5+240, 5+280, 5+450 – 5+475, 5+550, 5+575, 5+750 – 5+800, and 5+820 – 5+840.  - Erosion at 5+550 and 5+775.","May 14, 2015 - KP 5+760 - 2014 Repair held up during spring melt and no further erosion was observed.  Straw waddles are still in place and will have to remain in place until vegetation has established more.  Vegetation has begun to sprout but still requires more time.  Waddles will have to be removed prior to haying. - KP 5+720 - 2014 subsidence repair successful, but additional subsidence has continued to the east, additional repairs recommended. - KP 5+800 subsidence repair is doing well as no soils have eroded and vegetation is beginning to sprout.  Issue noted in 2013 is resolved. June 11, 2015 – Vegetation cover is 80% of off ROW control. – Minor stinkweed observed in subsidence repair areas from 2014. Desirable vegetation likely to outcompete, recommend continued monitoring. – KP 5+300, subsidence observed, not affecting land use. Recommend continued monitoring. – KP 5+525, subsidence observed. Erosion and cracking evident, repairs recommended. June 30, 2015 – KP 5+760 to 5+800 – straw waddles removed. September 11, 2015 - Landowner has cultivated entire hay field, September 23, 2015 - KP 5+525, KP 5+580, KP 5+625 to 5+650, KP 5+710, and KP 5+720 – subsidence repairs completed.","May 27, 2016 - Hay field was worked in the fall of 2015 and reseeded to hay crop. - Vegetation is re-establishing well although there are some high spots that aren’t vegetating as well due to lack of moisture.  - No invasive or noxious weeds identified in this ¼. - Erosion, subsidence, and rutting repairs completed in 2014 and 2015 appear affective and erosion and subsidence has been eliminated.  Issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - KP 5+470 to 5+700 - Intermittent subsidence and ruts from farm equipment observed.  Landowner plans to disk field, issues resolved.  Repairs will be monitored in 2018 - No erosion was observed in this ¼",,,
SE 16-79-19,Hayland,Moderate microtopography (gully) issue,"August 22, 2014 - KP 5+100 & 5+140– Farm equipment ruts. Five large ruts across ditchline. Ruts are affecting farming activities and were worked around by landowner. Recommend repairs. – KP 5+300 and 5+580 – Subsidence noted, no signs of erosion or pooling water, not affecting land use, monitor in 2015. – KP 5+760 to 5+800 – Subsidence and erosion noted. Subsidence runs east to west, and erosion ditch runs south of ditchline to the north off ROW.  Recommend repairs. – KP 5+825 to 5+840 – Subsidence noted on west edge of field at fence line, not impacting land use, and monitor in 2015. – Hay field was cut at time of assessment, vegetation is 80% of off ROW and establishing well. No weeds were observed. September 20, 2014 – Repairs completed, seeded and harrowed at: - Tire ruts at 5+100, 5+150, 5+175, 5+650, 5+675: - Minor Subsidence at 5+200, 5+225, 5+240, 5+280, 5+450 – 5+475, 5+550, 5+575, 5+750 – 5+800, and 5+820 – 5+840.  - Erosion at 5+550 and 5+775.","May 14, 2015 - KP 5+760 - 2014 Repair held up during spring melt and no further erosion was observed.  Straw waddles are still in place and will have to remain in place until vegetation has established more.  Vegetation has begun to sprout but still requires more time.  Waddles will have to be removed prior to haying. - KP 5+720 - 2014 subsidence repair successful, but additional subsidence has continued to the east, additional repairs recommended. - KP 5+800 subsidence repair is doing well as no soils have eroded and vegetation is beginning to sprout.  Issue noted in 2013 is resolved. June 11, 2015 – Vegetation cover is 80% of off ROW control. – Minor stinkweed observed in subsidence repair areas from 2014. Desirable vegetation likely to outcompete, recommend continued monitoring. – KP 5+300, subsidence observed, not affecting land use. Recommend continued monitoring. – KP 5+525, subsidence observed. Erosion and cracking evident, repairs recommended. June 30, 2015 – KP 5+760 to 5+800 – straw waddles removed. September 11, 2015 - Landowner has cultivated entire hay field, September 23, 2015 - KP 5+525, KP 5+580, KP 5+625 to 5+650, KP 5+710, and KP 5+720 – subsidence repairs completed.","May 27, 2016 - Hay field was worked in the fall of 2015 and reseeded to hay crop. - Vegetation is re-establishing well although there are some high spots that aren’t vegetating as well due to lack of moisture.  - No invasive or noxious weeds identified in this ¼. - Erosion, subsidence, and rutting repairs completed in 2014 and 2015 appear affective and erosion and subsidence has been eliminated.  Issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - KP 5+470 to 5+700 - Intermittent subsidence and ruts from farm equipment observed.  Landowner plans to disk field, issues resolved.  Repairs will be monitored in 2018 - No erosion was observed in this ¼",,,
SW 16-79-19,Forested,Moderate microtopography (subsidence) issue,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 5+580 to 5+880 – Subsidence noted, area is well vegetated, no signs of erosion or pooling water, not impacting land use, monitor in 2015. – KP 5+975 – Low area noted on foreign pipeline ROW crossing, vegetation establishing.  Continue to monitor. – KP 6+150 – Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+270 to 6+300, 6+400, and 6+575 – Subsidence, not currently affecting land use, areas are vegetated, monitor in 2015. – KP 6+620 to 6+665 and 6+700 – Erosion noted, minor and land use (farming operations) should alleviate the erosion, monitor in 2015 – KP 5+580 to 6+175 – Vegetation is 90% of off Row and establishing well.","June 11, 2015 - KP 5+580 to 6+175 – Vegetation is 90% of off ROW control. – KP 6+175 to 7+000 – Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled.  – KP 6+150, Drainage crossing appears to be in good condition, vegetation well establishing and no signs of erosion. – KP 5+850 to 5+880, KP 6+400, and KP 6+575, Subsidence observed, not affecting land use, areas are well vegetated.  Recommend continued monitoring. – KP 5+975, low area observed at foreign pipeline ROW crossing. Vegetation appears to be establishing. Recommend continued monitoring. – KP 6+665, Erosion observed under fence north of pipeline marker signs, repairs recommended. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request.","May 27, 2016 – KP 5+580 to 6+140, Vegetation is 90-100% of off Row and is well established. No weeds observed. All previous weed issues resolved. – KP 6+125, Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+140 to 6+685, Vegetation is 60-70% of off-ROW and is establishing well. Area was seeded last year  – There were no visible signs of erosion. – KP 5+850 to 5+950, intermittent subsidence observed, not affecting forested land use. No work recommended, issue resolved. – KP 6+285 to 6+450 and KP 6+450 to 6+600, intermittent subsidence observed, recommend repairs. – KP 6+700, sand bags and erosion control waddle installed last year appear to be working effectively. Issue resolved. September 24, 2016 - KP 6+285 to 6+300, 6+390 to 6+400, and KP 6+450 to 6+600 – subsidence repairs completed, issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 0-65% compared to the off-ROW control within 2016 subsidence repair areas (KP 6+285 to 6+300, KP 6+390 to 6+400, KP 6+575 to 6+600), monitor later in growing season. Vegetation cover within the remaining portions of the ¼ is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - No erosion observed, all previous issues resolved. - 2016 subsidence repairs (KP 6+285 to 6+300, KP 6+390 to 6+400, and KP 6+575 to 6+600) appear effective and subsidence has been eliminated. Issue resolved.  - No subsidence or erosion observed in this ¼  - KP 6+685, sand bags and erosion control waddle installed appear to be working effectively. Area is now vegetated and erosion concerns eliminated. Issue resolved. - KP 6+150, drainage is functioning well, is well-vegetated, and is showing no signs of erosion. July 16, 2017 – Vegetation within 2016 repairs is now 80 – 100% compared to the off ROW control.  All previous",,,
SW 16-79-19,Hayland,Rare Plant - prairie buttercup (S1) - KP 6+250 Prairie buttercup was not observed on the ROW. The site is located within a privately managed hayfield with no native species present. Issue resolved.,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 5+580 to 5+880 – Subsidence noted, area is well vegetated, no signs of erosion or pooling water, not impacting land use, monitor in 2015. – KP 5+975 – Low area noted on foreign pipeline ROW crossing, vegetation establishing.  Continue to monitor. – KP 6+150 – Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+270 to 6+300, 6+400, and 6+575 – Subsidence, not currently affecting land use, areas are vegetated, monitor in 2015. – KP 6+620 to 6+665 and 6+700 – Erosion noted, minor and land use (farming operations) should alleviate the erosion, monitor in 2015 – KP 5+580 to 6+175 – Vegetation is 90% of off Row and establishing well.","June 11, 2015 - KP 5+580 to 6+175 – Vegetation is 90% of off ROW control. – KP 6+175 to 7+000 – Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled.  – KP 6+150, Drainage crossing appears to be in good condition, vegetation well establishing and no signs of erosion. – KP 5+850 to 5+880, KP 6+400, and KP 6+575, Subsidence observed, not affecting land use, areas are well vegetated.  Recommend continued monitoring. – KP 5+975, low area observed at foreign pipeline ROW crossing. Vegetation appears to be establishing. Recommend continued monitoring. – KP 6+665, Erosion observed under fence north of pipeline marker signs, repairs recommended. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request.","May 27, 2016 – KP 5+580 to 6+140, Vegetation is 90-100% of off Row and is well established. No weeds observed. All previous weed issues resolved. – KP 6+125, Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+140 to 6+685, Vegetation is 60-70% of off-ROW and is establishing well. Area was seeded last year  – There were no visible signs of erosion. – KP 5+850 to 5+950, intermittent subsidence observed, not affecting forested land use. No work recommended, issue resolved. – KP 6+285 to 6+450 and KP 6+450 to 6+600, intermittent subsidence observed, recommend repairs. – KP 6+700, sand bags and erosion control waddle installed last year appear to be working effectively. Issue resolved. September 24, 2016 - KP 6+285 to 6+300, 6+390 to 6+400, and KP 6+450 to 6+600 – subsidence repairs completed, issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 0-65% compared to the off-ROW control within 2016 subsidence repair areas (KP 6+285 to 6+300, KP 6+390 to 6+400, KP 6+575 to 6+600), monitor later in growing season. Vegetation cover within the remaining portions of the ¼ is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - No erosion observed, all previous issues resolved. - 2016 subsidence repairs (KP 6+285 to 6+300, KP 6+390 to 6+400, and KP 6+575 to 6+600) appear effective and subsidence has been eliminated. Issue resolved.  - No subsidence or erosion observed in this ¼  - KP 6+685, sand bags and erosion control waddle installed appear to be working effectively. Area is now vegetated and erosion concerns eliminated. Issue resolved. - KP 6+150, drainage is functioning well, is well-vegetated, and is showing no signs of erosion. July 16, 2017 – Vegetation within 2016 repairs is now 80 – 100% compared to the off ROW control.  All previous",,,
SW 16-79-19,Hayland,Moderate weed (not noxious) issue Moderate microtopography (erosion) issue,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 5+580 to 5+880 – Subsidence noted, area is well vegetated, no signs of erosion or pooling water, not impacting land use, monitor in 2015. – KP 5+975 – Low area noted on foreign pipeline ROW crossing, vegetation establishing.  Continue to monitor. – KP 6+150 – Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+270 to 6+300, 6+400, and 6+575 – Subsidence, not currently affecting land use, areas are vegetated, monitor in 2015. – KP 6+620 to 6+665 and 6+700 – Erosion noted, minor and land use (farming operations) should alleviate the erosion, monitor in 2015 – KP 5+580 to 6+175 – Vegetation is 90% of off Row and establishing well. – KP 6+175 to 7+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - KP 5+580 to 6+175 – Vegetation is 90% of off ROW control. – KP 6+175 to 7+000 – Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled.  – KP 6+150, Drainage crossing appears to be in good condition, vegetation well establishing and no signs of erosion. – KP 5+850 to 5+880, KP 6+400, and KP 6+575, Subsidence observed, not affecting land use, areas are well vegetated.  Recommend continued monitoring. – KP 5+975, low area observed at foreign pipeline ROW crossing. Vegetation appears to be establishing. Recommend continued monitoring. – KP 6+665, Erosion observed under fence north of pipeline marker signs, repairs recommended. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. June 30, 2015 -KP 6+600, additional erosion noted, repairs recommended. August 17-18th - KP 6+600, erosion repairs completed. August 18, 2015 - Installed erosion control waddle at KP 6+665 at fence line, issue resolved. Requires removal prior to haying in 2016 August 26 and 27, 2015 – Additional erosion control measures (sand bags) placed along the fence line at KP 6+700 to help control the flow of water along the ditch and prevent erosion.","May 27, 2016 – KP 5+580 to 6+140, Vegetation is 90-100% of off Row and is well established. No weeds observed. All previous weed issues resolved. – KP 6+125, Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+140 to 6+685, Vegetation is 60-70% of off-ROW and is establishing well. Area was seeded last year  – There were no visible signs of erosion. – KP 5+850 to 5+950, intermittent subsidence observed, not affecting forested land use. No work recommended, issue resolved. – KP 6+285 to 6+450 and KP 6+450 to 6+600, intermittent subsidence observed, recommend repairs. – KP 6+700, sand bags and erosion control waddle installed last year appear to be working effectively. Issue resolved. September 24, 2016 - KP 6+285 to 6+300, 6+390 to 6+400, and KP 6+450 to 6+600 – subsidence repairs completed, issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 0-65% compared to the off-ROW control within 2016 subsidence repair areas (KP 6+285 to 6+300, KP 6+390 to 6+400, KP 6+575 to 6+600), monitor later in growing season. Vegetation cover within the remaining portions of the ¼ is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - No erosion observed, all previous issues resolved. - 2016 subsidence repairs (KP 6+285 to 6+300, KP 6+390 to 6+400, and KP 6+575 to 6+600) appear effective and subsidence has been eliminated. Issue resolved.  - No subsidence or erosion observed in this ¼  - KP 6+685, sand bags and erosion control waddle installed appear to be working effectively. Area is now vegetated and erosion concerns eliminated. Issue resolved. - KP 6+150, drainage is functioning well, is well-vegetated, and is showing no signs of erosion. July 16, 2017 – Vegetation within 2016 repairs is now 80 – 100% compared to the off ROW control.  All previous vegetation cover issues resolved.",,,
