Legal Location,1st Year Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 25-96-11 W6,Treed Fen,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce and pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions.   - Considerable roach is present over ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff. - KP 31+410 – Perennial sow thistle observed, recommend weed control. July 13, 2016 – KP 31+410 - Herbicide application conducted to control perennial sow thistle.  Issue resolve. August 26, 2016 – KP 31+410 - Effective control of noxious weeds observed.","July 19, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Spoil side very well established with maturing vegetation, particularly willows and aspens.   • Conifer species (spruce, pine) emerging within the tract – both planted and volunteer.   - No noxious weeds were identified in tract. - Roach present in tract – no impact to cross drains, which are functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  Treed Fen - Treed Fen on ROW from KP 31+240 to 31+450 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids. Hydrophytic species emerging throughout. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Moderate organic content in substrate. Algal growth and emergent vegetation identified in areas with standing water. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed. September 30, 2017 - No noxious weeds were observed.",,,
,Shrubby Fen,,,"July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Shrubby Fen on ROW from KP 32+030 to 32+120 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and shrubs. Slightly higher growth of shrubs present on ditchline due to the slight elevation of roach. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Moderate organic content in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
NE 26-96-11 W6,,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen, prickly rose, and willows were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No issue with line-of-sight noted. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Roach is present over ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff.","July 19, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - No noxious weeds were identified in tract.  - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - Winter 2016 integrity dig site observed at KP 32+920. Site is re-establishing vegetation well (80-100%). No concerns, issue resolved. - No erosion or subsidence identified within tract.  September 30, 2017 - No noxious weeds were observed.",,,
NE 26-96-11 W6,Treed Bog,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen, prickly rose, and willows were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No issue with line-of-sight noted. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas. Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Treed bog on ROW from KP 32+430 to 32+490 and KP 32+730 to 32+890 appears to be at full functionality. Bog exists on ROW in the transition zone from upslope poplar to low-lying deep peat conditions to the south. Progressing south, high moisture content and wetland conditions are observed. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and mosses. Hydrophytic species emerging throughout spoil side of ROW. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content in substrate observed in wetland; high amounts of vegetation litter present in wetland. - Wetland exhibiting fully saturated conditions with the water table just below the substrate level, becoming progressively wetter moving south. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.",,,
,Treed Bog,,,"July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas. Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Treed bog on ROW from KP 32+730 to 32+890 appears to be at full functionality. Bog exists on ROW in the transition zone from upslope poplar to low-lying deep peat conditions to the south. Progressing south, high moisture content and wetland conditions are observed. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and mosses. High densities of buck brush, Labrador tea, sphagnum mosses and spruce emerging in slightly upslope area of wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content in substrate observed in fully saturated portions of wetland with peat existing in slightly upslope areas in good depth. - Wetland exhibiting fully saturated conditions with the water table just below the substrate level, becoming progressively wetter moving to the south and to the west. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
,Wildlife Line of Sight Control,"There was a line of sight installed at 32+300 – 2013 issue is resolved. The line of sight is standing correctly and seemed to be effective. The line of site structures that were build, over extended the Sloat ROW to the south. The line of sight structures extended over the two Pembina lines as well. A tree plot was observed at 32+400 which contained spruce trees.",,"July 7, 2016 - KP 32+250 - Line of sight barrier – majority of panels remain intact and secured in original position. 2 panels that had blown over. These 2 panels were repaired temporarily to complete the line of sight barrier. Additional repairs needed. - Planted coniferous were identified upstream and downstream of barriers – good survival rate of species identified. August 26, 2016 - KP 32+250 – repairs were completed, barrier effectively blocking line of sight. Issue resolved.","July 19, 2017 - Line of sight break at KP 32+250 had most panels intact. Four panels had fallen down and were stood back up. Repairs required. August 30, 2017 repairs were completed, barrier effectively blocking line of sight. Issue resolved.",,,
NW 26-96-11 W6,Shrubby Bog,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen, prickly rose, and willows were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment. Continue to monitor ROW in 2016.","July 7, 2016 - Good establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Good establishment of vegetation within wetland locations, including cattails in lower areas. Wetlands appear to meeting adequate function consistent with pre-construction conditions. - Roach is present over ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff.   - KP 33+110 – Perennial sow thistle observed, recommend weed control. July 13, 2016 – KP 33+110 - Herbicide application conducted to control perennial sow thistle. Issue resolved. August 26, 2016 - KP 33+330 – Repaired marker post, issue resolved. - KP 33+110 - Effective control of noxious weeds observed.","July 19, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Spoil side very well established with maturing vegetation, particularly willows and aspens.   - KP 33+355 – Scentless chamomile (3 individuals) picked, bagged, and disposed of.  Issue resolved. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  Shrubby Bog - Shrubby bog on ROW from KP 33+090 to 33+270 appears to be at full functionality. Bog exists on ROW in the transition zone from upslope shrubs to low-lying deep peat conditions to the south. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and mosses. High densities of buck brush, Labrador tea, sphagnum mosses and spruce emerging in slightly upslope area of wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content in substrate observed in fully saturated portions of wetland with peat existing in slightly upslope areas in good depth. - Wetland exhibiting varying levels saturation due to transitional zone, exhibiting fully saturated to semi-saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed. September 30, 2017 - Effective control of noxious weeds observed.",,,
NW 26-96-11 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen, prickly rose, and willows were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment. Continue to monitor ROW in 2016.","July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas. Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Shrubby Fen on ROW from KP 33+480 to 33+730 appears to be at full functionality - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Slightly higher growth of willows present on ditchline due to slight elevation of roach. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
NE 27-96-11 W6,,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Roach is present over ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff.  Cross right of flow identified within cross drains. - Canada thistle (KP 33+800) and perennial sow thistle (KP 33+890) observed, recommend weed control. - Emerging coniferous identified within TWS on north side of right of way July 13, 2016 - Herbicide application conducted to control Canada thistle (KP 33+800) and perennial sow thistle (KP 33+890).  Issue resolved. August 26, 2016 - KP 33+890 – perennial sow thistle observed, additional weed control recommended. Sept 19, 2016 - KP 33+890 – Herbicide application conducted to control perennial sow thistle. Issue resolved.","July 19, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Spoil side very well established with maturing vegetation, particularly willows and aspens.   - KP 34+170 – Perennial sow thistle observed, recommend weed control. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  July 27, 2017 – KP 33+800 and 34+170 – Herbicide application conducted to control perennial sow thistle. Issue resolved. September 30, 2017 - Effective control of noxious weeds observed.",,,
NE 27-96-11 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas. Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Shrubby Fen on ROW from KP 33+880 to 33+960 appears to be at full functionality. Channelized flow existing in wetland from large water body to the north. Water is flowing to the south where other standing bodies of water exist. No sedimentation existing in flowing water and water is not affecting overall stability of ROW conditions. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, aspen and willows. - Trench crown present but slightly settled in wetland. Sufficient amount of breaks for hydrology to be maintained existing. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions with moderately flowing water throughout entire fen. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
NE 27-96-11 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas. Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Shrubby Fen on ROW from KP 34+200 to 34+280 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Hydrophytic species emerging throughout wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed",,,
NE 27-96-11 W6,Treed Fen,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas. Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Shrubby Fen on ROW from KP 34+200 to 34+280 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Hydrophytic species emerging throughout wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed",,,
NW 27-96-11 W6,,,,"July 7, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Roach is present over ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff.   - KP 34+640 – perennial sow thistle observed, recommend weed control. July 13, 2016 – KP 34+640 - Herbicide application conducted to control perennial sow thistle.  Issue resolved. August 26, 2016 - KP 35+150 – install marker posts at cathodic test lead location, issue resolved. - KP 35+150 - Effective control of noxious weeds observed","July 19, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Vetch, common yarrow, clover, and birdsfoot trefoil also identified on tract.  - Trench crown present and stable.  - No erosion or subsidence on tract.  - Cross drains functioning well no water ponding.  - No noxious weeds identified on tract. July 27, 2017 – KP 34+600 – Herbicide application conducted to control perennial sow thistle.  Issue resolved. September 30, 2017 - Effective control of noxious weeds observed.",,,
,Shrubby Fen,,,"July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Shrubby fen on ROW from KP 34+750 to 35+000 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Hydrophytic species emerging throughout wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
,Treed Fen,,,"July 7, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 19, 2017 - Treed fen on ROW from KP 35+000 to 35+040 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Hydrophytic species emerging throughout wetland - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
NE 28-96-11 W6,Low Vegetation Establishment,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The wetland areas at the time off assessment were well vegetated with reed grass, sedges, and willows. There was areas of standing water on both the work side and ditch side. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼.  - No noxious weeds were identified in this ¼. - No subsidence or erosional issues were observed.","July 19, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Present on tract vetch, common yarrow, clover, birdsfoot trefoil, cattails, reed grass, and broadleaf shrubs.  - No erosion or subsidence on tract.  - Trench crown present and stable. With moderate height through tract.  - Cross drains functioning well no ponding and good vegetation established. - KP 36+100 – Canada thistle observed, recommend weed control. July 27, 2017 – KP 36+100 – Herbicide application conducted to control Canada thistle.  Issue resolved. September 30, 2017 - Effective control of noxious weeds observed.",,,
NE 28-96-11 W6,Rutting,"Rutting at KP 36 could not be located during the assessments in 2014. Vegetation has likely covered the area; no further work required, as the vegetation has established and there is no impact on the ROW.  Issue resolved.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼.  - No noxious weeds were identified in this ¼. - No subsidence or erosional issues were observed.","July 19, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Present on tract vetch, common yarrow, clover, birdsfoot trefoil, cattails, reed grass, and broadleaf shrubs.  - No erosion or subsidence on tract.  - Trench crown present and stable. With moderate height through tract.  - Cross drains functioning well no ponding and good vegetation established. - KP 36+100 – Canada thistle observed, recommend weed control. July 27, 2017 – KP 36+100 – Herbicide application conducted to control Canada thistle.  Issue resolved. September 30, 2017 - Effective control of noxious weeds observed.",,,
NE 28-96-11 W6,Treed Fen,,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Wetlands in ¼ are well vegetated with wetland grasses, willows and shrubs.  Cattails were observed in lower lying areas.  Cross drains were observed through wetland and appear functional","July 19, 2017 - Treed fen on ROW from KP 35+240 to 35+570 appears to be at full functionality. Line of sight barrier existing in wetland at KP 35+500. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, buck brush and willows. Hydrophytic species emerging throughout wetland. Higher density of shrubs present on ditchline within wetland due to slightly elevated roach. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed",,,
NE 28-96-11 W6,Shrubby Swamp,,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Wetlands in ¼ are well vegetated with wetland grasses, willows and shrubs.  Cattails were observed in lower lying areas.  Cross drains were observed through wetland and appear functional","July 19, 2017 - Shrubby swamp on ROW from KP 35+750 to 35+910 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, buck brush and willows. Hydrophytic species emerging throughout wetland. Higher density of shrubs present on ditchline within wetland due to slightly elevated roach. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions. - Wetland exhibiting good potential for wildlife; birds identified using wetland has habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
,Wildlife Line-of-Sight Control,"There was a line of sight installed at 35+500 – 2013 issue is resolved. The line of sight is standing correctly and seemed to be effective. The line of site structures that were build, over extended the Sloat ROW to the south. The line of sight structures extended over the two Pembina lines as well.","- line-of-sight - majority of the panels are in place and appear to be effective, several of the panels have fallen over, repair as soon as practical.","KP 35+500, line-of-sight - 3 panels that have been knocked over and damaged.  Repairs will be required to get panels standing again.  Planted pine trees were observed on both upstream and downstream side of barrier. August 26, 2016 - KP 35+500 – repairs were completed, barrier effectively blocking line of sight.  Issue resolved.","July 19, 2017 - KP 35+500 line of sight barrier was stood back up to provide effective sight barrier across ROW. Issue resolved.",,,
NW 28-96-11 W6,Low Vegetation Establishment,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species (2013 low vegetation issue is resolved). Woody species such as poplar, aspen and prickly rose were emerging throughout. The wetland areas at the time off assessment were well vegetated with reed grass, dwarf birch and willows. The shrubby fen area was very wet at the time off assessment with standing water throughout the area. The 2014 assessment indicated that this is an overall low area and no work will be undertaken to address the standing water, as the areas surrounding the standing water are well-vegetated. The standing water is a result of the surrounding topography, not an issue with ROW (issue resolved). There was a tree plot at 36+570 which contained spruce trees. The spruce trees appeared to be healthy at time of assessment. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, aspen and willows observed throughout ¼. - KP 36+300 - two scentless chamomile plants were picked, bagged, and disposed of.  Issue resolved. - No subsidence or erosional issues were observed in this ¼.","July 19, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, vetch, willows and aspens. Present on tract common yarrow, clover, birdsfoot trefoil, broadleaf shrubs. - Trench crown present and stable.  - Cross drains functioning well no ponding on tract.  July 27, 2017 – Intermittent herbicide application conducted to control Canada thistle (KP 36+400) and perennial sow thistle (KP 36+350 to 36+400).  Issue resolved. September 30, 2017 - Effective control of noxious weeds observed.",,,
NW 28-96-11 W6,Drainage,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species (2013 low vegetation issue is resolved). Woody species such as poplar, aspen and prickly rose were emerging throughout. The wetland areas at the time off assessment were well vegetated with reed grass, dwarf birch and willows. The shrubby fen area was very wet at the time off assessment with standing water throughout the area. The 2014 assessment indicated that this is an overall low area and no work will be undertaken to address the standing water, as the areas surrounding the standing water are well-vegetated. The standing water is a result of the surrounding topography, not an issue with ROW (issue resolved). There was a tree plot at 36+570 which contained spruce trees. The spruce trees appeared to be healthy at time of assessment. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 7, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, aspen and willows observed throughout ¼. - KP 36+300 - two scentless chamomile plants were picked, bagged, and disposed of.  Issue resolved. - No subsidence or erosional issues were observed in this ¼.","July 19, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, vetch, willows and aspens. Present on tract common yarrow, clover, birdsfoot trefoil, broadleaf shrubs. - Trench crown present and stable.  - Cross drains functioning well no ponding on tract.  July 27, 2017 – Intermittent herbicide application conducted to control Canada thistle (KP 36+400) and perennial sow thistle (KP 36+350 to 36+400).  Issue resolved. September 30, 2017 - Effective control of noxious weeds observed.",,,
