Alignment Sheet,Legal Location (WPM),Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
79,SE 10-6-12,1125.4 to 1126.2,4222.02,Soils - Erosion,Straw crimping completed along the construction right-of-way from KP 1124.9 to KP 1126.3.,Potential for erosion/sedimentation until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
79,SE 10-6-12,1125.4 to 1126.2,4222.02,Vegetation - Establishment,--,--,Moderate vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Monitor grass/crop growth in 2011.,,,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,GTopography Soils - Water Erosion rass waterway,"Subsoil diversion berms, and round straw bales installed to divert water. Straw bales obtained from landowner to minimize weed potential.","Grass waterway to be re-contoured, and the alfalfa and brome grass put back to the appropriate locations. Potential for erosion/sedimentation until vegetation is established.",Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,Unresolved,"Recontour slopes in 2010. Monitor grass growth, erosion and drainage in 2011.",,,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Soils - Admixing,--,--,Moderate to severe admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Landscape - Coarse Fragments,-,--,Increased stoniness observed on right-of-way during ground reconnaissance.,Unresolved,Hand-pick coarse fragments from right-of-way.,,,
79 (cont'd),SE 10-6-12 (cont'd),1125.5 to 1126.2,4222.02,Soils - Admixing,Overlapped subsoil/transition and topsoil. No distinct separation was kept. Soils were carefully separated mechanically to the extent possible. The soils that the Operator was unable to separate were used as a transition material and were spread across the construction right-of-way prior to the topsoil replacement.,Potential admixing.,Moderate to severe admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
79 (cont'd),SE 10-6-12 (cont'd),1125.5 to 1126.2,4222.02,Vegetation - Weeds,"Spraying conducted to control for various weeds (Jul. 5, 2009) from KP 1125.9 to KP 1126.2. Compressed air/shovel cleaning of equipment due to common burdock at KP 1126.2.",Potential for weed introduction and spread.,"Moderate density of green foxtail, redroot pigweed and spear-leaved goosefoot on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
79,SW 11-6-12,1126.2 to 1126.9,4223,Soils - Topsoil Overstripped,Topsoil overstripped by Operator due to lack of Foreman guidance. The Senior Environmental Inspector addressed the issue with the Foreman to ensure this practice would not occur in the future.,Potential admixing.,No admixing observed on right-of-way.,Resolved,None.,,,
79,SW 11-6-12,1126.2 to 1126.9,4223,Vegetation - Weeds,--,--,"Moderate density of green foxtail, tumbling mustard, white cockle and perennial sow-thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
79,NE 2-6-12,1127.2 to 1127.4,4225,Soils - Admixing,Overlapped subsoil/transition and topsoil. No distinct separation was kept. Soils were carefully separated mechanically to the extent possible. The soils that the Operator was unable to separate were used as a transition material and were spread across the construction right-of-way prior to the topsoil replacement.,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,,
79,NE 2-6-12,1127.2 to 1127.4,4225,Soils - Erosion,--,--,Poor vegetation establishment and rill erosion observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
80,NE 31-5-11,1131.3 to 1131.5,4231,CTopography – Slopes Soils - Water Erosion and Sloughing Water Quality and Quantity ypress River,"Appropriate vehicle crossing installed - single span bridge. Isolation method used. Fish salvage conducted. Reshaped and compacted bed and banks. Slash rollback and diversion berms on both slopes. Hand seeded, Curlex, Sediment Stop and rock swales installed on east bank, log rollback and straw crimped west bank and additional topsoil placed at log rollback areas prior to seeding. East slope has actively running underground streams. French drain installed on east slope. Trees planted on west slope.  Silt fence installed. Track cleat imprinting conducted.",Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns. Potential for sloughing of steep slopes.,"Poor vegetation establishment on right-of-way at west bank. Area is highly disturbed by cattle. East bank of right-of-way crossing is unstable. No trees were observed on the west slope, likely due to cattle traffic.",Unresolved,"Armour, wrap, reseed and/or recontour river banks. Monitor grass growth and bank stability in 2011.",,,
80,NW 32-5-11,1131.7 to 1132.6,4232,Landscape - Coarse Fragments,--,--,Excessive woody debris observed on right-of-way during ground reconnaissance.,Unresolved,Remove excess woody debris in 2010.,,,
80,NE 32-5-11,1132.7 to 1133.0,4233,Topography – Slopes Soils - Compaction and Erosion,Sidehill has higher compaction than off construction right-of-way. Minimal decompaction conducted on the hill side to prevent sloughing. Seeded a cover crop to prevent wash out during spring runoff.,Potential for erosion. Potential for soil compaction.,Minor compaction on right-of-way. No erosion observed on right-of-way.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction, if warranted.",,,
80,NE 32-5-11,1132.7 to 1133.0,4233,Landscape - Coarse Fragments,--,--,Excessive woody debris observed on right-of-way during ground reconnaissance.,Unresolved,Remove excess woody debris in 2010.,,,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Topography – Slopes Soils - Compaction and Erosion,Sidehill has higher compaction than off construction right-of-way. Minimal decompaction conducted on the hill side to prevent sloughing. Seeded a cover crop to prevent wash out during spring runoff.,Potential for erosion. Potential for soil compaction.,No issue observed on right-of-way.,Resolved,None.,,,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Soils - Admixing,--,--,Severe admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
80,SW 33-5-11,1133.5 to 1134.5,4234,Soils - Compaction,"Compaction was marginally greater on construction right-of-way than off through this area, especially in the vicinity of the bar ditch and road crossing. A chisel plow was pulled through this area twice.",Potential compaction.,No issues observed on right-of-way.,Resolved,None.,,,
80,SW 33-5-11,1133.5 to 1134.5,4234,Soils - Admixing,Previous admixing from past construction. Admixed material was kept as transition during the LSr construction. During the Alberta Clipper pipeline construction this material was overlapped onto the clean topsoil windrow. The admixed material was pulled back from the topsoil by a skilled operator.  The mixed transition pile was put back first during the final cleanup.,Potential admixing.,Severe admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
80,SE 33-5-11,1134.5 to 1134.8,4235,Soils - Compaction Topography - Unnatural Contours,"Compaction was marginally greater on construction right-of-way than off through this area, especially in the vicinity of the bar ditch and road crossing. A chisel plow was pulled through this area twice. Compaction noted in the area near the temporary workspace. Contractor could not alleviate this compaction in the area near the temporary workspace due to the close proximity to the road and potential underground lines. Recontoured the construction right-of-way.",Potential compaction. Potential for disruption of natural drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,,
80,SE 33-5-11,1134.6,4235,Vegetation - Weeds,"Hand-picked, bagged and removed white cockle (noxious weed in a large patch both on and off construction right-of-way) from the construction right-of-way.",Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
80,SE 27-5-11,1136.7 to 1137.2,4238.01,Soils - Previous Admixing,Previous admixing and clay to surface over the hotline from previous pipeline construction. Kept the material separate from previously unmixed topsoil and replaced previously admixed topsoil separately from unmixed topsoil.,Potential admixing.,Minor admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
80,SW 26-5-11,1137.3,4239,Soils - Previous Admixing,Previous admixing and clay to surface over the hotline from previous pipeline construction. Kept the material separate from previously unmixed topsoil and replaced previously admixed topsoil separately from unmixed topsoil.,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,,
80,SW 26-5-11,1137.5 to 1137.75,4239,Soils - Compaction,--,--,Severe compaction causing poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,"Alleviate compaction, reseed and monitor in 2011.",,,
80,SW 26-5-11,1137.7,4239,Soils - Shallow Topsoil,Bald clay exposed in spots on surface. Topsoil added to bald exposed areas.,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,,
80,NW 24-5-11,1139.9,4241.01 4241.02,UTopography – Slopes Soils - Wind and Water Erosion Water Quality and Quantity nnamed Drainage,Appropriate vehicle crossing installed - single span bridge. Isolation method used. Fish salvage conducted. Reshaped and compacted bed and banks. Seeded bed and banks. East slope has silt-textured soils and is prone to wind and water erosion. Installed erosion control in the form of subsoil and surface diversion berms as well as silt fence. Double silt fence installed on east slope. Track cleat imprinting conducted.,Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,Silt fences are damaged. Area is highly disturbed by cattle. Poor vegetation establishment on both banks. Large gully starting to form down the bank on the east slope. Banks were observed to be poorly recontoured and sediment has entered the drainage.,Unresolved,"Repair and recontour banks, repair silt fences and reseed in 2010. Monitor grass growth in 2011.",,,
80,NW 24-5-11,1139.9,4241.01 4241.02,UVegetation – Weeds nnamed Drainage,--,--,"High density of false ragweed, creeping thistle, stinkweed and perennial sow-thistle observed on both sides of the drainage during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
80,SW 19-5-10,1140.95 to 1141.3,4244,ITopography – Slopes Soils - Water Erosion  Water Quality and Quantity ntermittent Creek,Appropriate vehicle crossing installed. Isolation method used. Reshaped and compacted bed and banks. Seeded bed and banks. Installed erosion control in the form of subsoil and surface diversion berms as well as silt fence. Double silt fence installed on east slope. Track cleat imprinting conducted. Curlex placed on west side of crossing as a requirement from NEB.,Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,Rill and gully erosion on both the west and east slopes. Soil berms on the east slope have failed creating gullies down the slope.,Unresolved,Repair and recontour slopes and repair berms in 2010. Monitor in 2011.,,,
80,SE 19-5-10,1142.0 to 1142.1,4244.01,Vegetation - Weeds,Landowner requested full wash station for equipment cleaning prior to entry onto land.,Potential for weed introduction and spread.,Moderate density of creeping thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,
80,NE 18-5-10,1142.25 to 1142.7,4245,Vegetation - Weeds,"Cleavers noted on NE 18-5-10 WPM. Full wash station for cleaning equipment used during Alberta Clipper construction at landowner's request, but not used during co-construction.",Potential for weed introduction and spread.,"Moderate density of cleavers, Russian thistle, white cockle and perennial sow-thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
80,NW 17-5-10,1143.0,4246,Water Quality and Quantity -Field Drain,Installed field drains to accommodate surface run-off. All drains were surveyed to ensure that positive flow had been achieved.,Disturbance of natural surface water drainage patterns.,No issue observed on right-of-way.,Resolved,None.,,,
80,NW 17-5-10,1143.0,4246,Vegetation - Crop Growth,--,--,Reduced crop growth observed within the drainage on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in drainage in 2011.,,,
80,NW 17-5-10,1143.1,4246,Water Quality and Quantity -Field Drain,Installed field drains to accommodate surface run-off. All drains were surveyed to ensure that positive flow had been achieved.,Disturbance of natural surface water drainage patterns.,No issue observed on right-of-way.,Resolved,None.,,,
80,NW 17-5-10,1143.1,4246,Vegetation - Crop Growth,--,--,Reduced crop growth observed within the drainage on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in drainage in 2011.,,,
81,SE 17-5-10,1144.4,4247.01,Soils - Previous Admixing and Compaction,Previous admixing and compaction at valve site. Alleviated compaction and spread unmixed topsoil over the area.,Potential compaction and admixing.,Reduced crop growth and minor compaction close to valve site on right-of-way. No admixing observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,
81,NE 9-5-10,1146.2 to 1146.4,4250,Soils - Admixing and Compaction,Some admixing of soils was noted in this low-lying wet area during topsoil replacement. Mixed soils were used as transition and good topsoil was replaced over top in proper sequence.,Potential compaction and admixing.,Minor admixing on right-of-way. No compaction observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
81,NW 10-5-10,1146.4 to 1147.2,4251,Soils - Admixing,Some admixing of soils was noted in this low-lying wet area during topsoil replacement. Mixed soils were used as transition and good topsoil was replaced over top in proper sequence.,Potential admixing.,Minor admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
81,NW 10-5-10,1146.4 to 1147.2,4251,Soils - Compaction,Some admixing of soils was noted in this low-lying wet area during topsoil replacement. Mixed soils were used as transition and good topsoil was replaced over top in proper sequence.,Potential compaction.,Minor compaction on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,
81,NW 10-5-10,1146.4 to 1147.2,4251,Vegetation - Weeds,Cleavers noted on NW 10-5-10 WPM. Landowner requested full wash station for cleaning equipment prior to entry onto Certified/Registered seed grower lands.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
81,NE 10-5-10,1147.2 to 1148.0,4252,Land and Resource Use - Certified/Registered Seed Grower,Equipment cleaned prior to entry. Signs installed.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
81,SE 10-5-10,1148.1,4253,Soils - Admixing,Landowner reported that there was yellowing on the hill.,"Potential admixing, exposed subsoil and crop growth issues.",Moderate admixing on hill tops on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
81,SE 11-5-10,1149.8,4255,Vegetation - Weeds,Landowner requested full wash station for cleaning equipment prior to entry onto Certified/Registered seed grower lands. No weed concerns on adjacent lands.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
81,"NE 2-5-10, NW 1-5-10",1149.8 to 1151.0,4256 4256.01,Land and Resource Use - Certified/Registered Seed Grower,Equipment cleaned prior to entry. Signs installed.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
81,NE 1-5-10,1151.3,4257,Water Quality and Quantity -Field Drain,Installed field drains to accommodate surface run-off. All drains were surveyed to ensure that positive flow had been achieved.,Disturbance of natural surface water drainage patterns.,Fallow land at the time of the ground reconnaissance.,Unresolved,Assess in 2011.,,,
81,SE 1-5-10,1151.5 to 1151.7,4258,Soils - Admixing,--,--,Reduced crop growth and moderate admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
81,SE 1-5-10,1151.9 to 1151.95,4271,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: No baseline assessment completed,Ramp and flume installed for vehicle crossing. Silt fence in place to prevent silt from entering the wetland. Ramp and flume removed from wetland.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Healthy with problems (73%). Weeds: perennial sow thistle, creeping thistle, smooth brome, sweet clover. Riparian: woody vegetation removed. Bare ground on right-of-way.",Unresolved,Monitor in 2011.,,,
81,SW 6-5-9,1152.0,4259,Topography - High Water Table Soils -Compaction and Rutting,Soft area on the east side of the road. Naturally low and water holding area with high water table. This location was ramped for construction. During clean-up this area was left for the low-ground-pressure dozers to prepare the subsoil and replace the topsoil.,Potential compaction and rutting.,No issues observed on right-of-way.,Resolved,None.,,,
81,NE 31-4-9,1153.55 to 1153.7,4261,Vegetation - Weeds,Compressed air/shovel cleaning of equipment due to nodding thistle widespread throughout adjacent field.,Potential for weed introduction and spread.,"High density of nodding thistle, spear-leaved goosefoot, perennial sow-thistle, false ragweed and shepherd’s purse on and off right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
81,SW 33-4-9,1155.6 to 1155.9,4264,Soils - Compaction,Rutting and compaction occurred to subsoil due to wet conditions after topsoil salvage. Compaction alleviated during clean-up.,Potential compaction and rutting.,Moderate compaction on trench line and south work side on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,
81,SW 33-4-9,1155.6 to 1155.9,4264,Soils - Rutting,Rutting and compaction occurred to subsoil due to wet conditions after topsoil salvage. Compaction alleviated during clean-up.,Potential compaction and rutting.,Rutting on trench line and south work side on right-of-way.,Unresolved,"Monitor crop growth in 2011. Repair rutting, if warranted.",,,
81,SW 33-4-9,1155.6 to 1155.9,4264,Soils - Topsoil Loss,--,--,Topsoil loss observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address topsoil loss in 2011, if warranted.",,,
81,"SW/SE 33-4-9, NE 28-4-9",1156.4 to 1157.1,4264/4265,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Healthy with problems (65%),"Pre-trenching completed. Topsoil was stockpiled along the south side of the wetland. Shale ramp installed. A flume was placed on the eastern portion of the wetland to allow for equalized water levels through the wetland. Silt fence in place to prevent silt from entering the wetland. The crossing through the wetland was narrowed. Shale amp, geotextile and flume removed from wetland. Drainage improved using track hoe and positive flow re-established.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with problems (65%).,Resolved,None.,,,
81,NE 28-4-9,1157.1 to 1157.2,4267 / 4267.01,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: No baseline assessment completed,"A shale ramp along with geotextile was used for ramping through the wetland. A flume was placed through the centre of the wetland to enable equalized water levels through the wetland. A subsoiler was successfully used to bring up geotextile carpet prior to hauling the used geotextile to the approved landfill facility. The upper root mass of vegetation was restored to natural state across the wetland. Completed recontouring and clean-up of wetland, ramp removed. Allowed for natural revegetation.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy (84%).,Resolved,Monitor in 2011.,,,
82,NE/NW 27-4-9,1158.3 to 1158.5,4268/4269,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Unhealthy (39%),Re-installation of clay ramp and flume across wetland for equipment access and allow for equalized flow on opposite sides of the wetland. Ramp and flume removed.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (25%).,Resolved,None.,,,
82,NE 23-4-9,1160.6 to 1161.0,4273,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Unhealthy (56%),Pre-trenching completed. Swamp matting used as the track hoes placed the false trench material along the south side of the construction right-of-way in order to construct a ramp. Ramp and geotextile removed.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy (83%).,Resolved,None.,,,
82,SE 24-4-9,1163.1,4275,Vegetation - Weeds,Compressed air/shovel cleaning of equipment prior to entry onto Certified/Registered seed grower land.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
82,SW 19-4-8,1163.2 to 1163.6,4276,Land and Resource Use - Certified/Registered Seed Grower Vegetation - Weeds,Equipment cleaned prior to entry. Signs installed.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
82,NW 18-4-8,1163.6 to 1164.1,4277,Soils - Compaction,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential compaction.,Moderate compaction on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,
82,NW 18-4-8,1163.6 to 1164.1,4277,Soils - Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential admixing.,Moderate admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
82,NW 18-4-8,1164.0,4277,MWater Quality and Quantity ary Jane Creek,Appropriate vehicle crossing installed. Dry crossing - open cut method used. Reshaped and compacted bed and banks. Seeded bed and banks. Installed silt fence.,Potential for erosion until vegetation is established and for alteration of drainage patterns.,Vegetation is well established. Silt fence can be removed.,Resolved,Remove silt fence.,,,
82,NE 18-4-8,1164.1 to 1165.0,4278,Soils - Compaction,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential compaction.,Minor compaction on right-of-way.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction, if warranted.",,,
82,NE 18-4-8,1164.1 to 1165.0,4278,Soils - Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential admixing.,Minor admixing on right-of-way.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
82,NE 18-4-8,1164.1 to 1165.0,4278,Vegetation - Weeds,Compressed air/shovel cleaning of equipment due to cleavers identified on NE 18-4-8 WPM.,Potential for weed introduction and spread.,"High density of perennial sow-thistle, shepherd’s purse, green smartweed, Russian pigweed, spear-leaved goosefoot and pineapple-weed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
82,NW 17-4-8,1165.0 to 1165.4,4279,Soils - Compaction and Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential compaction and admixing.,Minor admixing on right-of-way. No compaction observed on right-of-way.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
82,NW 17-4-8,1165.0 to 1165.4,4279,Vegetation - Weeds,--,--,"Moderate density of creeping thistle, spear-leaved goosefoot and Russian pigweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
82,SW 17-4-8,1165.4 to 1165.95,4279.02,Soils - Compaction and Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential compaction and admixing.,Minor admixing on right-of-way. No compaction observed on right-of-way.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
82,SW 17-4-8,1165.4 to 1165.95,4279.02,Vegetation - Weeds,Compressed air/shovel cleaning of equipment prior to entry onto Certified/Registered seed grower land.,Potential for weed introduction and spread.,"Moderate density field dock, spear-leaved goosefoot, creeping thistle, green smartweed and stinkweed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
82,SE 17-4-8,1166.0 to 1166.9,4280,Soils - Compaction and Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential compaction and admixing.,No issues observed on right-of-way.,Resolved,None.,,,
82,SE 17-4-8,1166.0 to 1166.9,4280,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
82,SE 17-4-8,1166.0 to 1166.9,4280,Land and Resource Use - Certified/Registered Seed Grower Vegetation - Weeds,Equipment cleaned prior to entry. Signs installed.,Potential for weed introduction and spread.,"Moderate density shepherd’s purse, spear-leaved goosefoot, stinkweed and lamb’s-quarters observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
82,SW 16-4-8,1166.8 to 1167.4,4281,Soils - Compaction,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential compaction.,Minor compaction on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,
82,SW 16-4-8,1166.8 to 1167.4,4281,Soils - Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential admixing.,Minor admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
82,SW 16-4-8,1166.8 to 1167.4,4281,Vegetation - Weeds,--,--,"Moderate to high density spear-leaved goosefoot, prostrate pigweed and field dock observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
82,NW 9-4-8,1167.6 to 1167.7,4282.01,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (37%),"Existing clay ramp with geotextile and culvert for equipment access across the wetland from co-construction, ramp improved. Ramp, geotextile and culvert removed.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (14%).,Resolved,None.,,,
82,NW 10-4-8,1168.7 to 1169.0,4284.01,Soils - Compaction and Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred. Clean-up during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue clean-up in areas where the soils were not suitable for clean-up.",Potential compaction and admixing.,No issues observed on right-of-way.,Resolved,None.,,,
82,SW 10-4-8,1169.0 to 1169.65,4284.02 4285,Soils - Compaction and Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred. Clean-up during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue clean-up in areas where the soils were not suitable for clean-up.",Potential compaction and admixing.,No issues observed on right-of-way.,Resolved,None.,,,
82,SE 10 to  NW 2-4-8,1169.65 to 1171.5,4286,Soils - Compaction and Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred. Clean-up during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue clean-up in areas where the soils were not suitable for clean-up.",Potential compaction and admixing.,No issues observed on right-of-way.,Resolved,None.,,,
82,NE 2-4-8,1171.5 to 1172.4,4290,Soils - Compaction and Admixing,"Topsoil stripping during marginal construction right-of-way conditions, with some areas of poor separation and rutting throughout. Contractor was advised to discontinue stripping if signs of admixing occurred.",Potential compaction and admixing.,No issues observed on right-of-way.,Resolved,None.,,,
83,SW 1-4-8,1173.3,4292,Vegetation - Weeds,Compressed air/shovel cleaning of equipment required after crossing the slough area due to high volume of hard to kill weeds.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
83,NE 31-3-7,1175.7,4295.01,UWater Quality and Quantity nnamed Drainage,Appropriate vehicle crossing installed. Isolation method used. Reshaped and compacted bed and banks. Seeded bed and banks. Installed silt fence.,Potential for erosion until vegetation is established and for alteration of drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,,
83,W 1/2 32-3-7,1176.1 to 1177.0,4296,Vegetation - Weeds,"Hand-picked, bagged and removed white cockle (noxious weed widespread throughout area) from the construction right-of-way.",Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
83,SE 32-3-7,1177.0 to 1177.9,4296.02,Vegetation - Weeds,"Hand-picked, bagged and removed white cockle (noxious weed widespread throughout area) from the construction right-of-way.",Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
83,SE 32-3-7,1177.0 to 1177.9,4296.02,Soils - Admixing,"Clean-up during marginal construction right-of-way conditions, with some areas of poor separation throughout. Contractor was advised to discontinue clean-up in areas where the soils were not suitable for clean-up.",Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,,
83,SW 33-3-7,1178.0 to 1178.6,4297,Soils - Rutting and Admixing,Rutting and admixing of soils during clean-up. Contractor was advised to discontinue clean-up in areas where the soils were not suitable for clean-up. Onsite meeting was held with the landowner to describe the situation. The admixed soils were used as transition and topsoil placed over top once conditions were dry enough to allow for work to resume.,Potential rutting and admixing of soils.,Severe admixing on right-of-way. No rutting observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
