Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
94P-4-I40,High vegetation establishment,"September 17, 2014 - 75-80% vegetation established compared to off ROW. - Rollback present on ROW at KP 4+700 which is likely reducing vegetation growth.","June 18, 2015 - Vegetation on ROW appears to be 85% comparable to off ROW.  - Patch of scentless chamomile at KP 4+720 and KP 4+900. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback within tract is functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 14, 2015 - Patches of scentless chamomile plants were handpicked, bagged and removed from ROW at KP 4+720 and at 4+900. - Patch of perennial sow thistle plants were handpicked at KP 5+000. September 22, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - Road crossing appeared to be stable with no apparent erosion or other impact to the ROW.  - No integrity concerns were noted.","July 21, 2016 - 80-90% vegetation established compared to off ROW.  Reduced vegetation cover at KP 4+700 (2014), no longer evident, issue resolved. - Perennial Sow Thistle at KP 5+000, primarily along ditchline. - Herbicide application conducted to control Perennial Sow Thistle. September 24, 2016 - KP 5+000 – additional herbicide application to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues. - Scentless chamomile noted in 2015 is no longer evident, issue resolved.","July 26, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - KP 5+000 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - No soil stability issues.   Rollback present in tract from KP 4+660 to 4+750 acting as access control from parallel Komie Road. Rollback appears to be effective as no third party traffic was observed on ROW. Rollback also acting as erosion control along ROW as no erosion was observed within rollback areas. September 27, 2017 – KP 4+930 to 5+000 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
94P-4-I30,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW. 2013 vegetation issue resolved.","June 18, 2015 - Vegetation on ROW appears to be 80-85% comparable to off ROW with some areas exhibiting thinner cover likely attributed to heavier mulch densities.  - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted.","July 21, 2016 - 80-85% vegetation established compared to off RoW. - Scentless chamomile observed at KP 5+500, primarily along ditchline. - Herbicide application conducted to control scentless chamomile. - A marker post was down at KP 5+600. Recommend re-setting post. September 25, 2016 - KP 5+600 – straightened and secured marker posts and signage, issue resolved.  - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.","July 26, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - No noxious weeds identified.  - Cross drains vegetated and functioning.  - No soil stability issues.  July 26, 2017 - Caribou Habitat Restoration Location - Natural re-vegetation in area of low-impact construction techniques at KP 5+540 at cutline continues to establish and provide an effective line of sight barrier in area. Poplar trees exceeding 2m height. September 27, 2017 - No noxious weeds were identified in tract.  All previous issues resolved.",,,
94P-4-I30,Treed bog,"September 17, 2014 - Wetland located at KP 5+470 to KP 5+800 is holding water and contains emergent riparian vegetation. - Disturbance species present on the existing ROW crossing at KP 5+575.","June 18, 2015 - 70-80% vegetation established compared to off ROW. - Treed Bog located between KP 5+470 to KP 5+840 has standing water on east side of ROW and contains emergent riparian vegetation. - Bare patches of peat and mulch present along ROW. - Wetland functional.  Issue resolved.","Sept 24, 2016 - Treed bog located between KP 5+470 and KP 5+840. - 75 - 85% vegetation establishment compared to off- ROW. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - No noxious weeds observed within wetland. - Wetland functional. Issue resolved.","July 26, 2017 - Treed Bog on ROW from KP 5+470 to 5+840 appears to be at full, proper functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, Labrador Tea, black spruce, buck brush and mosses. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate stable through very high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm; mottling occurring. - Wetland exhibiting saturated conditions due to elevated water table existing slightly below substrate surface resulting in intermittent localized areas of standing surface water acting as habitat microsites. - Wetland exhibiting good potential for wildlife. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
94P-4-I20,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW.  2013 vegetation issue resolved. - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015 - Vegetation on ROW appears to be 70-80% comparable to off ROW. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback within tract appears to be functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. September 22, 2015 - Vegetation appeared to be well established with numerous sedges and grasses, willows and small trees were observed throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - No weed concerns were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. September 25, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues","July 26, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - No noxious weeds were identified.  - Cross drains and stub berms are vegetated and in good functioning condition.  - No soil stability issues.  Caribou Habitat Restoration Location - Rollback added to both sides of road crossing from KP 6+900 to 7+080 is functioning well as access control. Very good establishment of grasses and deciduous tree species within rollback area. September 27, 2017 - No noxious weeds were identified in tract. - Re-installed marker post at KP 7+050 south of access road crossing (material on site); issue resolved.",,,
94P-4-I20,"Rare Plant - western Jacob's ladder (S4) – KP 5+950 to 6+300 On August 24, 2013, rare plant specialists visited the location and observed approximately 15 plants. Resolved: No further monitoring is recommended.",,,,,,,
94P-4-I20,Treed bog,"September 17, 2014 - Wetland located at KP 6+400 is holding water and contains emergent riparian vegetation.","June 18, 2015 - 70-80% vegetation established compared to off ROW. - Treed Bog located between KP 6+000 and KP 7+130 has standing water on east side of ROW and contains emergent riparian vegetation. - Wetland functional. Issue resolved. - Bare patches of peat and mulch present along ROW. - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 24, 2016 - Treed bog located between KP 6+000 and KP 7+130. - 75-85% vegetation establishment compared to off-ROW. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - No noxious weeds observed within wetland. - Intermittent sections of standing water present. - Wetland functional. Issue resolved.","July 26, 2017 - Treed Bog on ROW from KP 6+900 to 7+130 appears to be at full, proper functionality. Wetland exists through road crossing at KP 7+050. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, Labrador Tea, black spruce, buck brush and mosses. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. Stub berms present in wetland to prevent excess adjacent flow down roach; functioning well.  - Substrate stable through very high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm; mottling occurring. - Wetland exhibiting saturated conditions due to elevated water table existing slightly below substrate surface resulting in intermittent localized areas of standing surface water acting as habitat microsites. - Wetland exhibiting good potential for wildlife. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
94P-4-I10,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW.  2013 vegetation issue resolved. - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015 - Vegetation on ROW appears to be 80-85% comparable to off ROW.  - No weed issues evident within tract. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback in tract appears to be functioning well as no foreign activity is present. - No subsidence or erosional issues evident in tract. July 14, 2015  - A single scentless chamomile plant was handpicked, bagged and removed from site at KP 7+400. September 22, 2015 - Vegetation appeared to be well established with numerous sedges and grasses, willows and small trees were observed throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - No weed concerns were observed.","June 20, 2016- Excellent vegetation established.  No visible flowering noxious weeds. No soil or erosion issues. July 21, 2016- Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - KP 7+900 – herbicide application conducted to control perennial sow thistle. September 25, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. Scentless chamomile noted in 2015, no longer evident, issue resolved.","July 27 and 29, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - KP 7+900 and 8+100 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are vegetated and functioning.  - No soil stability issues.   Rollback present in tract from KP 7+850 to 7+920 acting as access control from parallel Komie Road and perpendicular access road. Rollback appears to be effective as no third party traffic was observed on ROW. September 27, 2017 – No noxious weeds observed.  All previous issues resolved.",,,
94P-4-I10,Treed bog,"September 17, 2014 - Wetland located at KP 7+450 is holding water and contains emergent riparian vegetation.","June 18, 2015 - 70-80% vegetation established compared to off ROW. - Treed Bog located between KP 7+280 and KP 7+620 has standing water on east side of ROW and contains emergent riparian vegetation. - Wetland functional.  Issue resolved. - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 25, 2016 - Treed bog located between KP 7+280 and KP 7+620. - Emergent riparian vegetation present throughout wetland. - Intermittent areas of standing water located within wetland. - No noxious weeds observed within wetland. - Wetland functional. Issue resolved.","July 27, 2017 - Treed Bog on ROW from KP 7+280 to 7+620 appears to be at full, proper functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, Labrador Tea, black spruce, sphagnum mosses and poplar. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through very high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm; mottling and gleying occurring. - Wetland exhibiting saturated conditions due to elevated water table existing slightly below substrate surface. Intermittent localized areas of standing surface water acting as habitat microsites. - Wetland exhibiting good potential for wildlife; amphibians observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
94P-4-H100,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW.  2013 vegetation issue resolved. - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015 - Vegetation on ROW appears to be 75-85% comparable to off ROW.  - Courvoiser Creek at KP 8+200 appears stable. Banks are well vegetated with willows establishing. Bed is stable with good cobble distribution. Revetment posts appear to be functioning well retaining banks. Diversion berms leading to creek are functioning well with good vegetation establishment at this time. High water flow. Recommend removal of silt fences on both banks. - Creek at KP 9+030 appears stable. Banks are showing good vegetation growth and bed appears stable with good cobble distribution. Revetment posts are functioning well at this time. Moderate flow apparent. Recommend removal of silt fences on both banks and cutting out exposed plastic fabric on south bank. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 14, 2015 - Patch of scentless chamomile plants was handpicked, bagged and removed from ROW at KP 8+060. - Silt fences and pegs within waddles were removed from both banks of Courvoiser Creek (KP 8+200) and the creek crossing at KP 9+020.  Issues resolved. September 22, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - Courvoisier Creek crossing appeared to be stable.  - Banks of creek were well vegetated and no erosion or slumping was observed. - No integrity concerns were noted. - No weed concerns were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Courvoisier Creek, KP-8+200 – bed and banks are stable. Moderate flow, no issues. Marker posts and signage are in place. September 25, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues - Scentless chamomile noted in 2015 (KP 8+060) is no longer evident, issue resolved.","July 27, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - KP 8+720 – Perennial sow thistle observed, herbicide application recommended. - Cross drains are vegetated and functioning.  - No soil stability issues.  - Courvoiser Creek, KP-8+200 – bed and banks are stable. High flow, no issues. Marker posts and signage are in place. Good establishment of willows along banks. - Ditch plugs and New drains functioning on both sides of Courvoiser Creek, no issues. - Tributary KP 9+000– banks stable and vegetated.  Caribou Habitat Restoration Location - Rollback added to both sides of watercourse 3 from KP 8+120 to 8+520 is providing good access control. Good establishment of deciduous tree species and broadleaf shrubs within rollback area,  - Narrowed ROW at KP 9+000 providing good line of sight barrier. Vegetation continues to establish well in area. Deciduous tree species exceeding 2m in height.  July 29, 2017 - KP 8+720 – Herbicide application conducted to control perennial sow thistle.  Issue resolved. September 28, 2017 – No noxious weeds observed.  All previous issues resolved.",,,
94P-4-H100,"Rare Plant - western Jacob's ladder (S4) – KP 8+200 On August 24, 2013, rare plant specialists conducted an incidental visit at the location and observed 5 plants. Resolved: No further monitoring is recommended.",,,,,,,
94P-4-H100,Rare Plant - western Jacob's ladder (S4) – KP 8+600 No monitoring was conducted in 2013 since the project no longer impacted the population following the reroute. Resolved: No further monitoring is recommended.,,,,,,,
,"Rare Plant - western Jacob's ladder (S4) – KP 9+000 On August 24, 2013, rare plant specialists visited the location and observed more than 30 plants. Resolved: No further monitoring is recommended.",,,,,,,
,Treed fen,"September 17, 2014 - Wetland located at KP 8+700 is holding water and contains emergent riparian vegetation.","June 18, 2015 - 70-80% vegetation established compared to off ROW. - Treed Fen located between KP 8+400 and KP 9+000 has standing water on east side of ROW and contains emergent riparian vegetation. - Wetland functional.  Issue resolved. - Bare patches of peat and mulch present along ROW. - Cross drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 25, 2016 - Treed fen located between KP 8+400 and KP 9+000. - Emergent riparian vegetation present throughout wetland. - Intermittent areas of standing water located within wetland. - Wetland functional. Issue resolved","July 27, 2017 - Treed Fen on ROW from KP 8+400 to 9+000 appears to be at full, proper functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and buck brush. Hydrophytic species observed throughout wetland. Black spruce observed encroaching on fringe of wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat accumulating in wetland in top substrate layer; mottling and gleying occurring. - Wetland exhibiting semi- saturated conditions due to elevated water table. Intermittent localized areas of standing surface water acting as habitat microsites. - Wetland exhibiting good potential for wildlife; amphibians observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
94P-4-H90,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, no issues (50% cover ditchline, 70% ROW)","June 18, 2015 - Vegetation on ROW appears to be 75-85% comparable to off ROW. 2013 vegetation issue resolved. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - No weed concerns were observed.","July 21, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Tributary KP 9+000– banks stable, no issues.  September 25, 2016- - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues","July 27, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  - KP 9+980 – Perennial sow thistle observed, recommend weed control. - Cross drains are vegetated and functioning.  - No soil stability issues.  July 29, 2017 - KP 9+980 – Perennial sow thistle mechanically controlled due to proximity to rare plant.  Issue resolved. September 28, 2017 – No noxious weeds observed.  All previous issues resolved.",,,
,"Rare Plant - western Jacob's ladder (S4) – KP 9+850 to 10+150 On August 24, 2013, rare plant specialists visited the location and observed 5 to 10 plants. Resolved: No further monitoring is recommended.",,,,,,,
,Treed fen,"September 18, 2014 - Wetland located from KP 9+100 to KP 10+250 is holding water, contains emergent riparian vegetation and appears functional. - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 18, 2015 - Treed Fen located between KP 9+100 and KP 10+250 has standing water on east side of ROW and contains emergent riparian vegetation. - Wetland functional. Issue resolved. - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","Sept 25, 2016 - Treed fen located between KP 9+100 and KP 10+250. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland functional. Issue resolved","July 27, 2017 - Treed Fen on ROW from KP 9+100 to 10+250 appears to be at full, proper functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and buck brush. Significant amounts of black spruce and tamarack emerging throughout wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat accumulating in wetland in top substrate layer; mottling and gleying occurring. - Wetland exhibiting semi- saturated conditions due to elevated water table. Intermittent localized areas of standing surface water acting as habitat microsites. - Wetland exhibiting good potential for wildlife. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
