Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),TERA Observation(s) in 2010,TERA Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,Repairs to Date  (2010 to 2013),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
64,SE 24-11-33,909.5 to 910.3,3373  3373.01,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Vegetation has been recently cut; unable to assess weed densities.,Hay crop established well. No weed issues observed.,Weeds mowed July 2012. Reseeded July 2012. 2012: Interseeded with alfalfa.,Resolved,None.,,WPM,
65,SW 19-11-32,910.3,3374,Soils – Contouring,--,--,Poor contouring resulting in drainage issues observed on construction right-of-way during ground reconnaissance.,"No contouring issues observed. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Resolved,None.,,WPM,
65,NE 18-11-32,911.3 to 912.1,3376,Vegetation – Crop Growth,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reduced crop height and density caused by admixing and drainage issues observed on construction right-of-way during ground reconnaissance.,No crop issues observed. Crop looks healthy. Crop parameters equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
65,NE 18-11-32,911.3 to 912.1,3376,Soils - Compaction,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Moderate compaction and minor admixing observed at various locations on construction right-of-way during ground reconnaissance affecting vegetation growth.,"No compaction or other soil issues observed. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Resolved,None.,,WPM,
65,NW 2-11-32,F 2.35 to F 3.0,3388.01,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Unable to access due to flooding. Reassess next year.,Weed species composition and density similar on and off the construction  right-of-way.,,Resolved,None.,,WPM,
65,NW 1-11-32,F 3.9 to F 4.0,3389,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way at field edges and wetlands during ground reconnaissance.,Weed species composition and density similar on and off the construction  right-of-way.,Weeds sprayed fall 2011.,Resolved,None.,,WPM,
65,SW 1-11-32,F 4.0 to F 4.9,3389.01,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way at field edges and wetlands during ground reconnaissance.,Weed species composition and density similar on and off the construction  right-of-way.,Weeds sprayed fall 2011.,Resolved,None.,,WPM,
65,SE 1-11-32,F 4.9 to F 5.6,3390.01  3390.02,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of foxtail barley, perennial sow-thistle, curled dock, Canada thistle, common plantain, lamb’s-quarters and nodding thistle observed on construction right-of-way during ground reconnaissance. High densities of dandelion also observed.",Weed species composition and density higher on the construction right-of-way compared to off.,Weeds sprayed fall 2011.,Unresolved,Monitor in 2014. Reseed if warranted.,,WPM,
,,,,Vegetation – Establishment,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed on construction right-of-way.,--,Resolved,None.,,WPM,
65,NE 35-10-32,F 5.6 to F 6.5,3390.03,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of foxtail barley and false ragweed observed on construction right-of-way during ground reconnaissance.,"Low densities of stinkweed, red-root pigweed, round-leaved mallow, prostrate pigweed, maple-leaved goosefoot and kochia observed on construction  right-of-way during ground reconnaissance in areas of patchy crop growth.",Weed species composition and density similar on and off the construction  right-of-way.,--,Resolved,None.,,WPM,
65,NE 36-10-32,F 7.5 to F 7.6,3395,Vegetation – Establishment,--,--,Patchy vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed on construction right-of-way.,Reseeded July 2012.,Resolved,None.,,WPM,
65,NE 36-10-32,F 7.5 to F 7.6,3395,Vegetation - Weeds,--,--,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed species composition and density similar on and off the construction  right-of-way.,Seeded in early July 2012.,Resolved,None.,,WPM,
65,NW 31-10-31,923.7 to 923.8,3396 3396.01 3396.99,Vegetation – Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No crop growth issues observed on construction right-of-way. Crop parameters assessed on construction right-of-way now equal to off construction right-of-way.,--,Resolved,None.,,WPM,
66,SW 27-10-31 to SE 27-10-31,929.1 to 930.6,3405 3405.01 3406 3406.01,Vegetation - Establishment,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,--,Moderate vegetation establishment observed on construction right-of-way.,No vegetation establishment issues observed on the construction right-of-way.,--,Resolved,None.,,WPM,
66,SE 27-10-31,930.7,3406 3406.01,Soils – Contouring,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,--,--,No contouring issues observed on the construction right-of-way. 2012 repairs appear to have been successful.,2012: Contouring repaired.,Resolved,None.,,WPM,
66,NW 23-10-31,931.0 to 931.8,3408,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate to high density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
66,NE 23-10-31,931.8 to 932.6,3409,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate to high density of foxtail barley observed on construction right-of-way during ground reconnaissance.,"Moderate densities of Canada thistle, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
66,NW 24-10-31,932.6 to 933.2,3410,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate to high density of foxtail barley observed on construction right-of-way during ground reconnaissance.,"Moderate densities of Canada thistle, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
66,SW 24-10-31,933.2 to 933.5,3411,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate to high density of foxtail barley observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of Canada thistle, bull thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
66,SE 24-10-31,933.5 to 934.0,3412,Vegetation - Weeds,--,--,Moderate densities of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed density is higher on construction right-of-way compared to off.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,WPM,
66,SE 24-10-31,934.0 to 934.4,3412,Vegetation - Establishment,--,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed on the construction right-of-way.,Reseeded July 2012.,Resolved,None.,,WPM,
66,SE 19-10-30,935.9,3414,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,This issue is related to an integrity dig and not due to construction of the Clipper pipeline. This issue will be communicated to the appropriate Enbridge personnel.,--,Resolved,None.,,WPM,
66,NW 17-10-30,936.5 to 936.95,3415  3415.01 3416  3416.01 3417.01 3417.02,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
67,NW 10-10-30,940.0,3423,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate density of spear-leaved goosefoot, lamb's-quarters and foxtail barley observed on construction right-of-way during ground reconnaissance.",Moderate densities of Canada thistle and false ragweed observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
67,SE 11-10-30,942.5 to 943.2,3427,Vegetation – Weeds,--,--,High densities of absinthe and foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012. 2013: Absinthe hand picked and the  right-of-way mowed.,Resolved,None.,,WPM,
67,SE 11-10-30,942.3 to 943.2,3427,Vegetation - Establishment,--,--,Livestock not consuming vegetation.,No vegetation establishment issues observed. Area being actively grazed.,2013: Absinthe hand picked and the  right-of-way mowed.,Resolved,None.,,WPM,
67,SW 12-10-30,943.2 to 944.1,3428,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate to high density of field dock, foxtail barley, common peppergrass and Canada thistle observed on construction right-of-way during ground reconnaissance.",Moderate to high densities of foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds mowed July 2012. Weeds sprayed August 2012.,Resolved,None.,,WPM,
67,SW 12-10-30,943.2 to 944.1,3428,Vegetation – Establishment,Final clean-up not complete at time of 2010 ground reconnaissance.,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed.,Reseeded July 2012.,Resolved,None.,,WPM,
67,SE 12-10-30,944.1 to 944.5,3429,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate to high density of field dock, foxtail barley, common peppergrass and Canada thistle observed on construction right-of-way during ground reconnaissance.",Moderate to high densities of foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds mowed July 2012. Weeds sprayed August 2012. 2013: Mowed area of foxtail barley issue and spot sprayed broadleaf weeds as required.,Unresolved,Monitor in 2014 as per landowner request.,,WPM,
67,SE 12-10-30,944.1 to 944.5,3429,Vegetation – Establishment,Final clean-up not complete at time of 2010 ground reconnaissance,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed.,Reseeded July 2012.,Resolved,None.,,WPM,
67,NE 1-10-30,944.5 to 945.0,3430,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate to high density of field dock, foxtail barley, common peppergrass and Canada thistle observed on construction right-of-way during ground reconnaissance.",Moderate to high densities of foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance.,"Bull in field, unable to safely assess in 2013.",Weeds mowed July 2012. Weeds sprayed August 2012. 2013: Mowed area of foxtail barley issue and spot sprayed broadleaf weeds as required.,Unresolved,Monitor in 2014.,,WPM,
67,NE 1-10-30,944.5 to 945.0,3430,Vegetation – Establishment,Final clean-up not complete at time of 2010 ground reconnaissance.,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Bull in field, unable to safely assess in 2013.",Reseeded July 2012.,Unresolved,Monitor in 2014.,,WPM,
67,NE 6-10-29,946.6 to 946.7,4002,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Reseeded July 2012.,Resolved,None.,,WPM,
67,NE 6-10-29,946.7,4002,Vegetation - Establishment,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed.,Reseeded July 2012.,Resolved,None.,,WPM,
67,NW 5-10-29,946.7 to 946.8,4003,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate densities of foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Reseeded July 2012.,Resolved,None.,,WPM,
67,SW 5-10-29,946.8 to 947.6,4004,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate densities of foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Reseeded July 2012.,Resolved,None.,,WPM,
67,NW 34-9-29,951.0,4007,Vegetation - Weeds,--,--,Moderate densities of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,--,Resolved,None.,,WPM,
67,NW 34-9-29,950.4 to 951.0,4007,Soils – Erosion,--,--,Severe gully erosion (up to 30 cm deep and 50 cm wide) observed on construction right-of-way during ground reconnaissance.,No erosion issues observed on construction right-of-way. This area will continue to be monitored by Enbridge Operation personnel.,Fall 2012: Erosion repaired.,Resolved,None.,,WPM,
67,NW 34-9-29,951.0,4007,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance due to soil erosion.,No vegetation establishment issues observed.,Fall 2012: Uncropped area seeded to hay.,Resolved,None.,,WPM,
67,NE 34-9-29,951.0 to 951.7,4008,Topography – Steep Slopes Soils – Erosion Water Quality and Quantity Fish and Fish Habitat Pipestone Creek,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Slumping and rill erosion observed at KP 951.1 on construction right-of-way during ground reconnaissance. Poor vegetation establishment and damaged erosion matting observed on east bank on construction right-of-way during ground reconnaissance.,"Severe rill erosion on west slopes observed on construction right-of-way during ground reconnaissance. Erosion control measures including sediment fences, swales and straw bales are still in place. Moderate rill erosion observed on east slopes with straw bales still in place for erosion control.",Erosion issues still present in this area.,"Slopes repaired, armoured and seeded fall 2011. Repaired rill erosion and reseeded west slope July 2012. 2013: Remedial hand seeding of water runs and selective hand spraying of weeds. Weeds mowed.",Resolved,None.,,WPM,
67,NE 34-9-29,951.35,4008,Vegetation – Weeds Pipestone Creek,--,--,Moderate density of Canada thistle and a patch of tansy on west bank of Pipestone Creek.,Moderate density of Canada thistle and tansy observed on construction right-of-way.,2013: Weeds spot sprayed/hand picked and mowed.,Unresolved,Control weeds and monitor in 2014.,,WPM,
67,NE 34-9-29,951.35,4008,Soils – Erosion Pipestone Creek,See Fisheries and Oceans Canada (DFO) monitoring report.,See DFO monitoring report.,Erosion of the creek banks and sedimentation is occurring. Rip-rap is dislodging on west bank. Approximately 50 willow stakes have established on west bank. No willows on east bank.,No erosion issues observed on construction right-of-way. This area will continue to be monitored by Enbridge Operations personnel.,Installed rock armouring and erosion control blanket on east bank; seeded and planted willows fall 2011.,Resolved,None.,,WPM,
67,NW 35-9-29,952.3,4009,Vegetation - Weeds,--,--,--,Issue not assessed in 2013. Monitoring to occur in 2014.,Weeds sprayed in summer 2012.,Unresolved,Monitor in 2014.,,WPM,
68,NE 25-9-29,954.9 to 955.0,4013,Vegetation - Weeds,--,--,"High density of white sweet clover and moderate densities of foxtail barley, perennial sow-thistle, Canada thistle, wild buckwheat and Russian pigweed observed along an intermittent creek on construction right-of-way during ground reconnaissance. Poor establishment of desired species.",Weed density and composition equal on and off construction right-of-way. No weed issues observed.,-- 2013: Selective hand spraying of weeds (target broadleaf).,Resolved,None.,,WPM,
68,NE 25-9-29,955.0,4013.01,Soils – Erosion Water Quality and Quantity Intermittent Creek,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Minor rill erosion observed on banks of unnamed drainage on construction  right-of-way during ground reconnaissance. A sediment fence is still in place on the south bank.,Vegetation established. Site appears stable.,Weeds sprayed; sediment fence and coconut matting removed August 2012.,Resolved,None.,,WPM,
68,SE 25-9-29,955.5,4014,Vegetation – Weeds,--,--,Awnless brome is spreading from the right-of-way to the adjacent native prairie.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,--,Resolved,None.,,WPM,
68,NW 20-9-28,957.7 to 957.9,4018,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed.,Landowner worked and reseeded July 2012.,Resolved,None.,,WPM,
68,NW 20-9-28,957.98,4018,Topography – Steep Slopes Soils – Erosion Water Quality and Quantity Intermittent Creek,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate gully erosion observed on west bank of unnamed creek on construction right-of-way during ground reconnaissance.,Upper and mid slopes appear stable. Erosion issue exists on streambanks.,Reseeded summer 2011. Removal of sediment fences in 2012. Erosion repaired September 2012. Erosion repaired in August 2013.,Unresolved,Repair stream banks and monitor in 2014.,,WPM,
68,SW 20-9-28,CT 0.4,4019,Soils – Erosion Water Quality and Quantity Unnamed Drainage – Field Identified,--,--,Major gully erosion observed on construction right-of-way during ground reconnaissance.,"Erosion issue improved from 2012, however, still remains unresolved. Slopes require seeding (currently bare ground with weeds).",Erosion repaired September 2012.,Unresolved,"Repair erosion, seed slopes and monitor in 2014.",,WPM,
68,SW 20-9-28,CT 0.0 to CT 0.4,4019,Vegetation - Establishment,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Land fallow along construction  right-of-way. Unable to assess.,No vegetation establishment issues observed.,Landowner reseeded July 2012.,Resolved,None.,,WPM,
68,SW 20-9-28,CT 0.0 to CT 0.4,4019,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,No weeds observed on fallow land during ground reconnaissance.,Higher density of weeds observed on the construction right-of-way compared to off. Canada thistle and perennial sow-thistle observed at high densities.,Landowner reseeded July 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,WPM,
68,NW 17-9-28,CT 0.6,4019.01,Soils - Erosion,--,Major gully erosion observed on construction right-of-way during ground reconnaissance.,Minor rill erosion observed on construction right-of-way within natural drainage during ground reconnaissance. No vegetation established.,No erosion issues observed on construction right-of-way.,--,Resolved,None.,,WPM,
68,NW 17-9-28,CT 0.6 to CT 1.1,4019.01,Vegetation – Establishment,--,--,Land fallow along construction  right-of-way. Unable to assess.,Vegetation well-established. Weed issue present.,Landowner worked and reseeded right-of-way July 2012.,Resolved,None.,,WPM,
68,NW 17-9-28,CT 0.6 to CT 1.1,4019.01,Vegetation - Weeds,--,--,--,A moderate to high density of Canada thistle was observed within the entire quarter-section.,--,Unresolved,Control weeds and monitor in 2014.,,WPM,
68,NW 16-9-28,CT 1.7 to CT 2.8,4022,Soils - Coarse Fragments,--,--,--,Land access not granted at time of survey. Issue being managed by third-party.,Landowner picked rocks July 2012.,Resolved,None.,,WPM,
68,NW 16-9-28,CT 1.7 to CT 2.8,4022,Soils - Contouring,--,--,--,Land access not granted at time of survey. Issue being managed by third-party.,Landowner picked rocks July 2012.,Resolved,None.,,WPM,
68,NE 16-9-28,961.2 to 961.3,4023,Soils – Admixing,--,--,Minor admixing observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey. Issue being managed by third-party.,Stripped and placed admixed topsoil near clay horizon October 2011.,Resolved,None.,,WPM,
68,NW 15-9-28,961.55 to 961.63,4024,Wetland Class Overall: III Wetland Class on Construction Right-of-Way: III 2008 Health: Healthy with Problems (65%).,"Health: Unhealthy (25%).  Weeds: Canada thistle, perennial sow-thistle. Bare ground on construction right-of-way. Landowner has cultivated portion of construction right-of-way.","Health: Unhealthy (45%). Weeds: Annual sow-thistle, Canada thistle, lamb’s-quarters, shepherd’s purse, kochia and white cockle. Riparian area partially cultivated. Disturbance and weedy species observed along construction right-of-way. Bare ground and pooling water on construction right-of-way.",Land access not permitted during August 2012 field program.,Wetland was determined with a higher health ranking than the previous assessment.,--,Resolved,None.,,WPM,
68,NW 14-9-28,963.6,4026,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence (10 m x 2 m x 0.15 m) observed on construction right-of-way.,Subsidence repaired in 2010.,Unresolved,"Repair subsidence, if warranted, and monitor in 2014.",,WPM,
68,NW 14-9-28,963.4 to 963.6,4026,Vegetation - Weeds,--,--,Low densities of Canada thistle observed on construction right-of-way. Moderate densities of curled dock and kochia observed on construction right-of-way. High densities of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
68,NE 14-9-28,964.5 to 964.65,4026.01,Vegetation - Weeds,"High density of false ragweed, lamb’s-quarters, Canada thistle, common pepper-grass and perennial sow-thistle on construction right-of-way.","High density of false ragweed, lamb’s-quarters, Canada thistle, wild oats and perennial sow-thistle on construction right-of-way.",High densities of perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
68,NW 13-9-28,964.7 to 965.5,4027 4027.01,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,Minor to moderate compaction causing reduced crop density observed on construction right-of-way.,Land access not granted at time of survey. Communication with EI indicated that landowner has no concerns.,Land decompacted in 2012.,Resolved,None.,,WPM,
68,NE 13-9-28,965.5 to 966.3,4027.01,Soils - Compaction,--,Compaction testing by Mentiga Pedology Consultants Ltd.,Moderate to severe compaction causing reduced crop density observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey. Communication with EI indicated that landowner has no concerns.,Land decompacted in 2012.,Resolved,None.,,WPM,
69,SE 15-9-27,972.3,4033.1,Vegetation – Establishment  Unnamed Drainage,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Grasses well-established. No vegetation issues observed.,Reseeded west side of drainage summer 2011. Reseeded west side of drainage August 2012.,Resolved,None.,,WPM,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,Much of this area is a permanent wetland. No vegetation establishment issues observed.,--,Resolved,None.,,WPM,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Weeds,"Moderate density of foxtail barley, green foxtail, Canada fleabane and barnyard grass observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,Much of this area is a permanent wetland. Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
70,NW 4-9-25,989.8 to 990.6,4053,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Unable to assess due to wet conditions during ground reconnaissance.,This area is a permanent wetland. No subsidence observed.,--,Resolved,None.,,WPM,
70,NE 4-9-25,990.6 to 991.4,4054,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Unable to assess due to wet conditions during ground reconnaissance.,This area is a permanent wetland. No subsidence observed.,--,Resolved,None.,,WPM,
70,NE 2-9-25,993.8 to 994.5,4057,Vegetation - Weeds,"Moderate density of common knotweed, flixweed, false ragweed, spear-leaved goosefoot, foxtail barley and green foxtail observed on construction right-of-way during ground reconnaissance.","Moderate density of pineappleweed, sweet clover, Canada thistle, foxtail barley and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.","Moderate densities of white sweet clover, nodding thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.",There are no weeds issues observed in this quarter-section.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
71,SW 32-8-23,1008.4 to 1009.2,4073,Vegetation – Establishment,--,--,--,No vegetation establishment issues observed on construction right-of-way. Vegetation well-established.,Reseeded in June 2012.,Resolved,None.,,WPM,
71,SE 32-8-23,1009.15 to 1010.0,4074,Vegetation – Establishment,--,--,--,Bare areas now vegetated. No vegetation establishment issues observed on construction right-of-way.,Reseeded in June 2012.,Resolved,None.,,WPM,
71,SE 32-8-23,1009.15 to 1010.0,4074,Vegetation - Weeds,--,--,--,The landowner has a concern with leafy spurge in this area. Landowner had just sprayed leafy spurge.,2013: Landowner controlling weeds on right-of-way by chemical application.,Unresolved,Monitor in 2014.,,WPM,
71,SW 33-8-23,1010.0 to 1010.71,4075,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,"Large patches of bare ground exist in this quarter-section with sparse vegetation. Generally, areas of low relief have increased vegetation establishment success. Hill slopes and other areas observed with bare ground, consistently have less topsoil.",Reseeded fall 2011 and June 2012.,Unresolved,Issue being managed as per Oak Lake Sandhills Management Plan (Appendix F).,,WPM,
71,SE 33-8-23,1010.71 to 1011.59,4075.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,"Large patches of bare ground exist in this quarter-section with sparse vegetation. Grasses are generally establishing well, but more time may be required to increase density.",Reseeded fall 2011 and June 2012.,Unresolved,Issue being managed as per Oak Lake Sandhills Management Plan (Appendix F).,,WPM,
71,SE 33-8-23,1010.71 to 1011.59,4075.01,Vegetation - Weeds,--,--,--,Low density of leafy spurge observed on construction right-of-way.,2013: Landowner controlling weeds on right-of-way by chemical application.,Unresolved,Issue being managed as per Oak Lake Sandhills Management Plan (Appendix F).,,WPM,
71,NE 28-8-23,1011.5,Crown,Vegetation - Weeds,--,--,Noxious weed leafy spurge poses a potential threat to a rare plant population both on and off the right-of-way.,No weed issues observed on construction right-of-way.,--,Resolved,None.,,WPM,
72,NW 27-8-23,1011.5 to 1012.4,4076,Vegetation – Establishment,--,--,--,Bare ground areas now vegetated. No vegetation establishment issues observed on construction right-of-way.,--,Resolved,None.,,WPM,
72,NE 22-8-22,1022.56 to 1022.67,4090,Vegetation - Weeds,"Moderate density of false ragweed, lamb’s-quarters, field dock, flixweed and foxtail barley on construction right-of-way observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,A high density of Canada thistle and a moderate density of perennial sow-thistle and leafy spurge observed on the construction right-of-way.,Weeds sprayed in August 2012.,Unresolved,Control weeds and monitor in 2014.,,WPM,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,Poor drainage observed on construction right-of-way. Cattails have established due to perennial wetness.,Drainage issue has been repaired to landowner’s satisfaction (as per EI). No drainage issues observed. Entire area was bare ground at time of survey (not likely seeded). Vegetation establishment should be monitored in 2014.,Drainage repaired fall 2011. Landowner disced cattails in August 2012. Reseeded in August 2012.,Resolved,Monitor vegetation establishment in 2014.,,WPM,
