Legal Location,1st Year Issue/Condition,1st Year (2016) Issue(s),2nd Year (2017) PCRM Assessment and Work Completed,3rd Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Wetland (treed bog) Noxious Weed (low) 18+950 to 19+050,- wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. - pre-construction contours recreated - appropriate wetland species were beginning to establish - no excessive ponded water or impeded flow due to the construction ROW - three scentless chamomile (Tripleurospermum inodorum) individuals were picked and disposed of properly,"June 19, 2017 - Treed Fen at KP 18+950 – 19+050 appears stable and on the trajectory of reaching preconstruction function.  - Fen is on ROW is the northern extent of wetland, paralleling road, and as you move south, elevation slightly decreases, causing higher depths of peat and organic matter. - Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes and willows with trench crown exhibiting 65-80% cover. - No noxious weeds were observed in wetland. 2016 noxious weed issue resolved. - Trench crown present through wetland and functioning well. Trench breaks allowing for through flow of water. - Saturated soils and intermittent surface water indicate hydrology is maintained. - Substrate is stable as good growth of rushes is evident. - No subsidence or erosion issues evident in wetland.","July 11, 2018 - Treed Fen at KP 18+950 – 19+050 appears to be at pre-construction, baseline conditions with no net loss of wetland function observed. Wetland traversing the pipeline ROW is at the northeastern edge of the wetland boundary, as the elevation increases to the northeast, and transitions to a low-elevation wetland to the southwest. - Vegetation establishment through wetland has increased to 80-100% (previously assessed at 65-80% on the roach) cover compared to off ROW control. Vegetation within fen consisting predominantly of scouring rushes, willows, common cattail, common great bulrush and sphagnum mosses with some clover presence on the ditch roach. Excellent establishment of hydrophytic vegetation throughout wetland. - The understory vegetation off ROW is comparable to the high density of scouring rushes present on the ROW, with the canopy dominated by black spruce.  - Sporadic low-density meadow hawkweed, Canada thistle and perennial sow thistle present on elevated ditch roach through wetland. Weeds will be controlled later this 2018 PCRM season. - Trench crown present through wetland; sufficient cross drains present in ditch roach for hydrology to be maintained across the ROW. - Substrate throughout wetland appears healthy through uniform vegetation growth and hydrology throughout. Humification occurring throughout wetland with a high organic content in the topsoil layer increasing to the southwest. Test samples were taken on and off ROW and the peat depth slightly increases to the southwest. No mottling occurring on or off ROW. - The substrate throughout wetland exhibiting semi-saturated conditions with the water table at the ground surface causing intermittent standing water throughout (depth of 10cm); conditions are comparable to off ROW.  - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags (mulch). Bird and amphibian species were observed within wetland. - Wetland has achieved pre-construction contour; no ponding or erosion issues were identified within wetland. Vegetative biodiversity on ROW resembling off ROW; black spruce will emerge onto ROW over time through natural succession.",,,
NW 32-062-06 W6,Moderate to High Issues with Plant Growth (moderate) 19+840 to 20+650,- intermittent decreased percent cover of vegetation was noted throughout the quarter section,"June 20, 2017 - Vegetation establishment throughout tract is 65-80% comparable to off ROW with some bare areas exhibiting 50-65% vegetation cover. Good establishment of grasses, willows and broadleaf shrubs. - Trench crown present throughout tract is stable and cross drains functioning well. - KP 19+900 – Meadow hawkweed picked, bagged and disposed of. - KP 20+030 – Large patch of meadow hawkweed observed, recommend herbicide application. July 14, 2017 –KP 19+900 and 20+030 – Intermittent herbicide application conducted to control meadow hawkweed. September 15, 2017 - No noxious weeds observed in ¼, meadow hawkweed issue resolved.","June 30, 2018 - Vegetation cover in the ¼ remains at 65-80% in the ¼ compared to off ROW control. Previous low vegetation cover issues resolved. Grasses establishing well along with broadleaf shrubs including raspberry and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - Cross drains effective, no ponding observed. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, bull thistle (KP 19+875) and scentless chamomile (KP 20+600). August 22, 2018 – Meadow hawkweed (intermittently) observed, additional herbicide application recommended. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 20+600).",,,
NW 32-062-06 W6,Rig Mat 20+190,- a broken rig mat is present on the south side of the ROW - rig mat removed December 2016. Issue resolved.,"June 20, 2017 - Vegetation establishment throughout tract is 65-80% comparable to off ROW with some bare areas exhibiting 50-65% vegetation cover. Good establishment of grasses, willows and broadleaf shrubs. - Trench crown present throughout tract is stable and cross drains functioning well. - KP 19+900 – Meadow hawkweed picked, bagged and disposed of. - KP 20+030 – Large patch of meadow hawkweed observed, recommend herbicide application. July 14, 2017 –KP 19+900 and 20+030 – Intermittent herbicide application conducted to control meadow hawkweed. September 15, 2017 - No noxious weeds observed in ¼, meadow hawkweed issue resolved.","June 30, 2018 - Vegetation cover in the ¼ remains at 65-80% in the ¼ compared to off ROW control. Previous low vegetation cover issues resolved. Grasses establishing well along with broadleaf shrubs including raspberry and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - Cross drains effective, no ponding observed. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, bull thistle (KP 19+875) and scentless chamomile (KP 20+600). August 22, 2018 – Meadow hawkweed (intermittently) observed, additional herbicide application recommended. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 20+600).",,,
NW 32-062-06 W6,MWetland (treed bog) oderate to High Issues with Plant Growth (high) 20+400,- wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. - pre-construction contours recreated - appropriate wetland species were beginning to establish; however low covers of desirable vegetation was observed on the ROW and in the TWS - no excessive ponded water or impeded flow due to the construction ROW,"June 20, 2017 - Treed Bog at KP 20+400 – 20+450 appears stable and on the trajectory of reaching preconstruction function.  - Vegetation cover is 65-80% comparable to off ROW with good establishment of grasses and moss. Reduced vegetation cover (50-65%) observed on work side where mulch density is high. Vegetation is establishing in area. - Trench crown present through wetland and functioning well. Cross drains allowing for through flow of water allowing for hydrology to be maintained. - Rollback present on work side for entirety of wetland (KP 20+400 – 20+450). Rollback is functioning well as both access control through wetland and erosion control. - No significant ponding issues were observed on ROW. - Substrate is stable with good depth of peat; some areas exhibiting greater depth of peat than others. - No subsidence or erosion issues evident in wetland","July 12, 2018 - Treed Bog on ROW from KP 20+400 – 20+450 appears to be nearing pre-construction, baseline conditions in terms of overall vegetation cover. - Vegetation establishment throughout wetland remains as previously assessed at 65-80% cover compared to off ROW control. Reduced cover through work side of ROW in high-density mulch area continues to establish and further emerge, mainly consisting of mosses and scouring rushes. The high density of mulch is the underlying reason for slower vegetation establishment with no signs of substrate issues. Vegetation will continue to fill in over time. Vegetation throughout wetland consisting of graminoids (sedges), common cattail, common great bulrush, willows, aster, clover, scouring rush and sphagnum mosses. - Trench crown present through wetland; sufficient cross drains present along ditch roach for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate throughout wetland appears healthy through uniform vegetation growth and maintained hydrology. Humification occurring throughout wetland with a very high organic content in the topsoil layer comparing with off ROW conditions. Test samples were taken on and off ROW and peat depth was observed to be similar. - The substrate throughout wetland exhibited semi-saturated conditions with the water table near the ground surface; conditions are comparable to off ROW. Gleying identified within substrate on and off ROW. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags (mulch). Several bird and amphibian species were observed within wetland. - Wetland has achieved pre-construction contours; no ponding or erosion issues were identified within wetland. Vegetative biodiversity on ROW resembling off ROW with black spruce and Labrador tea will emerge onto ROW over time through natural succession.",,,
NE 32-062-06 W6,Rollback 21+100 to 21+270,,,"June 30, 2018 – Rollback present from KP 21+100 to 21+270 remains unchanged and functioning as intended. No evidence of 3rd party use was observed.",,,
NE 32-062-06 W6,Intermittent Rollback 20+650 to 21+500,,"June 20, 2017 - Rollback present in tract from KP 20+650 – 20+850 and from 21+150 -21+500. - Rollback on either side of road crossing at 21+200 functioning well as no 3rd party use was observed. Parallel lines allowing for access alongside ROW.","June 30, 2018 - Intermittent rollback between KP 20+650 to 21+500 remains unchanged and functioning as intended. No evidence of 3rd party use was observed.",,,
NE 32-062-06 W6,Moderate to High Issues with Plant Growth (high) 20+650 to 21+500,- decreased percent cover of vegetation was noted throughout the quarter section except surrounding watercourse 7,"June 20, 2017 - Vegetation establishment throughout tract is 65-80% comparable to off ROW. Good establishment of grasses, willows and broadleaf shrubs. 2016 vegetation cover issue resolved. - Trench crown present throughout tract is stable and cross drains functioning well. - No noxious weeds observed in tract. - No subsidence or erosion issues observed in tract. July 14, 2017 – Individual meadow hawkweed plants observed, picked, bagged and disposed of. September 14, 2017 – Herbicide application conducted to control scentless chamomile (KP 20+915) and perennial sow thistle (KP 20+930). Meadow hawkweed is no longer present, issue resolved.","June 30, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Vegetation consists of mainly grasses and sedges, as well as clover, willow, avens, yarrow, and bluebell  - Meadow hawkweed (intermittently) observed, recommend herbicide application. - No subsidence or additional erosion was identified in this ¼. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, marsh thistle (KP 21+300), and oxeye daisy (KP 21+390). August 22, 2018 – No noxious weeds observed. Sept 6, 2018 – Intermittent herbicide application conducted to control a few sporadic meadow hawkweed.",,,
NE 32-062-06 W6,Watercourse (WC 7) unnamed tributary to Rat Creek 21+405,"- no terrain instability (e.g., subsidence, erosion etc.) observed. - good first-year vegetation establishment was observed for this watercourse crossing; however, moderate vegetation cover was observed upslope of the silt fencing - riprap was present on the ROW in the watercourse channel","June 20, 2017 - WC7 at KP 21+405 appears stable.  - Banks are vegetating well (80-100%) with good establishment of grasses and willows. 2016 moderate vegetation cover issue resolved. Silt fence is no longer required, recommend removal. - Crib walls are stable and functioning well. - Bed is stable with good distribution and amount of cobble. Moderate flow observed in watercourse. September 12, 2017 – Silt fence removed, issue resolved.","June 30, 2018 - Watercourse banks are well vegetated and is at 80-100% cover compared to off ROW control. - Coir wraps and revetment post are stable and in good. There is some willow growth in soil wraps with a moderate mortality rate. - Currently there is minimal flow in creek and cobbled channel does not appear to impede flow. - Marker posts and warning signs are in place and in good condition.",,,
<s>NW 33-062-06 W6</s>,Moderate to High Issues with Plant Growth (high) 21+500 to 22+310,- decreased percent cover of vegetation was noted throughout the quarter section,"June 20, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW with some bare areas exhibiting 65-80% cover. Good establishment of grasses and broadleaf shrubs. 2016 vegetation cover issue resolved. - KP 21+820 – Tall buttercup observed – Picked, bagged, and disposed of. - KP 21+800 – Erosion observed, recommend repairs. - Seasonal drainage at KP 22+050 is stable with 80-100% vegetation cover, silt fence is no longer required, recommend removal. July 14, 2017 - KP 21+810 – Tall buttercup – picked bagged and disposed of. September 14, 2017 – Herbicide application conducted to control perennial sow thistle (KP 21+180) and Canada thistle (KP 22+000). Tall buttercup (KP 21+820 and 21+810) are no longer present, issue resolved. September 12, 2017 – KP 21+800 – Erosion and silt fencing repaired, issues resolved. KP 22+050 – Silt fence removed, issue resolved.","June 30, 2018 - Vegetation cover in the ¼ remains at 80-100% in the ¼ compared to off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed observed (intermittently), recommend herbicide application. - KP 21+800 – Silt fence requires repairs. Recommend redistribution of cobble within drainage. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 22+100). August 22, 2018 – KP 21+990 - Perennial sow thistle observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control Canada thistle (KP 21+750) and perennial sow thistle (KP 21+990). Oct 4, 2018 – KP 21+800 – Silt fence repaired and cobble redistributed, issues resolved.",,,
<s>NW 33-062-06 W6</s>,Rare Plant 21+800,"- fox sedge (Carex vulpinoidea: S3) individuals were located, E: 380270, N: 6031074 - Issue resolved.","June 20, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW with some bare areas exhibiting 65-80% cover. Good establishment of grasses and broadleaf shrubs. 2016 vegetation cover issue resolved. - KP 21+820 – Tall buttercup observed – Picked, bagged, and disposed of. - KP 21+800 – Erosion observed, recommend repairs. - Seasonal drainage at KP 22+050 is stable with 80-100% vegetation cover, silt fence is no longer required, recommend removal. July 14, 2017 - KP 21+810 – Tall buttercup – picked bagged and disposed of. September 14, 2017 – Herbicide application conducted to control perennial sow thistle (KP 21+180) and Canada thistle (KP 22+000). Tall buttercup (KP 21+820 and 21+810) are no longer present, issue resolved. September 12, 2017 – KP 21+800 – Erosion and silt fencing repaired, issues resolved. KP 22+050 – Silt fence removed, issue resolved.","June 30, 2018 - Vegetation cover in the ¼ remains at 80-100% in the ¼ compared to off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed observed (intermittently), recommend herbicide application. - KP 21+800 – Silt fence requires repairs. Recommend redistribution of cobble within drainage. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 22+100). August 22, 2018 – KP 21+990 - Perennial sow thistle observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control Canada thistle (KP 21+750) and perennial sow thistle (KP 21+990). Oct 4, 2018 – KP 21+800 – Silt fence repaired and cobble redistributed, issues resolved.",,,
<s>NW 33-062-06 W6</s>,Western Toad Breeding Pond 21+800,- the western toad breeding pond was maintained - Issue resolved.,"June 20, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW with some bare areas exhibiting 65-80% cover. Good establishment of grasses and broadleaf shrubs. 2016 vegetation cover issue resolved. - KP 21+820 – Tall buttercup observed – Picked, bagged, and disposed of. - KP 21+800 – Erosion observed, recommend repairs. - Seasonal drainage at KP 22+050 is stable with 80-100% vegetation cover, silt fence is no longer required, recommend removal. July 14, 2017 - KP 21+810 – Tall buttercup – picked bagged and disposed of. September 14, 2017 – Herbicide application conducted to control perennial sow thistle (KP 21+180) and Canada thistle (KP 22+000). Tall buttercup (KP 21+820 and 21+810) are no longer present, issue resolved. September 12, 2017 – KP 21+800 – Erosion and silt fencing repaired, issues resolved. KP 22+050 – Silt fence removed, issue resolved.","June 30, 2018 - Vegetation cover in the ¼ remains at 80-100% in the ¼ compared to off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed observed (intermittently), recommend herbicide application. - KP 21+800 – Silt fence requires repairs. Recommend redistribution of cobble within drainage. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 22+100). August 22, 2018 – KP 21+990 - Perennial sow thistle observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control Canada thistle (KP 21+750) and perennial sow thistle (KP 21+990). Oct 4, 2018 – KP 21+800 – Silt fence repaired and cobble redistributed, issues resolved.",,,
<s>NW 33-062-06 W6</s>,Rare Plant 21+800,"- Macloskeyi’s violet (Viola pallens; S3) individuals were located, E: 380270, N: 6031074 - Issue resolved.","June 20, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW with some bare areas exhibiting 65-80% cover. Good establishment of grasses and broadleaf shrubs. 2016 vegetation cover issue resolved. - KP 21+820 – Tall buttercup observed – Picked, bagged, and disposed of. - KP 21+800 – Erosion observed, recommend repairs. - Seasonal drainage at KP 22+050 is stable with 80-100% vegetation cover, silt fence is no longer required, recommend removal. July 14, 2017 - KP 21+810 – Tall buttercup – picked bagged and disposed of. September 14, 2017 – Herbicide application conducted to control perennial sow thistle (KP 21+180) and Canada thistle (KP 22+000). Tall buttercup (KP 21+820 and 21+810) are no longer present, issue resolved. September 12, 2017 – KP 21+800 – Erosion and silt fencing repaired, issues resolved. KP 22+050 – Silt fence removed, issue resolved.","June 30, 2018 - Vegetation cover in the ¼ remains at 80-100% in the ¼ compared to off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed observed (intermittently), recommend herbicide application. - KP 21+800 – Silt fence requires repairs. Recommend redistribution of cobble within drainage. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 22+100). August 22, 2018 – KP 21+990 - Perennial sow thistle observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control Canada thistle (KP 21+750) and perennial sow thistle (KP 21+990). Oct 4, 2018 – KP 21+800 – Silt fence repaired and cobble redistributed, issues resolved.",,,
<s>NW 33-062-06 W6</s>,Rare Plant 21+920,"- cat-tongue liverwort (formerly snake skin liverwort) (Conocephalum salebrosum; S2S4) individuals were located, E: 380387, N: 6031027 - Issue resolved.","June 20, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW with some bare areas exhibiting 65-80% cover. Good establishment of grasses and broadleaf shrubs. 2016 vegetation cover issue resolved. - KP 21+820 – Tall buttercup observed – Picked, bagged, and disposed of. - KP 21+800 – Erosion observed, recommend repairs. - Seasonal drainage at KP 22+050 is stable with 80-100% vegetation cover, silt fence is no longer required, recommend removal. July 14, 2017 - KP 21+810 – Tall buttercup – picked bagged and disposed of. September 14, 2017 – Herbicide application conducted to control perennial sow thistle (KP 21+180) and Canada thistle (KP 22+000). Tall buttercup (KP 21+820 and 21+810) are no longer present, issue resolved. September 12, 2017 – KP 21+800 – Erosion and silt fencing repaired, issues resolved. KP 22+050 – Silt fence removed, issue resolved.","June 30, 2018 - Vegetation cover in the ¼ remains at 80-100% in the ¼ compared to off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed observed (intermittently), recommend herbicide application. - KP 21+800 – Silt fence requires repairs. Recommend redistribution of cobble within drainage. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 22+100). August 22, 2018 – KP 21+990 - Perennial sow thistle observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control Canada thistle (KP 21+750) and perennial sow thistle (KP 21+990). Oct 4, 2018 – KP 21+800 – Silt fence repaired and cobble redistributed, issues resolved.",,,
,Watercourse (WC 8) Unnamed tributary to Rat Creek 21+920,"- no terrain instability (e.g., subsidence, erosion etc.) observed directly associated with the watercourse. - good first-year vegetation establishment was observed for this watercourse crossing; however, moderate vegetation cover was observed upslope of the silt fencing - riprap was present on the ROW in the watercourse channel","June 20, 2017 - WC8 at KP 21+920 appears stable. - Banks are vegetating well (65-80%) with good establishment of grasses and willows. 2016 moderate vegetation issue resolved. Silt fencing is no longer required, recommend removal. September 12, 2017 Removed Silt Fence, issue resolved. - Crib walls are stable and functioning well. Dekawe material has successfully prevented slumping of banks and providing substrate for vegetation growth. - Bed is stable with good distribution and amount of cobble. Moderate flow observed in watercourse.","June 30, 2018 - Watercourse banks are well vegetated and is at 65-80% cover compared to off ROW control. - Coir wraps and revetment post are stable and in good condition. - Currently there is no flow in creek and cobbled channel has prevented any erosion across disturbed area. - Marker posts and warning signs are in place and in good condition.",,,
,Rare Plant 21+920,"- Macloskeyi’s violet (Viola pallens; S3) individuals were located, E: 380387, N: 6031027 - Issue resolved.","June 20, 2017 - WC8 at KP 21+920 appears stable. - Banks are vegetating well (65-80%) with good establishment of grasses and willows. 2016 moderate vegetation issue resolved. Silt fencing is no longer required, recommend removal. September 12, 2017 Removed Silt Fence, issue resolved. - Crib walls are stable and functioning well. Dekawe material has successfully prevented slumping of banks and providing substrate for vegetation growth. - Bed is stable with good distribution and amount of cobble. Moderate flow observed in watercourse.","June 30, 2018 - Watercourse banks are well vegetated and is at 65-80% cover compared to off ROW control. - Coir wraps and revetment post are stable and in good condition. - Currently there is no flow in creek and cobbled channel has prevented any erosion across disturbed area. - Marker posts and warning signs are in place and in good condition.",,,
NE 33-062-06,Intermittent Rollback 22+310 to 23+135,,"June 20, 2017 - Roll back for access control. Roll back is effective restricting access along ROW, but paralleling lines are without roll back allowing for access adjacent. No third-party impacts were identified.","July 1, 2018 - Intermittent rollback, KP 22+310 to 23+135, remains unchanged and serving its purpose. No evidence of 3rd party use was observed.",,,
NE 33-062-06,Moderate to High Issues with Plant Growth (moderate) 22+310 to 23+135,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 20, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. - KP 22+670 drainage crossing functioning well. Banks are stable and well vegetated. Recommend removing silt fence. July 14, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 10 and 12, 2017 – KP 22+500 and 22+670 – Silt fencing removed from drainages, issue resolved. September 14, 2017 – KP 22+920 and 22+980 – Herbicide application conducted to control perennial sow thistle. Meadow hawkweed was no longer present, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control which is within 3rd year growth expectations. Vegetation consists of grasses, clover, willows, aspen, avens, yellow rattle, Indian paintbrush and sedges. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - KP 22+590 and 22+670 - Drainage crossings are functional and is well vegetated and stable. Coir wraps are intact and vegetated as well. - No erosion or subsidence was observed in ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and oxeye daisy (KP 22+400 and 23+100). August 23, 2018 – Meadow hawkweed (intermittently) observed, additional herbicide application recommended. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 22+600).",,,
NE 33-062-06,Wetland (treed swamp) 22+500 to 22+600,- the wetland had good vegetation establishment; the wetland was identified pre-construction as a treed fen - wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. - pre-construction contours recreated - appropriate wetland species were beginning to establish; however very low covers of desirable vegetation was observed on the ROW and in the TWS - no excessive ponded water or impeded flow due to the construction ROW,"June 20, 2017 - Treed swamp on ROW from KP 22+500 – 22+600 appears stable and on the trajectory of reaching preconstruction function. - Vegetation cover in swamp is 65-80% comparable to off ROW control with establishing grasses and rushes. - Trench crown is stable throughout wetland and cross drains in trench crown are functioning well and allowing for hydrology to be maintained. - No significant ponding issues were observed in swamp. - Substrate is stable with good organic composition and moisture for vegetation growth. - No subsidence or erosion issues observed in wetland.","July 12, 2018 - Treed Swamp on ROW from KP 22+500 – 22+600 appears to be at pre-construction, baseline conditions with no net loss of wetland function observed.  - Vegetation establishment throughout wetland has increased to 80-100% (previously assessed at 65-80%) cover compared to off ROW control; mulch / snag cover on ground surface resulting in an overall ‘visually’ reduced vegetative cover both on and off ROW but moss density is high across the understory floor. Vegetation throughout wetland consisting of graminoids (sedges), sphagnum mosses, common cattail, common great bulrush, pondweed and clover. Good establishment of hydrophytic species throughout wetland.  - Sporadic low-density meadow hawkweed present through wetland. Weeds controlled throughout 2018. - Trench crown present through wetland; sufficient cross drains present along ditch roach for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were identified. - Substrate throughout wetland appears healthy through uniform vegetation growth and maintained hydrology. Humification occurring throughout wetland with a very high organic content in the topsoil layer comparing with off ROW conditions. Test samples were taken on and off ROW and substrate was observed to be similar with organics exceeding 0.3m in depth. - The substrate throughout wetland is exhibiting fully-saturated conditions with the water table at the ground surface; intermittent standing water throughout on and off ROW (depth 10-20cm). Gleying was identified within substrate on and off ROW. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags (mulch). Intermittent pouches of standing water providing good microsites for amphibians. Several bird and amphibian species were observed within wetland. - Wetland has achieved pre-construction contours; no ponding or erosion issues were identified within wetland. Vegetative biodiversity on ROW resembling off ROW; coniferous species will emerge onto ROW over time through natural succession.",,,
NW 34-062-06 W6,Intermittent Rollback 23+135 to 23+700,,"June 20, 2017 - Roll back for access control. Roll back is effective restricting access along ROW, but parallel foreign lines are without roll back allowing for access adjacent. No third-party impacts were identified on ROW.","July 1, 2018 - Roll back for access control. Roll back is effective restricting access along ROW, but parallel foreign lines are without roll back allowing for access adjacent. No third-party impacts were identified on ROW.",,,
NW 34-062-06 W6,Moderate to High Issues with Plant Growth (high) 23+135 to 23+960,- decreased percent cover of vegetation was noted throughout the quarter section,"June 20, 2017 - Vegetation cover on the ROW is 65 – 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. - KP 23+250 ponding on work side, recommend repairs. - KP 23+300 - Canada thistle observed, recommend herbicide application. - KP 23+550 marker posts fallen over. Recommend repairs. - KP 23+800 - Recommend removing silt fence, vegetation is providing adequate sediment control. July 14, 2017 – KP 23+200 – Scentless chamomile, picked, bagged, and disposed of. - Intermittent herbicide application conducted to control meadow hawkweed and Canada thistle. September 14, 2017 – KP 23+560 to 23+640 and 23+815 – Intermittent herbicide application conducted to control perennial sow thistle. Meadow hawkweed and scentless chamomile are no longer present, issues resolved. September 10, 2017 – KP 23+480, 23+500, and 23+610 – Marker and sign posts repaired, issues resolved. - KP 23+250 – Ponding repaired, issue resolved. - KP 23+800 – Silt fence removed, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Various Grasses establishing well along with broadleaf shrubs including raspberry, yarrow, Indian paintbrush, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. Oxeye daisy (KP 23+870) individual was picked, bagged and disposed of. - Diversion berms and cross drains in ¼ are functioning well, appear stable and vegetating. - KP 23+470 – Pipeline markers/posts require repairs. - No erosion or subsidence was observed in ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, oxeye daisy (KP 23+900) and marsh thistle (KP 23+900). August 23, 2018 – Meadow hawkweed (intermittently), Canada thistle (KP 23+185) and perennial sow thistle (KP 23+620 to 23+690, 23+790, and 23+820 to 23+870) observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, Canada thistle (KP 23+185), and perennial sow thistle (KP 23+620 to 23+690, 23+790, and 23+820 to 23+870). Oct 4, 2018 – KP 23+470 – Marker/post repaired, issue resolved.",,,
