Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 22-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is moderately (50 – 80 % vegetation cover compared to off right-of-way) to well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - KP 25+210 – Perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. - KP 25+220 – Sign and marker posts require repairs. July 14, 2016 – KP 25+210 - Herbicide application completed to control perennial sow thistle. Sept 14, 2016 - KP 25+220 – Sign post and marker posts repaired, issue resolved.","July 1, 2017 - Rollback present at access road. ATV’s utilizing parallel RoW for access, rollback is ineffective. July 14, 2017 - Vegetation cover on the RoW is 80- 100% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. - KP 25+100 log pile functioning well as a line of sight barrier.  - KP 25+130 to 25+150 - Ponding was identified with lower density vegetation cover. Recommend monitoring later in growing season.  - Straightened sign posts throughout tract.  - KP 25+600 – Canada thistle observed, recommend weed control. July 25, 2017 – KP 25+600 – Herbicide application conducted to control Canada thistle, issue resolved. October 2, 2017 - KP 24+900 and 25+160 – Herbicide application conducted to control perennial sow thistle, issue resolved. - KP 25+130 to 25+150 – Ponding water no longer present and vegetation has infilled, issue resolved.","July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation predominantly birds-foot trefoil and vetch. Other vegetation consists of various grasses, willows, aspens, yarrow, alders and raspberries  - Planted lodgepole pine continues to establish well throughout tract. - KP 24+900 - Canada thistle observed, recommend herbicide application. - KP 25+100 log pile functioning well as a line of sight barrier.  - Rollback KP 25+150 has excellent vegetation establishment throughout.  - Cross-drains and diversion berms appear to be functioning well with no evidence of ponding. - No subsidence was identified within 1/4. July 28, 2018 – Herbicide application conducted to control Canada thistle (KP 24+900).",,,
NE 21-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is moderately (50 – 80 % vegetation cover compared to off right-of-way) to well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - KP 26+330 – Scentless chamomile (Low; 0 – 10 % cover), mature plants picked/bagged and disposed of, recommend additional control measures for emergent plants. - KP 26+500 – Perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. - Adequate cross drains present and functional – no ponding present. July 14, 2016 – KP 26+330 and 26+500 - Herbicide application completed to control scentless chamomile and perennial sow thistle (Low; 0 – 10 % cover).","July 14, 2017 - Vegetation cover on the RoW is 80- 100% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - KP 26+160 - Tall Buttercup (1 plant) picked, bagged, and disposed of. Issue resolved. October 2, 2017 – Herbicide application conducted to control Canada thistle (KP 25+740) and scentless chamomile (KP 26+325). Issue resolved. ROW and workspaces were swept for noxious weeds.","July 24, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, white birch and pine found throughout RoW. Trees up to 1-3m tall. - Planted lodgepole pine continues to establish well throughout tract.  - No Noxious weeds identified. - Rollback appears to be functioning. - Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NE 21-96-7 W6,Unnamed tributary to Chinchaga River (KP 26+400) Moderate/High Vegetation Establishment,Moderate to high vegetation establishment was observed on the banks and approach slopes of the watercourse.,"July 13, 2016 - Slopes and diversion berms within this tract are well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) and stable - Signs and marker posts on both sides require repairs. - Sediment fence remains along both sides of WC, recommend removal. – Bed and bank remain stable, coir lifts stable with sedimentation filling in. Emerging willows observed from areas between coir lifts. Willow and alder staking has been completed on both sides of the watercourse crossing. Good cobble substrate within the bed of the watercourse is mitigating sedimentation / erosion within the crossing location. The watercourse crossing reclamation was found to be consistent with the reclamation plan. Sept 15, 2016 - sediment fence was removed from both sides of the watercourse. Pipeline signs and marker posts were stabilized on both sides of the watercourse. Issues resolved.","July 14, 2017 - Watercourse KP 26+400, unnamed tributary to Chinchaga River.  - Good cobble, banks are stable and vegetating well. - Moderate flow observed, crib posts are functioning well, with willows establishing.","July 24, 2018 - Banks are fully vegetated and stable. - Good natural recovery along banks of trib. Trees 3-5m tall w/n snow fill areas. 2-4 m tall along banks on ditch line West side. - Water level is low with minimal flow.",,,
NW 21-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is moderately (50 – 80 % vegetation cover compared to off right-of-way) to well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - Adequate cross drains present and functional – no ponding present.","July 1, 2017 - Rollback present and effective. Good vegetation surrounding rollback. July 14, 2017 – Vegetation cover on the RoW is 80- 100% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - KP 26+880 - Perennial sow thistle observed, recommend weed control. July 25, 2017 – KP 26+880 to 27+300 – Intermittent herbicide application conducted to control perennial sow thistle, issue resolved. October 2, 2017 – KP 27+185 – Herbicide application conducted to control Canada thistle, issue resolved.","July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, aspens, pine, alders, raspberry, yarrow, aster and birds-foot trefoil. - Planted lodgepole pine continues to establish well throughout tract. - No noxious weeds were identified in ¼. - Rollback present and effective. Good vegetation surrounding rollback. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
NE 20-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is moderately (50 – 80 % vegetation cover compared to off right-of-way) to well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - KP 28+100 – Perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. - KP 27+950 – Line of sight barrier across right of way and functional. - KP 28+190 – mounding present within the west end of this tract – effectively controlling access. - Planted pine trees identified throughout the workside of right of way. July 14, 2016 – KP 28+100 - Herbicide application completed to control perennial sow thistle.","July 1, 2017 – Rollback and mounding present and effective access control. July 14, 2017 - Vegetation cover on the RoW is 80- 100% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, raspberry and aspens are also establishing. - No erosion or subsidence of tract.  - No noxious weeds identified.  - Log pile functioning well as a line of sight barrier.  July 25, 2017 – KP 27+650 to 28+300 – Intermittent herbicide application conducted to control perennial sow thistle, issue resolved. October 2, 2017 - No noxious weeds were observed.","July 24, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout RoW. Trees up to 1-3m tall. - KP 28+050 - Vegetation heights are providing a functional line of sight break. - Planted lodgepole pine continues to establish well throughout tract.  - No Noxious weeds identified. - Rollback present and effective. Good vegetation surrounding rollback. - Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NW 20-96-7 W6,Treed Fen (KP 28+300 to 29+070),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"July 14, 2017 - Treed Fen on RoW from KP 28+300 to 29+070 appears to be at full functionality. Mounding present for entirety of wetland acting as microsite habitats; not affecting overall wetland function. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids, broadleaf shrubs, willows and aspen. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland.  - Wetland transitions to saturated conditions at KP 28+850 from semi-saturated conditions with higher organic material.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; high bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off RoW Black Spruce to emerge onto RoW through time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed. October 2, 2017 - No noxious weeds were observed.","July 24, 2018 - Treed Fen on RoW from KP 28+300 to KP 29+070 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Mounding present throughout the entirety of wetland. Mounding appears to be effective in preventing any third-party access through wetland. - Wetland is inclusive of two distinct environmental settings, generated by varying hydrological conditions. Wetland on RoW from KP 28+300 to KP 28+850 includes drier conditions while the wetland from KP 28+850 to KP 29+070 is inclusive of saturated conditions with standing water throughout. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. - Vegetation throughout wetland on RoW from KP 28+300 to KP 28+850 is dominated by sphagnum mosses, common cattail, willows, bog cranberry, black spruce and lichens. - Vegetation throughout wetland on RoW from KP 28+850 to KP 29+070 is dominated by grasses, alder, willow, aspen, various broadleaf shrubs, alsike clover and milk vetch - No noxious weeds were identified within wetland on RoW. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics (slightly different distinctions between lower and higher-elevated areas of wetland). From KP 28+300 to KP 28+850, vegetation is slightly taller with lower organics and less peat moss accumulation. From KP 28+850 to KP 29+070, vegetation is low-lying with peat moss accumulation exceeding 0.3m in depth and a high rate of humification occurring. Mottling occurring in peat soils. - Substrate within wetland exhibiting semi-saturated conditions from KP 28+300 to KP 28+850 with the water table slightly below the surface. Substrate from KP 28+850 to KP 29+070 is fully-saturated with the water table at the ground surface; standing water pouches present intermittently throughout. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird species observed using wetland. Evidence of mammal use also present throughout wetland. Mounding present throughout entire wetland providing unique microsite habitat opportunities. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW.",,,
,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the right of way is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - Adequate cross drains present and functional – no ponding present. - KP 28+450 - Perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. - Mounding present throughout the entire tract effectively controlling access. July 14, 2016 – KP 28+450 - Herbicide application completed to control perennial sow thistle.","July 1, 2017 - Mounding present for access control is effective. Moderate plant growth 65 – 80% cover on mounding.","July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, avens, vetch, aspens, pine, alders, raspberry, strawberries and cattails.  - No noxious weeds were identified in ¼. - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 29-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the right of way is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - Adequate cross drains present and functional – no ponding present.","July 14, 2017 - Vegetation cover on the RoW is 80-100% compared to off RoW control. Good establishment of grasses, broadleaf shrubs and willows throughout tract.  - KP 29+140 - Scentless chamomile observed, recommend weed control. - Trench crown present in tract; cross drains functioning well. - No erosion or subsidence identified within tract.  July 25, 2017 – KP 29+140 – Herbicide application conducted to control scentless chamomile, issue resolved. KP 29+000 - Canada thistle handpicked, issue resolved. October 2, 2017 – KP 29+000 – Herbicide application conducted to control Canada thistle, issue resolved.","July 24, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, milk vetch, shrubs, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout RoW. Trees up to 1-3m tall throughout the RoW. - Spruce tree plots are 0.5 – 1.2m tall. - No noxious weeds were identified. - Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
SW 29-96-7 W6,Treed Bog (KP 29+200 to 29+360),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"July 14, 2017 - Treed Bog on RoW from KP 29+200 to 29+360 appears to be at full functionality. Mounding present for entirety of wetland acting as microsite habitats; not affecting overall wetland function. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and willows. - No noxious weeds were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Excellent peat depth observed on and off RoW. - Wetland has high water table exhibiting saturation just below surface substrate.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; high bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off RoW Black Spruce to emerge onto RoW through time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 24, 2018 - Treed Bog on RoW from KP 29+200 to KP 29+360 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Mounding present throughout the entirety of wetland. Mounding appears to be effective in preventing any third-party access through wetland. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Majority of vegetation growth within wetland is present on peat.  o Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), sphagnum mosses, cotton grass, Labrador tea, willows, buck crush and horsetails. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation to exceed 0.3m with mottling occurring both on and off RoW. - Substrate within wetland exhibiting semi-saturated conditions with the water table residing slightly below the ground surface. Peat is semi-saturated with conditions comparable off RoW. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird species were observed in wetland. Evidence of mammal presence also observed on RoW. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Black spruce trees will infill onto RoW over time.",,,
SE 30-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the right of way is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - KP 29+820 – Line of sight barrier across right of way and functional. - No noxious weeds were observed in this ¼.","July 1, 2017 - Log pile implemented on RoW as an effective line of sight barrier. Good vegetation growth 80 -100% compared to off RoW.  July 14, 2017 - Vegetation cover on the RoW is 80-100% compared to off RoW control. Good establishment of grasses, broadleaf shrubs and willows throughout tract.  - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well. - No erosion or subsidence identified within tract.  July 25, 2017 – KP 29+850 – Herbicide application conducted to control scentless chamomile. October 2, 2017 - No noxious weeds were observed.","July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, asters, yarrow, vetch, aspens, pine, alders, raspberry, strawberries and cattails.  - Perennial sow thistle (KP 29+700 to 29+720), Canada thistle (KP 29+600), and scentless chamomile (KP 29+555; individual handpicked). Recommend herbicide application. - Line of sight barrier at KP 29+880 remains effective. - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4. July 28, 2018 – Intermittent herbicide application conducted to control perennial sow thistle (KP 29+700 to 29+720), Canada thistle (KP 29+600).",,,
SE 30-96-7 W6,Treed Bog (KP 29+520 to 29+600),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 14, 2016 - Wetland is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way). Good establishment of wetland grasses including cotton grass, cattails, birdsfoot trefoil, willows, alders and shrubs. Good functional cross drains through wetland area.","July 14, 2017 - Treed Bog on RoW from KP 29+520 to 29+600 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and willows. - No noxious weeds were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Minimal peat depth observed on and off RoW. - Wetland has high water table exhibiting saturation slightly below surface substrate.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife. - Wetland is stable with appropriate pre-construction contours achieved. Off RoW Black Spruce to emerge onto RoW through time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 24, 2018 - Treed Bog on RoW from KP 29+520 to KP 29+600 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Majority of vegetation growth within wetland is present on peat.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), willows, horsetails, buck brush, aspen, sphagnum moss and black spruce saplings. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Substrate samples showed significant peat accumulation but depth was difficult to determine due to saturation of the substrate although mottling was observed. Slightly higher humification was observed off RoW, a result of lack of disturbance to leaf litter. - Substrate within wetland exhibiting semi-saturated conditions with the water table residing slightly below the ground surface. Peat is semi-saturated with conditions comparable off RoW. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird species were observed in wetland. Evidence of mammal presence also observed on RoW. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW with black spruce saplings present across the RoW.",,,
,Treed Bog (KP 29+800 to 29+910),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 14, 2016 - Wetland is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way). Vegetation is infilling and consists of grasses, clover, alder, willows, horsetail and planted spruce.","July 14, 2017 - Treed Bog on RoW from KP 29+800 to 29+910 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids, sphagnum mosses and willows. - No noxious weeds were observed in wetland. Trench crown exhibiting high densities of Sweet Clover; expectd to be outcompeted on RoW as natural succession of vegetation continues; no work required. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Excellent peat depth observed on and off RoW; mottled soil conditions identified. - Wetland has high water table exhibiting semi-saturated soil conditions. - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife. - Wetland is stable with appropriate pre-construction contours achieved. Off RoW Black Spruce to emerge onto RoW through time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 24, 2018 - Treed Bog on RoW from KP 29+800 to KP 29+910 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Line of sight break present in wetland at KP 29+830. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Majority of vegetation growth within wetland is present on peat.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), willows, horsetails, sphagnum mosses and various broadleaf shrubs. Volunteer white spruce saplings observed emerging on RoW edges. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Peat accumulation conditions comparable on and off RoW. - Substrate within wetland exhibiting drier- to semi-saturated conditions with the water table residing slightly below the ground surface. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird species were observed in wetland. Evidence of mammal presence also observed on RoW. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW.",,,
NE 30-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the right of way is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - Adequate cross drains present and functional – no ponding present. - KP 30+180 - Sign and marker posts required repairs. - KP 30+610 and 30+675- Perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. July 14, 2016 – KP 30+180 and 30+675 - Herbicide application completed to control perennial sow thistle (Low; 0 – 10 % cover). Aug 25, 2016 - KP 30+180 – Sign and marker posts repaired, issue resolved.","July 1, 2017 - Rollback present and effective as access control. July 14, 2017 - Vegetation cover on the RoW is 80-100% compared to off RoW control. Good establishment of grasses, broadleaf shrubs and willows throughout tract. Spruce emerging as tertiary species within this tract.  - KP 30+190 – Tall buttercup picked, bagged, and disposed of, issue resolved. - KP 30+600 to 30+800 - Perennial sow thistle observed, recommend weed control. - Trench crown present in tract; cross drains functioning well. - No erosion or subsidence identified within tract July 25, 2017 – KP 30+600 to 30+800 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved. October 2, 2017 – KP 30+470 – Herbicide application conducted to control Canada thistle, issue resolved.","July 24, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, milk vetch, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout RoW. Trees up to 1-2m tall. - KP 30+200 - Vegetation heights are providing a functional line of sight break. - Spruce tree plots are 1 – 1.2m tall. - KP 30+600 to 30+650 – Perennial sow thistle observed, recommend herbicide application. - Rollback appears to be functioning.  - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues. July 28, 2018 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
SE 31-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the right of way is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). - Adequate cross drains present and functional – no ponding present. - KP 31+120 - Perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. July 14, 2016 – KP 31+120 - Herbicide application completed to control perennial sow thistle.","July 14, 2017 - Vegetation cover on the RoW is 80-100% compared to off RoW control. Good establishment of grasses, broadleaf shrubs and willows throughout tract.  - KP 31+100 to 31+250 – Perennial sow thistle observed, recommend weed control. - Trench crown present in tract; cross drains functioning well. - No erosion or subsidence identified within tract.  July 25, 2017 – KP 31+080 to 31+250 – Intermittent herbicide application conducted to control perennial sow thistle, issue resolved. October 2, 2017 – KP 31+180 – Herbicide application conducted to control Canada thistle, issue resolved.","July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Excellent growth of aspen with evidence of growth across ROW. Vegetation consists of various grasses, willows, asters, yarrow, vetch, aspens, wild rose, white spruce, birds-foot trefoil and yellow rattle. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
