Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
68,NW 14-9-28,963.4 to 963.6,4026,Vegetation - Weeds,--,--,"Perennial sow-thistle, Canada thistle, wild oats and kochia dead from spraying.",Low densities of Canada thistle observed on construction right-of-way. Moderate densities of curled dock and kochia observed on construction right-of-way. High densities of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,WPM,
68,NE 14-9-28,964.5 to 964.65,4026.01,Vegetation - Weeds,"High density of false ragweed, lamb’s-quarters, Canada thistle, common pepper-grass and perennial sow-thistle on construction right-of-way.","High density of false ragweed, lamb’s-quarters, Canada thistle, wild oats and perennial sow-thistle on construction right-of-way.","Perennial sow-thistle, Canada thistle, wild oats and kochia dead from spraying.",High densities of perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,WPM,
68,NW 13-9-28,964.9,4027,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,Conditions similar on and off right-of-way appear resolved.,No drainage issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
68,NW 13-9-28,964.7 to 965.5,4027 4027.01,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,--,Minor to moderate compaction causing reduced crop density observed on construction right-of-way.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2013.",,WPM,
68,NE 13-9-28,965.5 to 966.3,4027.01,Soils - Compaction,--,Compaction testing by Mentiga Pedolgy Consultants Ltd.,Landowner expressed concerns of compaction on right-of-way; compaction still evident.,Moderate to severe compaction causing reduced crop density observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2013.",,WPM,
69,SE 15-9-27,972.3,4033.1,Vegetation – Establishment  Unnamed drainage,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation appears well established.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded west side of drainage summer 2011. Reseeded west side of drainage August 2012.,Unresolved,Monitor in 2013.,,WPM,
69,NE 11-9-27,974.0 to 974.5,4034.99,Vegetation - Rare Plants green needle grass (S3),Population observed off construction right-of-way.,No plants observed at either transplant receiving site or on pipeline construction right-of-way from topsoil salvage. Area densely overgrown with Canada thistle and other weeds.,--,"No plants observed in August 2012 at either transplant receiving site. Topsoil replacement mitigation yielded no plants at original sites and appears unsucessful.  Populations off the right-of-way on the north and south sides are intact. Both transplant sites are heavily infested with awnless brome and the Noxious weed, Canada thistle. Awnless brome was not seeded along the right-of-way at this location. No further monitoring is recommended.",--,Resolved,None.,,WPM,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,WPM,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Weeds,"Moderate density of foxtail barley, green foxtail, Canada fleabane and barnyard grass observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,WPM,
70,NE 5-9-25,989.5,4052.01,Vegetation - Rare Plants golden bean (S2),No plants were observed at or near the original population. Much of the area was under 0.5 m of water.,No plants observed. Site flooded from pipeline to ditches.,--,"No plants observed. This location is an established wetland that has been present since before pipeline construction based on height of willows. A comparison of the original notes for the golden bean population to the current observations at this location has lead to the conclusion that the original location of the golden bean population was recorded incorrectly. Due to the high probability that the mitigation recommended for the golden bean population was applied in the incorrect location, this location will no longer be monitored.",--,Resolved,None.,,WPM,
70,NW 4-9-25,989.8 to 990.6,4053,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to assess due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,WPM,
70,NE 4-9-25,990.6 to 991.4,4054,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to assess due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,WPM,
70,NE 2-9-25,993.8 to 994.5,4057,Vegetation - Weeds,"Moderate density of common knotweed, flixweed, false ragweed, spear-leaved goosefoot, foxtail barley and green foxtail observed on construction right-of-way during ground reconnaissance.","Moderate density of pineappleweed, sweet clover, Canada thistle, foxtail barley and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.","No weed issues observed. Canada thistle, nodding thistle and clover dead from spraying.","Moderate densities of white sweet clover, nodding thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,WPM,
71,NW 3-9-24,1001.3,4063,Vegetation - Rare Plants,No plants observed.,No plants observed.,--,No plants observed. No further monitoring is recommended.,--,Resolved,None.,,WPM,
71,SW 32-8-23,1008.4 to 1009.2,4073,Vegetation – Establishment,--,--,Bare areas noted.,--,Reseeded in June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,WPM,
71,SE 32-8-23,1009.2 to 1010.0,4074,Vegetation – Establishment,--,--,Bare areas noted.,--,Reseeded in June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,WPM,
71,SW 33-8-23,1010.0 to 1010.8,4075,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,Reseeded fall 2011 and June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,WPM,
71,SE 33-8-23,1010.8 to 1011.5,4075.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Bare areas noted.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,Reseeded fall 2011 and June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,WPM,
71,NE 28-8-23,1011.5,Crown,Vegetation - Rare Plants  sand bluestem (S2),No plants found on construction right-of-way. Plants found off construction right-of-way.,No plants observed (sand bluestem).,--,"A population of 28 stalks was observed on the pipeline right-of-way. Approximatly 92 stalks in four locations were observed off right-of-way, to the south.  Noxious weed leafy spurge poses a potential threat both on and off the right-of-way. Since this weed may pose a threat to off right-of-way populations it is recommended that this weed be controlled.",--,Resolved,None.,,WPM,
71,NE 28-8-23,1011.5,Crown,Vegetation - Weeds,--,--,--,Noxious weed leafy spurge poses a potential threat to a rare plant population both on and off the right-of-way.,--,Unresolved,Spot spray for weeds using a broadleaf specific chemical and monitor in 2013.,,WPM,
72,NW 27-8-23,1011.5 to 1012.4,4076,Vegetation – Establishment,--,--,Bare areas noted,--,--,Unresolved,Seed and monitor in 2013.,,WPM,
72,NE 22-8-22,1022.5 to 1023.4,4090,Vegetation - Weeds,"Moderate density of false ragweed, lamb’s-quarters, field dock, flixweed and foxtail barley on construction right-of-way observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,No weed issues observed. A few Canada thistle still evident; most are dead.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,WPM,
72,NE 22-8-22,1022.5 to 1023.4,4090,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
72,NW 23-8-22 to SW 23-8-22,1023.4 to 1024.2,4091  4092,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,--,Poor drainage observed on construction right-of-way. Cattails have established due to perennial wetness.,Drainage repaired fall 2011. Landowner disced cattails August 2012. Reseeded August 2012.,Unresolved,"Repair drainage, if warranted, and monitor in 2013.",,WPM,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Subsidence,Issue reported by construction contractor.,Unable to fully assess due to portions of the construction right-of-way being flooded at time of survey.,--,Unable to assess due to wet conditions during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Monitor in 2013.,,WPM,
73,S 1/2 19-8-21,1026.75 to 1027.7,4095.01,Vegetation - Weeds,"Moderate density of Canada thistle, false ragweed, Russian thistle, green smartweed, kochia, redroot pigweed and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
73,S 1/2 19-8-21,1026.75 to 1027.7,4095.01,Soils - Topsoil Loss,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,"Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,WPM,
73,NE 18-8-21,1027.7 to 1028.4,4096,Soils - Drainage,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Drainage appears resolved.,Patches of previously standing water observed on construction right-of-way. Land fallow at time of survey.,Drainage repaired in 2010.,Unresolved,"Repair drainage, if warranted, and monitor in 2013.",,WPM,
73,NW 16-8-21,1030.7 to 1031.0,4098,Vegetation - Weeds,"High density of false ragweed, field dock, spear-leaved goosefoot, common peppergrass and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.","High density of foxtail barley, narrow-leaved hawk’s-beard and Canada thistle observed along construction right-of-way during ground reconnaissance.",No weed issues and vegetation well established.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
73,NE 16-8-21,1031.0 to 1031.7,4098.01 4098.02,Vegetation - Weeds,"High density of lamb’s-quarters, spear-leaved goosefoot, dandelion, perennial sow-thistle, green smartweed and barnyard grass observed on construction right-of-way during ground reconnaissance.","High density of narrow-leaved hawk’s-beard, foxtail barley, field dock and Canada thistle observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
73,SW 15-8-21,1031.8 to 1032.6,4100,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 requesting paratilling due to compaction. Moderate compaction observed on construction right-of-way during ground reconnaissance.,Compaction similar on and off right-of-way. Similar soil structure/conditions on and off right-of-way.,Minor compaction observed on construction right-of-way during ground reconnaissance slightly affecting crop growth.,Compaction repaired in 2010. Paratilled in 2011.,Unresolved,Monitor in 2013.,,WPM,
73,SE 15-8-21,1032.6 to 1033.4,4101,Soils – Erosion Vegetation – Crop Growth,--,--,Landowner concerns of minor rill erosion and loss of vegetative cover over pipelines. Water runs down the right-of-way instead of ditch.,--,Paratilled in 2011. Topsoil added to improve contour in 2011.,Unresolved,Repair rill erosion and monitor crop growth in 2013.,,WPM,
73,SE 15-8-21,1032.6 to 1033.0,4101,Soils – Compaction,--,--,--,Minor compaction and reduced crop height observed on construction right-of-way during ground reconnaissance.,Paratilled in 2011.,Unresolved,Monitor in 2013.,,WPM,
73,SE 15-8-21,1033.0 to 1033.2,4101,Vegetation – Crop Growth,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Crop growth similar on and off right-of-way.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reassess soil parameters and monitor crop growth in 2013.,,WPM,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Minor compaction observed on construction right-of-way during ground reconnaissance.,Paratilled in 2011.,Unresolved,Monitor in 2013.,,WPM,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,--,Poor contouring resulting in drainage issues observed on construction right-of-way during ground reconnaissance.,Topsoil added to improve contour in 2011.,Unresolved,"Recontour, if warranted, and monitor in 2013.",,WPM,
73,NE 7-8-20,1037.7 to 1038.6,4107,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,--,"Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,WPM,
73,SE 8-8-20,1039.7 to 1040.3,4110,Vegetation - Weeds,--,"Moderate density of Canada thistle, false ragweed and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Evidence of weeds observed on construction right-of-way. Hay has recently been cut.,Weeds mowed in summer 2011. Weeds mowed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,WPM,
73,SE 8-8-20,1040.0 to 1040.2,4110,Soils – Drainage,--,--,"Landowner concerns of drainage issues. Water flow has always headed west. Enbridge Inspector, Enbridge Land agent and EI noticed flooded areas in the south corn field, with reduced corn height and density.",--,--,Unresolved,Recontour and monitor in 2013.,,WPM,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Vegetation - Weeds,"Moderate density of Canada thistle, common burdock, perennial sow-thistle, black medick and lamb’s-quarters on construction right-of-way.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way. Canada thistle and absinthe are dead.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011 and August 2012.,Unresolved,Monitor in 2013.,,WPM,
74,NW 34-7-19,LC 2.5 to LC.2.7,4125,Vegetation - Weeds,"Moderate density of perennial sow-thistle, field dock, spear-leaved goosefoot, false ragweed, Russian thistle, stinkweed and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, spear-leaved goosefoot, narrow-leaved hawk’s-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.","No weed issues observed, vegetation well established.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,WPM,
74,NW 35-7-19,1054.0,4127,Vegetation - Weeds,"High density of dog mustard, false ragweed, foxtail barley, spear-leaved goosefoot, perennial sow-thistle, field dock, redroot pigweed and wild oats observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way. Canada thistle and perennial sow-thistle are dead.,"Moderate density of Canada thistle, perennial sow-thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed June and August 2012.,Unresolved,Monitor in 2013.,,WPM,
74,NW 35-7-19,1054.0,4127,Vegetation – Crop Growth,--,--,Landowner concerns with reduced crop growth from 2012 observations.,--,--,Unresolved,Monitor in 2013.,,WPM,
75,SW 36-7-19,1055.8 to 1056.3,4129,Vegetation - Weeds,"Moderate density of perennial sow-thistle, common burdock, green smartweed, field dock and dandelion on construction right-of-way.","Moderate density of foxtail barley, field dock, Canada thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.",Weed densities similar on and off right-of-way. Almost all thistle plants are dead.,"Moderate densities of perennial sow-thistle, Canada thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,WPM,
75,SE 31-7-18,1058.60 to 1058.70,4132,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (93%).,Health: Healthy with Problems (72%).  Bare ground on construction right-of-way. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated construction right-of-way.,"Health: Healthy with Problems (77%). Weeds: Perennial sow-thistle, Canada thistle. Disturbance and weedy species observed along construction right-of-way. Landowner has cultivated wetland margins.",--,Health: Healthy (87%).,--,Resolved,None.,,WPM,
75,"SE 31-7-18, SW 32-7-18",1058.7 to 1058.9,4132  4133,Vegetation - Weeds,--,--,Canada thistle observed on right-of-way.,--,Weeds sprayed June and August 2012.,Unresolved,Monitor in 2013.,,WPM,
75,"SE 31-7-18, SW 32-7-18",1058.7 to 1058.9,4132  4133,Soils – Erosion Vegetation - Establishment,--,--,"Washout stable, no evidence of erosion.",--,Erosion repaired and reseeded fall 2011.,Unresolved,Monitor for vegetation establishment in 2013.,,WPM,
75,NW 26-7-18,1063.7 to 1063.95,4140 4140.01,Vegetation - Weeds  Land and Resource  Use - organic farm,"Moderate density of redroot pigweed, wild buckwheat, perennial sow-thistle, Canada thistle, stinkweed, green smartweed and spear-leaved goosefoot on construction right-of-way.",Moderate density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
75,NW 26-7-18,1064.1 to 1064.6,4141 4142,Vegetation - Weeds Land and Resource  Use - organic farm,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, Canada thistle, green smartweed and lamb’s-quarters on construction right-of-way.",Moderate density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
75,NE 26-7-18,1064.6 to 1064.8,4142,Soils - Subsidence,--,Moderate subsidence observed on the construction right-of-way during ground reconnaissance.,No evidence of subsidence observed.,Minor subsidence (approx. 10 cm deep) observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,WPM,
75,SW 25-7-18,1065.8,4143,Vegetation – Weeds Black Creek,--,"Moderate density of Canada thistle, narrow-leaved hawk's-beard and foxtail barley observed on north bank during ground reconnaissance.",Weeds observed on right-of-way.,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,WPM,
75,SW 25-7-18,1065.85 to 1066.2,4143,Vegetation - Weeds,"Moderate density of false ragweed, spear-leaved goosefoot, foxtail barley and white cockle on construction right-of-way.","Moderate density of foxtail barley, hemp nettle, narrow-leaved hawk’s-beard and Canada thistle observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
75,SW 25-7-18,1065.6,4143,Soils – Compaction,--,--,--,Moderate compaction causing poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted and monitor in 2013.",,WPM,
76,N 1/2 22-7-17,1072.5 to 1073.4,4150,Vegetation - Weeds,"Moderate density of redroot pigweed, common burdock, lamb’s-quarters, common tansy, leafy spurge, green foxtail and false ragweed on construction right-of-way.",High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,"High densities of Canada thistle, leafy spurge and absinthe.","Low to moderate density of leafy spurge, absinthe and common burdock observed on construction right-of-way during ground reconnaissance. High density of Canada thistle observed. Moderate to high densities of leafy spurge, absinthe and Canada thistle observed in preconstruction weed survey.",--,Resolved,None.,,WPM,
76,SE 22-7-17,1073.5,4153 4154,Topography Soils - Erosion Water Quality and Quantity Fish and Fish Habitat Souris River,Minor slumping on west bank.,Poor vegetation establishment on west bank and approach slope observed on construction right-of-way during ground reconnaissance.,Patchy vegetation on west bank.,Vegetation composition and density equal to off construction right-of-way.,Reseeded summer 2011. Mowed west bank August 2012.,Resolved,None.,,WPM,
76,SE 22-7-17,1073.5,4153 4154,Vegetation - Weeds,--,--,"High densities of Canada thistle, leafy spurge and absinthe.","Moderate densities of Canada thistle, leafy spurge, foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance. Moderate to high densities of leafy spurge, absinthe and Canada thistle observed in preconstruction weed survey.",--,Resolved,None.,,WPM,
76,SE 22-7-17,1073.5 to 1073.9,4153 4154,Vegetation - Weeds,--,Moderate density of common burdock and Canada thistle observed on construction right-of-way during ground reconnaissance.,Several burdock and thistle plants observed. Very few absinthe plants alive. Very good kill on thistle.,Moderate densities of absinthe and Canada thistle observed on construction right-of-way during ground reconnaissance. Moderate to high densities of absinthe and Canada thistle observed in preconstruction weed survey.,"Weeds mowed July and August 2011. Weeds sprayed fall 2011, June and August 2012.",Resolved,None.,,WPM,
76,SW 23-7-17,1074.1,4155,Soils - Erosion Water Quality and  Quantity - Field Drain,Silt fencing damaged on construction right-of-way. No alteration of drainage patterns observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,"No issues at field draw, fully restored and well vegetated.",--,Seeded reclaimed area on coulee edge in fall 2011.,Resolved,None.,,WPM,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Weeds,"Moderate density of common knotweed, foxtail barley, Russian thistle, perennial sow-thistle, lamb’s-quarters, Kochia and field dock observed on construction right-of-way during ground reconnaissance.","Moderate density of foxtail barley, Canada thistle, perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
76,NW 14-7-17,W 0.9,4155.01,Vegetation - Weeds,--,--,--,Landowner observed higher density of foxtail barley on construction right-of-way compared to off.,--,Unresolved,Control weeds and monitor in 2013.,,WPM,
76,NW 14-7-17,W 0.4 to W 1.0,4155.01,Soils - Drainage,--,--,--,Landowner observed poor drainage along construction right-of-way.,Disced and graded right-of-way September 2012.,Unresolved,Monitor in 2013.,,WPM,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation - Weeds,"Moderate density of foxtail barley, wild oats, Russian thistle, kochia and lamb's-quarters on construction right-of-way.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High densities of foxtail barley observed.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,WPM,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation – Establishment,--,--,Patchy areas evident on right-of-way.,--,Reseeded September 2012.,Unresolved,Monitor in 2013.,,WPM,
76,NW 16-7-16,W 7.17,4162,Vegetation – Weeds,--,--,--,"Moderate density of Canada thistle, field dock, green foxtail and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,WPM,
76,NE 16-7-16,1081.9,4163,Vegetation – Establishment Unnamed drainage,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate densities of foxtail barley observed. Drainage fully restored and stable. Vegetation well established.,Vegetation composition and density equal to off construction right-of-way.,Restored drainage and reseeded summer 2011. Reseeded in 2012.,Resolved,None.,,WPM,
76,SE 14-7-16,1084.8 to 1085.7,4168,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 and requested paratilling. Moderate compaction observed on right-of-way during ground reconnaissance.,Similar soil structure evident on and off right-of-way.,"Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",Paratilling of work land conducted in 2011.,Resolved,None.,,WPM,
77,SE 13-7-16,1086.8 to 1087.05,4169.01 4169.02,Vegetation – Establishment  Oak Creek,--,Poor vegetation establishment on west bank and moderate vegetation establishment on approach slopes observed on construction right-of-way during ground reconnaissance.,Bridge area stable; vegetation establishing on west bank.,Poor vegetation establishment observed on west bank of construction right-of-way during ground reconnaissance where there is no topsoil. Silt fence still in place.,"Banks restored, protected and reseeded in fall 2011. Mowed west side of creek August 2012.",Unresolved,Reseed patchy areas on west bank and remove silt fence. Monitor in 2013.,,WPM,
77,SE 13-7-16,1086.8 to 1087.05,4169.01 4169.02,Vegetation - Weeds Oak Creek,"High weeds density of false ragweed, lamb’s-quarters, Russian thistle, stinkweed, Canada thistle, Canada fleabane and field dock on southeast bank of construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,"Low to moderate densities of Canada thistle, common burdock and leafy spurge observed on west bank along construction right-of-way during ground disturbance.",--,Unresolved,Control weeds and monitor in 2013.,,WPM,
77,NW 9-7-15,1090.7 to 1091.5,4174,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 requesting paratilling due to compaction. No issues observed on construction right-of-way during ground reconnaissance.,Similar soil conditions on and off right-of-way. No compaction evident.,--,Paratilling conducted in 2011.,Resolved,None.,,WPM,
77,NW 10-7-15,1092.4 to 1093.2,4176,Land and Resource Use - organic farm Vegetation - Weeds,"High densities of green foxtail, kochia, prostrate pigweed, redroot pigweed and wild oats on construction right-of-way.",Moderate density of Canada thistle and green foxtail observed on construction right-of-way during ground reconnaissance.,"Landowner has seeded field, no weeds identified May 25, 2012, appears resolved.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
77 to 78,NE 5-7-14,1099.9 to 1100.75,4188,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 and requested paratilling. No issues observed on construction right-of-way during ground reconnaissance.,Similar soil conditions on and off right-of-way. No compaction evident.,Unable to assess due to integrity dig/repair work.,Paratilled work lane in 2011.,Resolved,None.,,WPM,
78,SW 1-7-14,1105.8 to 1106.5,4197,Vegetation - Weeds,"High density of wild oats, green foxtail, green smartweed, lamb’s-quarters, perennial sow-thistle, redroot pigweed, kochia and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of field dock, spear-leaved goosefoot, foxtail barley and Canada thistle were observed on the construction right-of-way during ground reconnaissance",Weed densities similar on and off right-of-way – appears resolved.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
78,NW 36-6-14,1106.87 to 1107.18,4198,Soils – Compaction,--,,Compaction noted by landowner. Soil probing done on and off right-of-way with similar soil conditions evident.,--,Paratilled work lane in 2011.,Resolved,None.,,WPM,
78,NW 36-6-14,1106.87 to 1107.18,4198,Soils – Erosion,--,--,Rill erosion on west side of wetland in 2011. Vegetation establishment is excellent (2012).,--,--,Resolved,None.,,WPM,
78,NW 36-6-14,1106.87 to 1107.18,4198,Vegetation – Establishment,--,--,Patchy growth on west side of wetland in 2011. Vegetation establishment is excellent (2012).,--,--,Resolved,None.,,WPM,
78,NE 36-6-14,1107.4 to 1107.6,4199,Land and Resource Use - organic farm Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, dandelion, Canada thistle, common plantain and foxtail barley on construction right-of-way.","Moderate density of spear-leaved goosefoot, Canada thistle, narrow-leaved hawk's-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.",No weeds observed.,"Low to moderate densities of foxtail barley, Canada thistle, perennial sow-thistle and kochia observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Control weeds and monitor in 2013.,,WPM,
78,"SW 32, NW/NE 29-6-13",1110.33 to 1110.83,4201.01,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (91%).,"Health: Healthy with Problems (61%). Weeds: Canada thistle, perennial sow-thistle. Elevated trench crown (approx. 10-40 cm). Undesirable species dominant on construction right-of-way. Bare ground on construction right-of-way.","Health: Healthy with Problems (67%). Weeds: Annual sow-thistle, Canada thistle, lamb’s-quarters. Disturbance and weedy species observed along construction right-of-way. Disturbance due to cattle utilization. Determined to be “resolved” due to land use changes by landowner. It is unlikely that the wetland will return to its baseline state. Land use alterations are out of Enbridge’s control.",Silt fence present.,--,--,Resolved,None.,,WPM,
78,SW 32-6-13,1110.0 to 1111.0,4202.01,Vegetation - Weeds,"High density of field dock, Canada thistle, perennial sow-thistle, dandelion and false ragweed observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,No weeds observed and vegetation establishment evident.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,WPM,
