Quarter Section,Tract,Land Use,KHE Land ID,Year 1 Issues,Repaired Year 1,Year 2 Issues,Repaired Year 2,Year 3 Issues,Repaired Year 3,Year 3 Current Recommendations,Year 3 Rationales,Year 3 PCEM Status,VEC,GIS,Topic
SW 15-05-22 W2M,BESK-0674.0,Hay,LAND ID 796,--,--,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 15-05-22 W2M,BESK-0674.0,Hay,LAND ID 796,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 15-05-22 W2M,BESK-0674.0,Hay,LAND ID 796,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 15-05-22 W2M,BESK-0675.0,Hay,LAND ID 797,Seed Catch,Issue Repaired,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SE 15-05-22 W2M,BESK-0675.0,Hay,LAND ID 797,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 14-05-22 W2M,BESK-0676.0,Cultivated,LAND ID 798,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 14-05-22 W2M,BESK-0676.0,Cultivated,LAND ID 798,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
SE 14-05-22 W2M,BESK-0677.0,Native prairie,LAND ID 799,Scalping,--,--,--,Scalping,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 14-05-22 W2M,BESK-0677.0,Native prairie,LAND ID 799,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 14-05-22 W2M,BESK-0677.0,Native prairie,LAND ID 799,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 11-05-22 W2M,BESK-0677.1,Native prairie,LAND ID 800,--,--,Contouring_1,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NE 11-05-22 W2M,BESK-0677.1,Native prairie,LAND ID 800,--,--,Crowning_1,--,Crowning_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NE 11-05-22 W2M,BESK-0677.1,Native prairie,LAND ID 800,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 11-05-22 W2M,BESK-0677.1,Native prairie,LAND ID 800,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 12-05-22 W2M,BESK-0678.1,Cultivated,LAND ID 801,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 12-05-22 W2M,BESK-0678.1,Cultivated,LAND ID 801,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 12-05-22 W2M,BESK-0680.0,Cultivated,LAND ID 802,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 12-05-22 W2M,BESK-0680.0,Cultivated,LAND ID 802,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 12-05-22 W2M,BESK-0680.0,Cultivated,LAND ID 802,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NE 12-05-22 W2M,BESK-0680.0,Cultivated,LAND ID 802,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 12-05-22 W2M,BESK-0681.0,Cultivated,LAND ID 803,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 12-05-22 W2M,BESK-0681.0,Cultivated,LAND ID 803,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
SE 12-05-22 W2M,BESK-0681.0,Native prairie,LAND ID 804,--,--,--,--,Crowning_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt250).,RESOLVED,,,
,,,,--,--,--,--,Crowning_2,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt251).,,,,
,,,,--,--,--,--,Weed concern_2,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,,,,
,,,,--,--,--,--,Weed concern_3,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt251).,,,,
,,,,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,,,,
,,,,Weed concern,--,--,--,Weed concern_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt250).,,,,
NE 01-05-22 W2M,BESK-0682.0,Native prairie,LAND ID 805,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 01-05-22 W2M,BESK-0682.0,Native prairie,LAND ID 805,Scalping,--,--,--,Scalping,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 01-05-22 W2M,BESK-0682.0,Native prairie,LAND ID 805,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 01-05-22 W2M,BESK-0682.0,Native prairie,LAND ID 805,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 06-05-21 W2M,BESK-0683.0,Native prairie,LAND ID 806,--,--,Contouring_1,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NW 06-05-21 W2M,BESK-0683.0,Native prairie,LAND ID 806,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 06-05-21 W2M,BESK-0683.0,Native prairie,LAND ID 806,Subsidence_1,Issue Repaired,Subsidence_1,Issue Repaired,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 06-05-21 W2M,BESK-0684.0,Cultivated,LAND ID 807,--,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 06-05-21 W2M,BESK-0684.0,Cultivated,LAND ID 807,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 06-05-21 W2M,BESK-0684.0,Cultivated,LAND ID 807,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 05-05-21 W2M,BESK-0685.0,Hay,LAND ID 808,--,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 05-05-21 W2M,BESK-0685.0,Hay,LAND ID 808,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 05-05-21 W2M,BESK-0685.0,Hay,LAND ID 808,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 05-05-21 W2M,BESK-0685.0,Cultivated,LAND ID 809,--,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 05-05-21 W2M,BESK-0685.0,Cultivated,LAND ID 809,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.0,Cultivated,LAND ID 810,--,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.0,Cultivated,LAND ID 810,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.0,Native prairie,LAND ID 811,--,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.0,Native prairie,LAND ID 811,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.0,Native prairie,LAND ID 811,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.2,Native prairie,LAND ID 812,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.2,Native prairie,LAND ID 812,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.1,Cultivated,LAND ID 813,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-05-21 W2M,BESK-0686.1,Cultivated,LAND ID 813,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 04-05-21 W2M,BESK-0687.0,Cultivated,LAND ID 814,--,--,--,--,Crowning_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt259).,RESOLVED,,,
NW 04-05-21 W2M,BESK-0687.0,Cultivated,LAND ID 814,--,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SW 04-05-21 W2M,BESK-0688.0,Cultivated,LAND ID 815,--,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,MONITOR,,,
SW 04-05-21 W2M,BESK-0688.0,Cultivated,LAND ID 815,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 04-05-21 W2M,BESK-0688.0,Cultivated,LAND ID 815,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 33-04-21 W2M,BESK-0689.0,Hay,LAND ID 816,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 33-04-21 W2M,BESK-0689.0,Hay,LAND ID 816,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 33-04-21 W2M,BESK-0690.0,Improved Pasture,LAND ID 817,--,--,--,--,Contouring_1,--,No Further Action Recommended,Cattle compounded issue.,MONITOR,,,
,,,,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,,,,
,,,,Weed concern,--,--,--,Weed concern_1,--,Monitor Year 5,Confirm conditions are stable.,,,,
,,Hay,LAND ID 818,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
,,Hay,LAND ID 818,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 34-04-21 W2M,BESK-0691.0,Native prairie,LAND ID 819,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 34-04-21 W2M,BESK-0691.0,Native prairie,LAND ID 819,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 34-04-21 W2M,BESK-0693.0,Native prairie,LAND ID 820,Contouring,--,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NE 34-04-21 W2M,BESK-0693.0,Native prairie,LAND ID 820,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 34-04-21 W2M,BESK-0693.0,Native prairie,LAND ID 820,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 35-04-21 W2M,BESK-0694.0,Cultivated,LAND ID 821,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 35-04-21 W2M,BESK-0694.0,Native prairie,LAND ID 822,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 35-04-21 W2M,BESK-0694.0,Native prairie,LAND ID 822,Weed concern,--,--,--,Weed concern_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt264).,RESOLVED,,,
NE 35-04-21 W2M,BESK-0695.0,Native prairie,LAND ID 823,--,--,--,--,Scalping,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NE 35-04-21 W2M,BESK-0695.0,Native prairie,LAND ID 823,--,--,Crowning_1,--,Crowning_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt267 ).,RESOLVED,,,
NE 35-04-21 W2M,BESK-0695.0,Native prairie,LAND ID 823,--,--,Weed concern_1,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
NE 35-04-21 W2M,BESK-0695.0,Native prairie,LAND ID 823,Vegetation establishment_1,Issue Repaired,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 36-04-21 W2M,BESK-0696.0,Cultivated,LAND ID 824,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 36-04-21 W2M,BESK-0696.0,Improved Pasture,LAND ID 825,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 36-04-21 W2M,BESK-0696.0,Improved Pasture,LAND ID 825,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 36-04-21 W2M,BESK-0697.0,Improved Pasture,LAND ID 826,--,--,--,--,Crowning_1,--,No Further Action Recommended,Issue not recommended for repair.,MONITOR,,,
NE 36-04-21 W2M,BESK-0697.0,Improved Pasture,LAND ID 826,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
NE 36-04-21 W2M,BESK-0697.0,Improved Pasture,LAND ID 826,Subsidence,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NE 36-04-21 W2M,BESK-0697.0,Improved Pasture,LAND ID 826,Weed concern,--,--,--,Weed concern_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt268).,MONITOR,,,
NE 36-04-21 W2M,BESK-0697.0,Hay,LAND ID 827,--,--,--,--,Crowning_1,--,No Further Action Recommended,Issue not recommended for repair.,MONITOR,,,
NE 36-04-21 W2M,BESK-0697.0,Hay,LAND ID 827,--,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NE 36-04-21 W2M,BESK-0697.0,Hay,LAND ID 827,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
NE 36-04-21 W2M,BESK-0697.0,Hay,LAND ID 827,Weed concern,--,--,--,Weed concern_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt268).,MONITOR,,,
NW 31-04-20 W2M,BESK-0698.0,Cultivated,LAND ID 828,--,--,--,--,Crowning_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 31-04-20 W2M,BESK-0698.0,Native prairie,LAND ID 829,--,--,--,--,Crowning_1,--,No Further Action Recommended,Issue not recommended for repair.,MONITOR,,,
NW 31-04-20 W2M,BESK-0698.0,Native prairie,LAND ID 829,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
NW 31-04-20 W2M,BESK-0698.0,Native prairie,LAND ID 829,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 31-04-20 W2M,BESK-0699.0,Cultivated,LAND ID 830,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 31-04-20 W2M,BESK-0699.1,Cultivated,LAND ID 831,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 31-04-20 W2M,BESK-0700.0,Cultivated,LAND ID 832,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 32-04-20 W2M,BESK-0701.0,Native prairie,LAND ID 833,Contouring,--,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,REPAIR,,,
NW 32-04-20 W2M,BESK-0701.0,Native prairie,LAND ID 833,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,REPAIR,,,
NW 32-04-20 W2M,BESK-0701.0,Native prairie,LAND ID 833,Weed concern,--,--,--,Weed concern_1,--,Repair,Not expected to recover without repair.,REPAIR,,,
NE 32-04-20 W2M,BESK-0702.0,Cultivated,LAND ID 834,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 32-04-20 W2M,BESK-0702.0,Cultivated,LAND ID 834,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NW 33-04-20 W2M,BESK-0703.0,Improved Pasture,LAND ID 835,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 33-04-20 W2M,BESK-0703.0,Improved Pasture,LAND ID 835,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
,,,,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,,,,
SW 04-05-20 W2M,BESK-0704.0,Native prairie,LAND ID 836,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 04-05-20 W2M,BESK-0704.0,Native prairie,LAND ID 836,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 04-05-20 W2M,BESK-0704.0,Hay,LAND ID 837,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 04-05-20 W2M,BESK-0704.0,Hay,LAND ID 837,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 04-05-20 W2M,BESK-0705.0,Hay,LAND ID 838,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 04-05-20 W2M,BESK-0705.0,Hay,LAND ID 838,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 04-05-20 W2M,BESK-0705.1,Native prairie,LAND ID 839,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 04-05-20 W2M,BESK-0705.1,Native prairie,LAND ID 839,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 03-05-20 W2M,BESK-0706.0,Cultivated,LAND ID 840,--,--,--,--,Weed concern_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 03-05-20 W2M,BESK-0706.0,Cultivated,LAND ID 840,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,MONITOR,,,
NW 34-04-20 W2M,BESK-0707.0,Improved Pasture,LAND ID 841,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 34-04-20 W2M,BESK-0707.0,Improved Pasture,LAND ID 841,--,--,Subsidence_1,Issue Repaired,Subsidence_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NW 34-04-20 W2M,BESK-0707.0,Improved Pasture,LAND ID 841,Vegetation establishment_1,Issue Repaired,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 34-04-20 W2M,BESK-0707.0,Native prairie,LAND ID 842,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 34-04-20 W2M,BESK-0707.0,Native prairie,LAND ID 842,--,--,Subsidence_1,--,Subsidence_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NW 34-04-20 W2M,BESK-0707.0,Native prairie,LAND ID 842,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 34-04-20 W2M,BESK-0707.0,Cultivated,LAND ID 843,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NW 34-04-20 W2M,BESK-0707.0,Cultivated,LAND ID 843,--,--,"Erosion (wind, water)_2",--,"Erosion (wind, water)_2",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NW 34-04-20 W2M,BESK-0707.0,Cultivated,LAND ID 843,--,--,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NW 34-04-20 W2M,BESK-0707.0,Cultivated,LAND ID 843,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 34-04-20 W2M,BESK-0708.0,Hay,LAND ID 844,"Erosion (wind, water)_1",Issue Repaired,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 34-04-20 W2M,BESK-0708.0,Hay,LAND ID 844,Vegetation establishment_1,Issue Repaired,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 27-04-20 W2M,BESK-0709.0,Native prairie,LAND ID 845,--,--,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NW 27-04-20 W2M,BESK-0709.0,Native prairie,LAND ID 845,--,--,Scalping,--,Scalping,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NW 27-04-20 W2M,BESK-0709.0,Native prairie,LAND ID 845,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 27-04-20 W2M,BESK-0709.0,Native prairie,LAND ID 845,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 27-04-20 W2M,BESK-0711.0,Native prairie,LAND ID 846,--,--,Contouring_1,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,MONITOR,,,
NE 27-04-20 W2M,BESK-0711.0,Native prairie,LAND ID 846,--,--,Crowning_1,--,Crowning_1,--,No Further Action Recommended,Issue not recommended for repair.,MONITOR,,,
NE 27-04-20 W2M,BESK-0711.0,Native prairie,LAND ID 846,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,No Further Action Recommended,Issue not recommended for repair.,MONITOR,,,
NE 27-04-20 W2M,BESK-0711.0,Native prairie,LAND ID 846,--,--,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NE 27-04-20 W2M,BESK-0711.0,Native prairie,LAND ID 846,--,--,Weed concern_1,--,Weed concern_1,--,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
NE 27-04-20 W2M,BESK-0711.0,Native prairie,LAND ID 846,Vegetation establishment_1,Issue Repaired,Vegetation establishment_1,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
NW 26-04-20 W2M,BESK-0713.0,Improved Pasture,LAND ID 847,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 26-04-20 W2M,BESK-0713.0,Improved Pasture,LAND ID 847,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 26-04-20 W2M,BESK-0714.0,Hay,LAND ID 848,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 26-04-20 W2M,BESK-0714.0,Hay,LAND ID 848,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
,BESK-0714.1,Hay,LAND ID 849,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
