Legal Location,1<s>st</s> Year (2013) Issue/Condition,1<s>st</s> Year (2013) PCMP Recommendation(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
94I-14-C86,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 -  Silt fence can be removed at 55+500, healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline","June 22, 2015  - Vegetation establishment appears to be 85-90% comparable to off RoW control. - Perennial sow thistle found throughout entire tract. Recommend implementing weed control. - Roach is well vegetated and appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. - All perennial sow thistle plants located in wetland areas were handpicked. - Removed silt fences on both banks of slow-moving wide creek. A section of silt fence uphill on the north bank was left in place appearing to retain silt.",,,
94I-14-C86 94I-14-C76,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 55+480 to KP 55+580 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Channelized flow present along ditchline, draining across RoW.","June 22, 2015  - Peat-accumulating marsh located between kp 55+480 and kp 55+580 has open water along RoW and contains emergent riparian vegetation.  - Wetland is associated with beaver dam complex located at kp 55+500.  - Wetland functional at time of assessment.",,,
94I-14-C86 94I-14-C76,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 56+250 to KP 58+800 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed Fen located between kp 56+250 and kp 58+800 has standing water on RoW and contains emergent riparian vegetation.  - Wetland is associated with watercourse crossing located at KP 57+450.  - Bare patches of peat and mulch present along RoW.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Wetland functional at time of assessment.",,,
94I-14-C86 94I-14-C76,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline","June 22, 2015  - Vegetation establishment appears to be 85-95% comparable to off RoW control with some areas exhibiting thinner cover likely attributed to higher densities of mulch. - Perennial sow thistle found throughout entire tract. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 27, 2015 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs throughout the RoW  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  - Foreign powerline and access road appeared to be stable at time of assessment. No erosion or subsidence was observed at time of assessment  - Non-classified drainage appeared to be stable at time of assessment.  - No evidence of erosion was observed  - Previous herbicide application appears successful.  No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C75,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline","June 22, 2015  - Vegetation establishment appears to be 85-95% comparable to off RoW control. - Perennial sow thistle found throughout entire tract. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. Minor roach settlement evident in wetland areas. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract.  All perennial sow thistle plants located in wetland areas were handpicked. September 27, 2015 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs throughout the RoW  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  - Previous herbicide application appears successful.  No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C65,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Silt fence can be removed at KP 57+500 healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline","June 22, 2015  - Vegetation establishment appears to be 85-95% comparable to off RoW control with some areas exhibiting thinner vegetation cover likely attributed to higher densities of mulch. -  Patch of perennial sow thistle found at KP 57+270 and KP 57+800. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. Minor roach settlement evident in wetland areas. - No subsidence or erosional issues evident in tract. July 18, 2015  - Patches of perennial sow thistle in wetland areas at KP 57+270 and 57+800 were handpicked. September 27, 2015 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs throughout the RoW   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  -- No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C65 94I-14-C55,Unnamed tributary to Metlahdoa Creek,No further monitoring is recommended.,"September 19, 2014 - Silt fence can be removed at KP 57+500","June 22, 2015  - Wide creek crossing at KP 57+400 appears to be stable with good vegetation establishment on both banks. Rollback leading to creek is effective as no foreign activity is present. Slow, meandering watercourse caused wetland vegetation development in crossing as comparable to off RoW. Bed appears stable at this time with slow moving water at time of assessment. Fixed marker post and sign on south bank. Recommend removal of silt fences on both banks. July 18, 2015  - Removed silt fences on both banks of creek at KP 57+400. September 27, 2015 - - Metlahdoa Creek crossing appeared to be stable at time of assessment.  - Banks were well vegetated and no subsidence or erosion was observed at time of assessment  - Beavers have constructed several dams in the area.  - Removed silt fence and straw waddles from northern and southern boundary of creek crossing.",,,
94I-14-C65 94I-14-C55,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline","June 22, 2015  - Vegetation establishment appears to be 80-90% comparable to off RoW control with some areas exhibiting thinner vegetation cover likely attributed to heavier densities of mulch. Good variety of native grasses, broad-leaf and deciduous species’. - Patch of perennial sow thistle present at KP 58+260. Recommend implementing weed control. - Roach exhibiting approximately 70% vegetation cover compared to RoW but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Patch of perennial sow thistle in wetland area at KP 58+260 was handpicked. September 27, 2015 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs throughout the RoW  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C45,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline","June 22, 2015  - Vegetation establishment appears to be 85-90% comparable to off RoW control. Good variety of native grasses, broad-leaf and deciduous species’. - Patch of perennial sow thistle present at KP 59+170. Recommend implementing weed control. - Roach appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted at KP 59+170 to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. September 27, 2015 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs throughout the RoW.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  - Herbicide application appears successful. No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C44,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline","June 22, 2015  - Vegetation establishment appears to be 85-90% comparable to off RoW control. Good variety of native grasses, broad-leaf and deciduous species’. - Roach is showing good vegetation establishment and appears stable with cross drains functioning well. - Slow moving watercourse at KP 59+500 appears to be stable with good vegetation establishment on both banks. Rollback appears to be functioning well as no activity is present around watercourse. Wide channel has induced vegetation establishment in crossing as comparable to off RoW. Bed appears stable with slow movement of water at time of assessment. Recommend removal of silt fence on both banks. - No subsidence or erosional issues evident in tract. July 18, 2015  - Removed silt fence on north bank of creek crossing at KP 59+500. September 28, 2015 -  - Vegetation appeared to be well established throughout the RoW with numerous willows and small tress observed.   - High concentrations of sweet clover were also present however native vegetation appeared to be establishing underneath the stands.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted at the time of assessment.  - Unnamed tributary water crossing appeared to be stable at time of assessment.  Banks appeared to be well vegetated with numerous short to medium willows as well as small trees.  A beaver dam that had caused water to pond in the area as well as across the RoW appeared to have recently broken resulting in the draining of the area. This exposed a large amount of bare soils adjacent to the tributary drainage course. These exposed soils appeared to be stable at the time of assessment as they were in the down slope position with minimal to no grade. Additionally large numbers of tree roots and stumps were observed throughout the area.  Recommend reassessment to ensure soils stabilize.  - Collected silt fence from southern boundary of tributary crossing KP 59+547. - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C34,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species. Willow (10%) and Raspberry (20%) are present across the ROW.  One juvenile scentless chamomile plant was observed at KP 60+600 picked and bagged, no other issues.","June 22, 2015  - Vegetation establishment appears to be 75-80% cover of RoW. - Perennial sow thistle at KP 60+530 and from KP 60+830 to KP 61+100. Recommend implementing weed control. - Roach showing approximately 75% cover compared to RoW; cross drains are functioning well. - Rollback appears to be effective within tract as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted at KP 60+530 and 60+530 to control perennial sow thistle. Patch of perennial sow thistle plants in wetland area at KP 61+100 were handpicked. September 28, 2015 -  - Vegetation continues to establish along the RoW with numerous willows small shrubs throughout the RoW - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues. - No integrity concerns were noted at the time of assessment.  - Non classified drainage appeared to be stable at time of assessment - Several tall buttercup carcasses were observed along ditch line KP 61+197, monitor in the future and implement weed control, as required. - Previous herbicide application appears successful.  No noxious or prohibited noxious weeds were observed at the time of assessment in the vicinity of the herbicide application.",,,
94I-14-C24,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 Wetland located from KP 61+000 to KP 61+300 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent riparian vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Vegetation establishment appears to be 80-90% cover of RoW. Good variety of native grasses, broad-leaf and deciduous species’. -  Perennial sow thistle from KP 61+550 to KP 62+000. Scentless chamomile present at KP 62+000. Recommend implementing weed control. - Roach showing approximately 70% cover compared to RoW; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted from KP 61+550 to 62+000 to control perennial sow thistle and scentless chamomile. September 28, 2015 -  - Vegetation continues to establish along the RoW with numerous willows small shrubs throughout the RoW - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues. - No integrity concerns were noted at the time of assessment.  - Non classified drainage appeared to be stable at time of assessment - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C24 94I-14-C14,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy  re-establishment, grass species, willow, wild rose, alder no issues (20% cover ditchline, 80-90% ROW), no issues","June 22, 2015  - Vegetation establishing well throughout tract; issue resolved.",,,
94I-14-C24 94I-14-C14,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy  re-establishment, grass species, willow, wild rose, alder no issues (20% cover ditchline, 80-90% ROW), no issues","June 22, 2015  - Vegetation establishment appears to be 85-90% cover of RoW. Good variety of native grasses, broad-leaf and deciduous species’. - Roach exhibiting good vegetation establishment and appears stable; cross drains are functioning well. - Creek crossing at KP 62+830 appears to be stable with banks showing good vegetation establishment.  Bed appears stable with good submerged vegetation establishment and showing slow blow at time of assessment. Minor erosion expanding out across ditchline on both sides of crossing; Continue to monitor for further erosion on banks. Recommend removal of silt fences on south bank. July 18, 2015  - Removed silt fence and steel pegs within waddles on south bank of creek at KP 62+830. September 27, 2015 -  - Vegetation was continuing to establish at the time of the assessment with small trees, willows and small trees observed throughout the RoW. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Unclassified drainage appeared to be stable at time of assessment  -Tributary crossing appeared to be stable at time of assessment.  Removed plastic netted straw waddles and silt fence from northern boundary of un named tributary KP 62+830 - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-C4,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Silt fence at KP 62+800 can be removed, vegetation showing healthy establishment, although sweet clover is dominate species with areas of raspberry and wild rose starting to fill in the edges of the ROW (30% cover ditchline, 50 % ROW)","June 22, 2015  - Vegetation establishment appears to be approximately 85-95% comparable to off RoW control. Good variety of native grasses, broad-leaf and deciduous species’. - Roach exhibiting thinner vegetation cover in some areas along RoW but appears stable; cross drains are functioning well. - Fixed marker sign at KP 63+200. - No subsidence or erosional issues evident in tract. September 28, 2015 -  - Vegetation was continuing to establish at the time of the assessment with small trees, willows and small trees observed throughout the RoW. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Foreign pipeline  and access road crossing appeared to be stable at time of assessment",,,
94I-11-K94,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues.","June 22, 2015  - Vegetation establishment appears to be approximately 85-95% comparable to off RoW control. -  Perennial sow thistle present throughout entire tract and a patch of scentless chamomile evident at KP 64+320. Recommend implementing weed control. - Roach exhibiting thinner vegetation cover in some areas along RoW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle and scentless chamomile. A 30m setback was applied to wetland areas within tract.  All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the RoW with Willows, small shrubs and trees observed.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Non classified drainage appeared to be stable and well vegetated at time of assessment.   - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-11-K84,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues.","June 22, 2015  - Vegetation establishment appears to be approximately 85-95% comparable to off RoW control. - Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting thinner vegetation cover in some areas along RoW but appears stable; cross drains are functioning well. - Rollback in tract is effective as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the RoW with Willows, small shrubs and trees observed.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.   - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-11-K84 94I-11-K74,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 61+000 to KP 61+300 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent riparian vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed Bog located between kp 61+000 and kp 61+300 has standing water along RoW and contains emergent riparian vegetation.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Wetland functional at time of assessment.",,,
94I-11-K84 94I-11-K74,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues.","June 22, 2015  - Vegetation establishment appears to be approximately 80-90% comparable to off RoW control. - Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting approximately 60% cover to RoW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation appeared to be well established throughout the RoW with numerous willows and small tress observed.  - Due to the high concentrations of sweet clover with the under story of native plants ground cover appeared to be well established at the time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted at the time of assessment.  - Foreign pipeline crossing appeared to be stable at time of assessment, with no subsidence or erosion. - Perennial Sow Thistle was observed KP 66+000 and KP 66+490.  Monitor in 2016 and control as required.",,,
94I-11-K74 94I-11-K73,Treed bog,Monitor vegetation establishment in 2014.,• Wetland located from KP 65+500 to KP 65+650 and KP 65+800 to KP 66+000 are well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.,"June 22, 2015  - Treed Bog located between kp 65+500 and kp 65+650 has standing water along RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Treed Bog located between kp 65+800 and kp 66+000 contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
94I-11-K74 94I-11-K73,Treed bog,Monitor vegetation establishment in 2014.,• Wetland located from KP 65+800 to KP 66+000 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.,"June 22, 2015  - Vegetation establishment appears to be approximately 85-90% comparable to off RoW control. Good variety of native grasses, broad-leaf and deciduous species’. -  Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting approximately 60-70% cover to RoW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted at the time of assessment.  - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-11-K73 94I-11-K63,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Sow Thistle observed at KP 66+800 to 67+100 approx. 200 plants, recommend spraying 2015. Vegetation showing healthy variety of species willow. Wild rose and  alder (20-30% cover ditchline, 80% ROW","June 22, 2015  - Vegetation is establishing well throughout tract; issue resolved. September 28, 2015 -  - Vegetation appeared to be well established throughout the RoW with numerous willows and small tress observed.   - High concentrations of sweet clover were also present however native vegetation appeared to be establishing underneath the stands.",,,
94I-11-K73 94I-11-K63,Treed swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 66+620 to KP 66+670 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed swamp located between kp 66+620 and kp 66+670 contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Sow Thistle observed at KP 66+800 to 67+100 approx. 200 plants, recommend spraying 2015. Vegetation showing healthy variety of species willow. Wild rose and  alder (20-30% cover ditchline, 80% ROW","June 22, 2015  - Vegetation establishment appears to be approximately 85-90% comparable to off RoW control. Good variety of native grasses, broad-leaf and deciduous species’. - Perennial sow thistle evident along entire tract. Recommend implementing weed control. - Roach exhibiting approximately 50% cover to RoW but appears stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract.  All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the RoW with Willows, small shrubs and trees observed.   - High concentrations of tall clover were observed throughout the tract however native vegetation was noted growing under the clovers.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted at the time of assessment.  - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-11-K63 94I-11-K64,Shrubby swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 66+900 to KP 66+920 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Shrubby swamp located between kp 66+900 and kp 66+920 contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
94I-11-K63 94I-11-K64,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Silt fence at KP 67+850 can be removed, healthy establishment of grass species, raspberry, willows and alder (20 % ditchline, 60% ROW), no issues","June 22, 2015  - Vegetation establishment appears to be approximately 85-90% comparable to off RoW control. Good variety of native grasses, broad-leaf and deciduous species’. -  Perennial sow thistle evident along entire tract.  Recommend implementing weed control. - Roach exhibiting approximately 50% cover to RoW but appears stable; cross drains are functioning well. - Creek crossing at KP 67+770 appears to be stable with good vegetation on both banks. Wetland vegetation establishing in creek bed as compared to off RoW. Bed appears to be stable with slow moving water at time off assessment. Recommend removal of silt fence on both banks of creek. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation is establishing well throughout the RoW with Willows, small shrubs and trees observed.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted at the time of assessment.  - Foreign pipeline and access road crossings appeared to be stable at time of assessment, with no erosion or subsidence. - Plastic netted straw waddles and silt fence were removed from northern and southern boundary of drainage KP 67+770. Area appeared to be well vegetated with extensive ground cover.",,,
94I-11-K64 94I-11-K54,Shrubby swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 67+400 to KP 67+450 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Shrubby swamp located between kp 67+400 and kp 67+450 has standing water along RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
94I-11-K64 94I-11-K54,Rare plant,Unresolved. Revisit in 2015.,"Resolved, mitigation successful.  No further monitoring is recommended.","No further monitoring required, issue resolved.",,,
94I-11-K64 94I-11-K54,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 67+600 to KP 67+750 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed Bog located between kp 67+600 and kp 67+750 contains emergent riparian vegetation.  - Bare patches of peat and mulch present along RoW.  - Wetland functional at time of assessment.",,,
94I-11-K64 94I-11-K54,Shrubby fen,Monitor vegetation establishment in 2014.,• Wetland located from KP 67+800 to KP 67+830 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.,"June 22, 2015  - Shrubby Fen located between kp 67+800 and kp 67+830 contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
,High vegetation establishment,None.,"September 20, 2014 -  This section of the ROW is 90% sweet clover and noxious weeds, scentless chamomile at KP 69+300 (20x20 m area consisting of approx.. 20 mature plants, Sow thistle from KP 70+200 to 72.2 recommend spraying 2015","June 22, 2015  - Vegetation establishment appears to be approximately 90% comparable to off RoW control. - Patch of perennial sow thistle present at KP 68+110. Recommend implementing weed control. - Roach is well vegetated and appears to be stable with cross drains are functioning well. - Rollback effective along tract as no foreign activity is evident.  - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted at KP 68+110 to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015 -  - Vegetation appeared to be well established throughout the RoW with numerous willows and small tress observed.  - Due to the high concentrations of sweet clover with the under story of native plants ground cover appeared to be well established at the time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted at the time of assessment. - Drainage appeared to be stable at time of assessment - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-11-K54 94I-11-K44,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 68+900 to KP 69+200 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","CM June 22, 2015  - Treed Bog located between kp 68+900 and kp 69+200 contains emergent riparian vegetation.  - Bare patches of peat and mulch present along RoW.  - Wetland functional at time of assessment.",,,
94I-11-K54 94I-11-K44,High vegetation establishment,None.,"September 20, 2014 -  This section of the ROW is 90% sweet clover and noxious weeds, scentless chamomile at KP 69+300 (20x20 m area consisting of approx.. 20 mature plants, Sow thistle from KP 70+200 to 72.2 recommend spraying 2015","June 22, 2015  - Vegetation establishment appears to be approximately 90% comparable to off RoW control. - Perennial sow thistle present at KP 69+715 to KP 70+000. Recommend implementing weed control. - Roach is well vegetated and appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted from KP 69+715 to 70+000 to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. - All perennial sow thistle plants located in wetland areas were handpicked. September 28, 2015  - Vegetation appeared to be well established throughout the RoW with numerous willows and small tress observed.   - High concentrations of sweet clover were also present however native vegetation appeared to be establishing underneath the stands.   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted at the time of assessment.  - Large concentrations of weeds were noted throughout tract KP 69 +100 – KP70+060  - Perennial sow thistle were observed throughout RoW throughout tract. Monitor in 2016 and implement weed control as required.",,,
94I-11-K44 94I-11-K34,Shrubby swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 69+300 to KP 69+350 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Shrubby swamp located between kp 69+300 and kp 69+350 contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
94I-11-K44 94I-11-K34,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 69+780 to KP 70+150 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.","June 22, 2015  - Treed Bog located between kp 69+780 and kp 70+150 contains emergent riparian vegetation.  - Bare patches of peat and mulch present along RoW.  - Wetland functional at time of assessment.",,,
