Legal Location (W4),1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW-24-80-8,Forested Low vegetation cover,Low vegetation cover at area graded during pipeline construction. No associated issues.,"June 20, 2016 ·Good vegetation establishment was observed, 2014 issue resolved.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW, filling in from outer edges and is expected to recover over time.  - No erosion or subsidence issues. Aug 19, 2017 – Intermittent herbicide application conducted to control common tansy (KP 57+410) and perennial sow thistle (KP 58+080 – 57+300). Sept 14, 2017 - Shrubby swamp on ROW from KP 58+205 to 58+353 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions with intermittent areas of standing emergence. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - Perennial sow thistle (KP 57+800 to 58+000) and Canada thistle (KP 58+000) observed, recommend herbicide application. August 27, 2018 -Shrubby swamp on ROW from KP 58+205 to 58+353 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, common cattail and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions with intermittent surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover.",,,
SW-24-80-8,Forested Erosion and sediment movement,Erosion and sediment control including silt fence and wattles installed in the summer 2013 were observed to be near capacity. The area was re-contoured and sedimentation and erosion controls were installed in December 2014.  Monitor in 2015.,"June 20, 2016 - No erosion or sediment movement observed. 2014 issues resolved.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW, filling in from outer edges and is expected to recover over time.  - No erosion or subsidence issues. Aug 19, 2017 – Intermittent herbicide application conducted to control common tansy (KP 57+410) and perennial sow thistle (KP 58+080 – 57+300). Sept 14, 2017 - Shrubby swamp on ROW from KP 58+205 to 58+353 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions with intermittent areas of standing emergence. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - Perennial sow thistle (KP 57+800 to 58+000) and Canada thistle (KP 58+000) observed, recommend herbicide application. August 27, 2018 -Shrubby swamp on ROW from KP 58+205 to 58+353 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, common cattail and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions with intermittent surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours. Aug 5, 2018 - KP 57+800 to 58+000 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.",,,
SE-24-80-8,Unnamed Watercourse (08-WC-04) Minor rill erosion,Minor rill erosion observed west of 08-WC-04 on the north side of the pipeline roach. Repaired in December 2014. Monitor in 2015.,"June 20, 2016 -·Soil and slopes surrounding watercourse appear to be stable. No erosion observed, 2014 erosion issue resolved. ·Vegetation establishment 40 to 50% compared to off ROW was observed on the banks of this watercourse crossing. Recommend monitoring. Sept 20, 2016 – Intermittent perennial sow thistle observed at KP 58+450. Herbicide application conducted to control.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues - KP 58+850 Marker signs/posts down, recommend repairs. Aug 19, 2017 – Intermittent herbicide application conducted to control scentless chamomile (KP 58+870) and perennial sow thistle (KP 58+870 – 58+200). Sept 16, 2017 - KP 58+850 – Marker/signs posts repaired. Issue resolved.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - KP 58+900 – Scentless chamomile observed, recommend herbicide application. - No erosion or subsidence on tract.  Unnamed Watercourse (08-WC-04)  - Banks are stable and vegetated.  - Low flow but high-water level. Aug 5, 2018 – KP 58+900 – Herbicide application conducted to control scentless chamomile.",,,
SW-19-80-7,,,"Sept 20, 2016 - Intermittent perennial sow thistle observed at KP 59+430. Herbicide application conducted to control.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues Aug 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 59+420 – 59+000) and scentless chamomile (KP 59+450).","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - KP 59+480 and 59+300 - Scentless chamomile observed, recommend herbicide application. Aug 5, 2018 – Intermittent herbicide application conducted to control scentless chamomile (KP 58+420 and 59+300) and perennial sow thistle (KP 59+420).",,,
NW-19-80-7,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. Aug 19, 2017 - Intermittent herbicide application conducted to control scentless chamomile (KP 59+800 – 59+500) and perennial sow thistle (KP 59+540). Sept 14, 2017 - Shrubby swamp on ROW from KP 59+867 to 59+924 appears to be at full functionality. Wetland is inclusive of Watercourse 64 traversing pipeline ROW acting as an effective flood plain for surround area. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment consisting of herbaceous graminoids, sphagnum moss, willow, black spruce and broadleaf shrubs. Hydrophytic vegetation emerging across disturbed area including emergent and submergent vegetation (cattail, rush, arrowhead, milfoil). - No noxious weeds identified in wetland. - Trench crown present through wetland. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting fully saturated conditions; standing water present throughout the majority of wetland. - Wetland providing good habitat opportunity through good vegetation cover, sufficient snags and standing water throughout. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto row; species diversity maintained. No net loss of wetland function was observed.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. Excellent establishment of willows, and pine throughout ROW.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - KP 59+900 - Scentless chamomile observed, recommend herbicide application. August 27, 2018 - Shrubby swamp on ROW from KP 59+867 to 59+924 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Wetland is inclusive of Watercourse (07-WC-01) and it’s associated riparian zone. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. - Vegetation within wetland consisting of herbaceous graminoids, willow, alder, alsike clover, pine, yellow rattle and mosses. Good establishment of hydrophytic species throughout watercourse including arum-leaved arrowhead, large-leaf white-water crowfoot, scouring rush and pondweed.  - No noxious weeds were identified in wetland. - No trench crown present through wetland/watercourse. No issues of hydrologic connectivity were observed. - Substrate in wetland appears healthy through uniform vegetation growth and hydrologic conditions. High humification occurring throughout wetland through decomposing vegetation. High levels of organic material present within substrate. Strong organic scent emitted from substrate indicating the successful decomposition of organic material. - Substrate exhibiting fully-saturated conditions (within watercourse) with a surface water depth of 50cm. Water table residing at the ground surface. There is a moderate slight flow occurring to the south. - Wetland on ROW providing good habitat opportunity through good vegetation cover, surface water and snags. Birds observed on the ROW. Evidence of mammal use observed within wetland. - Wetland has achieved pre-construction contours with no signs of ponding, erosion or subsidence issues throughout. Vegetation biodiversity has been attained across the ROW. Aug 5, 2018 – KP 59+900 – Herbicide application conducted to control scentless chamomile.",,,
NE-19-80-7,Unnamed Watercourse (07-WC-01) / Forested Minor rill erosion / Sediment movement,"Minor rill erosion observed on east side hillslope. Vegetation is re-establishing well. Erosion and sediment control is currently effective at watercourse crossing location (07-WC-01), but requires repair. Repairs completed in December 2014. Monitor in 2015.","June 20, 2016 - Soil and slopes surrounding watercourse appear stable. No erosion observed, 2014 erosion resolved. ·Vegetation establishment 40 to 50% compared to off ROW was observed on the banks of this watercourse crossing. Recommend monitoring.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - KP 59+998 WC-64, banks are stable and vegetated, 2016 low vegetation issue resolved. - 60+460 Marker signs/posts down, recommend repairs. Sept 16, 2017 KP 60+460, 60+000, and 59+980 – Marker/sign posts repaired, issues resolved.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - KP 60+500 and 59+850 - Scentless chamomile observed, recommend herbicide application. - No erosion or subsidence on tract.  Unnamed Watercourse (07-WC-01)  - Banks are stable and vegetated.  - Water is high due to recent rainfall. Aug 5, 2018 – KP 59+850 and 60+500 – herbicide application conducted to control scentless chamomile.",,,
NW-20-80-7,Treed / Wetland / Forested Minor rill erosion,Minor rill erosion observed on north side of pipeline roach. Repairs completed in December 2014. Monitor in 2015.,"June 20, 2016 - No noxious weeds observed. No erosion observed, 2014 erosion issue resolved. Vegetation 20 to 30%. Monitoring of vegetation is recommended","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. 2016 low vegetation issue resolved. - No erosion or subsidence issues","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - No noxious weeds observed on tract.",,,
NE-20-80-7,Treed / Wetland / Forested Low vegetation cover,"Low vegetation cover observed at several small graded segments, not causing associated environmental issues.  Monitor in 2015.","June 20, 2016 - No noxious weeds observed. Vegetation 20 to 30%, not creating any secondary (eg. erosion) environmental issues. Recommend continued monitoring.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Previous low vegetation issue resolved. - No erosion or subsidence issues Aug 17, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 62+200 – 61+600) and scentless chamomile (KP 61+840 – 61+600).","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch, Yarrow, and Aspens. - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  - KP 61+950 – Scentless chamomile observed, recommend herbicide application. Aug 6, 2018 – Intermittent herbicide application conducted to control perennial sow thistle (KP 61+950) and scentless chamomile (throughout ¼).",,,
NW-21-80-7,,,"Sept 20, 2016 – Intermittent perennial sow thistle observed at KP 62+850. Herbicide application conducted to control.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues. Aug 17, 2017 – KP 62+820 – Herbicide application conducted to control perennial sow thistle.","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. Pine trees establishing throughout tract in sandy soils  - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - No noxious weeds observed on tract. Previous issues resolved.",,,
NE-21-80-7,,,,"Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues.","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch, Yarrow, and Aspens. - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  - KP 63+500 to 63+650 – Scentless chamomile observed, recommend herbicide application. Aug 6, 2018 – KP 63+500 to 63+650 – Intermittent herbicide application conducted to control scentless chamomile.",,,
NW-22-80-7,Treed Wetland  Minor ponding / Minor rill erosion,Minor rill erosion observed on north side of pipeline roach. Repairs completed in December 2014. Monitor in 2015.,"June 20, 2016 - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Pre-construction contours restored; no indications of excessive ponded water or impeded flow due to the construction ROW. Recommend continued monitoring. - 2014 ponding and rill erosion issues are no longer present, issues resolved.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - KP 64+775 - Marker signs/posts down, recommend repairs. - 64+300 Rollback Access Control is present and functioning Aug 17, 2017 – Intermittent herbicide application conducted to control perennial sow thistle and common tansy (KP 61+400) Sept 15, 2017 - Mounding on ROW at KP 64+500 and 64+850 providing effective access control in area. UTV tracks present on ditchline. Sept 16, 2017 - 64+775 – Marker posts repaired, issue resolved.","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - No noxious weeds observed on tract. Previous issues resolved.",,,
NE-22-80-7,LForested Subsidence / rill erosion / sediment movement / ow vegetation cover,Hill subsidence and erosion observed. The top of the slope has slumped more than 1 m to the northeast. Silt fencing on the north edge of the ROW at the toe of the slope is full. The area was re-contoured and erosion controls were installed in December 2014. Monitor in 2015.,"June 20, 2016 - Minor rill erosion is taking place. Recommend removal of silt fence (KP 65+600). July 10, 2016 -- Vegetation is well established with desirable species throughout ROW. - Good establishment of grasses and shrubs.  - Intermittent herbicide application to control scentless camomile on ditch line between watercourse and road allowance crossing.  - Cross drainages are functioning.  - KP 65+000 - Further access is blocked do to roll back and mounding.   Sept 14, 2016 - 65-70% vegetation established compared to off ROW. - Intermittent scentless chamomile were observed along ROW at KP 65+650 and KP 65+330. Herbicide application conducted to control  - Removed silt fencing from the bottom of watercourse crossing right bank slope at KP 65+600. Materials were removed and disposed of off-site. Issue resolved. - Minor rill erosion was observed on the slope. No repairs recommended, erosion is not inhibiting recovery of ROW. This issue is not the issue noted in 2014 (erosion in 2014 was much greater magnitude) and there is no further indication of subsidence. 2014 issues resolved.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW filling in from outer edges and is expected to recover over time.  - Mounding access Control is present and functioning Aug 17, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 65+550) and scentless chamomile (KP 64+900 – 65+550).","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Scentless Chamomile was identified sporadically throughout tract, recommend herbicide application. - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  Aug 6, 2018 – Intermittent herbicide application conducted to control scentless chamomile.",,,
NE-22-80-7,Unnamed Watercourse (07-WC-02),,"June 20, 2016 - No terrain instability was observed. ·Soil and slopes surrounding watercourse appear stable. ·Vegetation 10 to 60% on the banks of this watercourse crossing. Recommend continued monitoring.  July 10, 2016 - well vegetated and stable (improved vegetation from earlier monitoring), moderate flow at this time.  - TC signs missing at KP 65+550 crossing. Marker posts are in place. Recommend installing signs.","Aug 15, 2017 - WC-67, banks are stable and vegetated. - Marker signs required. - Erosion observed at KP 65+520. Recommend repairs. Sept 16, 2017 – KP 65+520 – Erosion repaired. Monitor in 2018. - Removed all synthetic materials from crossing approach slopes. Issue resolved. - KP 65+550 – Installed marker/sign posts. Issue resolved.","July 4, 2018 - Unnamed Watercourse (07-WC-02)  - Banks are stable and vegetated.  - High water due to recent rain fall  - Moderate flow.  - KP 65+520 - Previous erosion control is present and effective erosion is stable and vegetating. Issue resolved.",,,
NW-23-80-7,Forested Subsidence / Moderate rill erosion / Low vegetation cover,"Hillslope subsidence and moderate rill erosion observed. Erosion and sediment control including silt fences and coir logs have been effective. The area was re-contoured, erosion and sedimentation controls were reinstalled in January 2015. Monitor in 2015.","June 20, 2016 - Marker posts down at 66+000. July 10, 2016 -- Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs. 2014 vegetation cover issue resolved. - No erosion or subsidence issues. 2014 subsidence and erosion issues resolved. - Intermittent herbicide application conducted to control scentless camomile.  Sept 14, 2016 - Stood up marker posts at KP 66+000 crossing that had fallen over, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle (KP 66+400) and scentless chamomile (KP 66+250).","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. Aug 17, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 66+400 – 66+550) and scentless chamomile (KP 66+410 – 66+550).","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Scentless Chamomile was identified sporadically throughout tract, recommend herbicide application. - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  Aug 6, 2018 – Intermittent herbicide application conducted to control scentless chamomile.",,,
NW-23-80-7,Forested Natural ponding,Ponded water in TWS is natural. Contours of area create a natural depression where water is gathering.,"June 20, 2016 - Marker posts down at 66+000. July 10, 2016 -- Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs. 2014 vegetation cover issue resolved. - No erosion or subsidence issues. 2014 subsidence and erosion issues resolved. - Intermittent herbicide application conducted to control scentless camomile.  Sept 14, 2016 - Stood up marker posts at KP 66+000 crossing that had fallen over, issue resolved. - Intermittent herbicide application conducted to control perennial sow thistle (KP 66+400) and scentless chamomile (KP 66+250).","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. Aug 17, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 66+400 – 66+550) and scentless chamomile (KP 66+410 – 66+550).","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Scentless Chamomile was identified sporadically throughout tract, recommend herbicide application. - Cross drains functioning well no water ponding.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  Aug 6, 2018 – Intermittent herbicide application conducted to control scentless chamomile.",,,
NE-23-80-7,Unnamed Watercourse (07-WC-03) Rill erosion / Minor ponding,"Rilling and water ponding observed near watercourse channel. Repairs completed in December 2014. Monitor in 2015 and install additional erosion control, if required.","June 20, 2016 - No terrain instability was observed. ·Soil and slopes surrounding watercourse appear stable. 2014 rilling and ponding water issues are no longer present, issues resolved. ·Vegetation 30 to 40% on the banks of this watercourse crossing. Recommend continued monitoring.  July 10, 2016 - Unnamed watercourse at KP 67+000 – is well vegetated and stable, moderate flow at this time. September 14, 2016 - TC signs missing at KP 66+900 crossing. Marker posts are in place. Recommend installing signs.",No issues noted.,"July 04, 2018 - Unnamed Watercourse (07-WC-03)  - Banks are stable and vegetated.  - Low water flow.",,,
NE-23-80-7,Forested Low vegetation cover,"Low vegetation cover; not causing associated environmental issues (for example, erosion). Monitor in 2015.","July 10, 2016 -- Vegetation is well established (2014 issue resolved) with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control perennial sow thistle (KP 66+550) and scentless chamomile throughout ¼. Sept 14, 2016 – Intermittent perennial sow thistle observed at KP 67+110. Herbicide application conducted to control.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - KP 66+850 Marker signs/posts down, recommend repairs. Aug 17, 2017 – Intermittent herbicide application conducted to control scentless chamomile (KP 67+180 – 66+500) and perennial sow thistle (KP 67+170 – 66+600). Sept 16, 2017 - KP 66+700 and 66+850 – Marker/sign posts repaired, issues resolved.","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  Aug 6, 2018 – KP 67+000 – herbicide applicant conducted to control perennial sow thistle and common tansy.",,,
NW-24-80-7,Unnamed Watercourse (07-WC-04),,"June 20, 2016 - No terrain instability was observed. Soil and slopes surrounding watercourse appear to be stable. July 10, 2016 - Unnamed watercourse at KP 68+000 – is well vegetated and stable, minimal flow at this time. Sept 14, 2016 - TC signs missing at KP 68+000 crossing. Marker posts are in place. Recommend installing signs.","Sept 14, 2017 - Treed swamp on ROW from KP 68+291 to 68+403 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter.","July 04, 2018 - Unnamed Watercourse (07-WC-04)  - Banks are stable and vegetated.  - Water is high due to recent rainfall. August 27, 2018 - Treed swamp on ROW from KP 68+291 to 68+403 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, common cattail and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions",,,
NW-24-80-7,,,"July 10, 2016 -- Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control scentless camomile throughout quarter. Sept 14, 2016 - - Intermittent herbicide application conducted to control perennial sow thistle (KP 68+140), scentless chamomile (KP 68+140 and 68+880), and Canada thistle (KP 67+800).","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues - KP 68+160 Marker/signs require repairs.  Aug 17, 2017 – Intermittent herbicide application conducted to control scentless chamomile (KP 67+910 – 67+400), perennial sow thistle (KP 68+100 – 67+300), and common tansy (KP 68+110 and 67+640).","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - No noxious weeds present. Previous issues resolved.",,,
NE-24-80-7,,,"July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and willows.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control scentless camomile throughout quarter.  Sept 14, 2016 - No noxious weeds observed within tract.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues Aug 17, 2017 – KP 68+780 - Herbicide application conducted to control perennial sow thistle.","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  Aug 6, 2018 – KP 68+600 – herbicide application conducted to control perennial sow thistle.",,,
NW-19-80-6,,,"July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No noxious weeds identified.  - No erosion or subsidence issues. - KP 69+400 – 69+600 – low veg density noted, continue to monitor.   Sept 14, 2016 – Intermittent herbicide application conducted to control perennial sow thistle (KP 69+450) and scentless chamomile (KP 69+070). - Stood up marker posts at KP 69+550.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. Aug 17, 2017 – Intermittent herbicide application conducted to control scentless chamomile (KP 69+500 – 68+900) and perennial sow thistle (KP 69+320).","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. Excellent establishment of willows throughout ROW.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - KP 69+500 Straightened and reset marker post. Issue resolved. - Perennial sow thistle (KP 69+300) and scentless chamomile (KP 69+000 and 69+600) observed, recommend herbicide application. Aug 6, 2018 – Herbicide application conducted to control scentless chamomile (KP 69+000 and 69+600), perennial sow thistle (KP 69+300), and common tansy (KP 69+500).",,,
NE-19-80-6,Forested Listed plant,Listed plant site TLEK18 – purple peavine (Lathyrus venosus). Area of plant observation was undisturbed by construction. Listed plant issue resolved,,,,,,
NE-19-80-6,Forested Moderate ponding,"Water is ponding on the south side of the ROW. Flooded vegetation observed to be dying. Repairs completed in December 2014. Monitor in 2015 and install cross drain, if required.","June 20, 2016 - No noxious weeds observed. Vegetation 60 to 70%. Absence of excessive ponded water or impeded flow due to the construction right-of-way, 2014 issue resolved. July 10, 2016 -- Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues.  Sept 14, 2016 - 70-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control Canada thistle (KP 70+300 and KP 70+330) at transmission line corridor crossing. - TC signs missing at KP 70+650. Marker posts are in place. Recommend installing signs.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - 70+650 Marker signs/posts down, recommend repairs.  Sept 16, 2017 - 70+650 – Marker/signs repaired, issue resolved.","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - No noxious weeds present.",,,
NE-19-80-6,Forested Listed plant,Listed plant site TKRS008 – purple peavine (Lathyrus venosus). Area of plant observation was undisturbed by construction. Listed plant issue resolved,"June 20, 2016 - No noxious weeds observed. Vegetation 60 to 70%. Absence of excessive ponded water or impeded flow due to the construction right-of-way, 2014 issue resolved. July 10, 2016 -- Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues.  Sept 14, 2016 - 70-75% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control Canada thistle (KP 70+300 and KP 70+330) at transmission line corridor crossing. - TC signs missing at KP 70+650. Marker posts are in place. Recommend installing signs.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - 70+650 Marker signs/posts down, recommend repairs.  Sept 16, 2017 - 70+650 – Marker/signs repaired, issue resolved.","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - No noxious weeds present.",,,
